ncppb_number	ncbi_db	ncbi_uid	ncbi_accession	source_url	title	organism	taxid	evidence_level	evidence_decision	evidence_class	evidence_score	matched_identifier	matched_identifier_type	identifier_rule_name	identifier_confidence	reject_reason	query_source	search_term	metadata_text	status	error
NCPPB 45	biosample	36346970	SAMN36346970	https://www.ncbi.nlm.nih.gov/biosample/SAMN36346970	Genome sequencing of Xcc WHRI 6379 (NCPPB 45)	Xanthomonas campestris pv. campestris	340	strong_strain_match	accept	confirmed_ncppb_identifier	100	NCPPB 45	ncppb_number	ncppb_number	high		ncppb_number	NCPPB[All Fields] AND 45[All Fields]	"Genome sequencing of Xcc WHRI 6379 (NCPPB 45) Xanthomonas campestris pv. campestris BioSample: SAMN36346970; Sample name: 6379; SRA: SRS18206855 strain: WHRI 6379 (NCPPB 45) <BioSample access=""public"" publication_date=""2023-07-07T00:00:00.000"" last_update=""2023-07-10T14:28:02.820"" submission_date=""2023-07-07T06:59:00.390"" id=""36346970"" accession=""SAMN36346970""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMN36346970</Id> <Id db_label=""Sample name"">6379</Id> <Id db=""SRA"">SRS18206855</Id> </Ids> <Description> <Title>Genome sequencing of Xcc WHRI 6379 (NCPPB 45)</Title> <Organism taxonomy_id=""340"" taxonomy_name=""Xanthomonas campestris pv. campestris""> <OrganismName>Xanthomonas campestris pv. campestris</OrganismName> </Organism> </Description> <Owner> <Name url=""http://biosciences.exeter.ac.uk/staff/index.php?web_id=david_studholme"">University of Exeter</Name> <Contacts> <Contact> <Name> <First>David</First> <Last>Studholme</Last> <Middle>John</Middle> </Name> </Contact> </Contacts> </Owner> <Models> <Model>Microbe, viral or environmental</Model> </Models> <Package display_name=""Microbe; version 1.0"">Microbe.1.0</Package> <Attributes> <Attribute attribute_name=""strain"" harmonized_name=""strain"" display_name=""strain"">WHRI 6379 (NCPPB 45)</Attribute> <Attribute attribute_name=""host"" harmonized_name=""host"" display_name=""host"">Brassica napus</Attribute> <Attribute attribute_name=""collection_date"" harmonized_name=""collection_date"" display_name=""collection date"">1941</Attribute> <Attribute attribute_name=""geo_loc_name"" harmonized_name=""geo_loc_name"" display_name=""geographic location"">United Kingdom</Attribute> <Attribute attribute_name=""sample_type"" harmonized_name=""sample_type"" display_name=""sample type"">Cell culture</Attribute> <Attribute attribute_name=""Race"" harmonized_name=""race"" display_name=""race"">not collected</Attribute> <Attribute attribute_name=""pathovar"" harmonized_name=""pathovar"" display_name=""pathovar"">campestris</Attribute> </Attributes> <Links> <Link type=""entrez"" target=""bioproject"" label=""PRJNA988133"">988133</Link> </Links> <Status status=""live"" when=""2023-07-07T06:59:00.390""/> </BioSample>"	ok	
NCPPB 101	biosample	22555467	SAMN22555467	https://www.ncbi.nlm.nih.gov/biosample/SAMN22555467	Microbe sample from Xanthomonas cassavae CFBP 4642	Xanthomonas cassavae CFBP 4642	1219375	strong_strain_match	accept	confirmed_ncppb_identifier	100	NCPPB 101	ncppb_number	ncppb_number	high		ncppb_number	NCPPB[All Fields] AND 101[All Fields]	"Microbe sample from Xanthomonas cassavae CFBP 4642 Xanthomonas cassavae CFBP 4642 BioSample: SAMN22555467; Sample name: NCPPB101; SRA: SRS15743719 strain: NCPPB 101 <BioSample access=""public"" publication_date=""2021-10-25T00:00:00.000"" last_update=""2022-11-14T08:01:20.940"" submission_date=""2021-10-25T05:57:02.803"" id=""22555467"" accession=""SAMN22555467""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMN22555467</Id> <Id db_label=""Sample name"">NCPPB101</Id> <Id db=""SRA"">SRS15743719</Id> </Ids> <Description> <Title>Microbe sample from Xanthomonas cassavae CFBP 4642</Title> <Organism taxonomy_id=""1219375"" taxonomy_name=""Xanthomonas cassavae CFBP 4642""> <OrganismName>Xanthomonas cassavae CFBP 4642</OrganismName> </Organism> </Description> <Owner> <Name url=""http://biosciences.exeter.ac.uk/staff/index.php?web_id=david_studholme"">University of Exeter</Name> <Contacts> <Contact> <Name> <First>David</First> <Last>Studholme</Last> <Middle>John</Middle> </Name> </Contact> </Contacts> </Owner> <Models> <Model>Microbe, viral or environmental</Model> </Models> <Package display_name=""Microbe; version 1.0"">Microbe.1.0</Package> <Attributes> <Attribute attribute_name=""strain"" harmonized_name=""strain"" display_name=""strain"">NCPPB 101</Attribute> <Attribute attribute_name=""geo_loc_name"" harmonized_name=""geo_loc_name"" display_name=""geographic location"">Malawi</Attribute> <Attribute attribute_name=""host"" harmonized_name=""host"" display_name=""host"">Manihot esculenta</Attribute> <Attribute attribute_name=""sample_type"" harmonized_name=""sample_type"" display_name=""sample type"">cell culture</Attribute> <Attribute attribute_name=""collection_date"" harmonized_name=""collection_date"" display_name=""collection date"">not collected</Attribute> <Attribute attribute_name=""culture_collection"" harmonized_name=""culture_collection"" display_name=""culture collection"">NCPPB:101</Attribute> <Attribute attribute_name=""type-material"">type strain of Xanthomonas cassavae</Attribute> </Attributes> <Links> <Link type=""entrez"" target=""bioproject"" label=""PRJNA774146"">774146</Link> </Links> <Status status=""live"" when=""2021-10-25T05:57:02.804""/> </BioSample>"	ok	
NCPPB 113	biosample	42178446	SAMN42178446	https://www.ncbi.nlm.nih.gov/biosample/SAMN42178446	Genome sequencing of Xanthomonas campestris pv. ricini NCPPB 113	Xanthomonas axonopodis pv. ricini	473415	strong_strain_match	accept	confirmed_ncppb_identifier	100	NCPPB 113	ncppb_number	ncppb_number	high		ncppb_number	NCPPB[All Fields] AND 113[All Fields]	"Genome sequencing of Xanthomonas campestris pv. ricini NCPPB 113 Xanthomonas axonopodis pv. ricini BioSample: SAMN42178446; Sample name: 113; SRA: SRS21849309 strain: NCPPB 113 <BioSample access=""public"" publication_date=""2024-06-30T00:00:00.000"" last_update=""2024-06-30T06:34:22.263"" submission_date=""2024-06-30T05:28:03.817"" id=""42178446"" accession=""SAMN42178446""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMN42178446</Id> <Id db_label=""Sample name"">113</Id> <Id db=""SRA"">SRS21849309</Id> </Ids> <Description> <Title>Genome sequencing of Xanthomonas campestris pv. ricini NCPPB 113</Title> <Organism taxonomy_id=""473415"" taxonomy_name=""Xanthomonas axonopodis pv. ricini""> <OrganismName>Xanthomonas axonopodis pv. ricini</OrganismName> </Organism> </Description> <Owner> <Name url=""http://biosciences.exeter.ac.uk/staff/index.php?web_id=david_studholme"">University of Exeter</Name> <Contacts> <Contact> <Name> <First>David</First> <Last>Studholme</Last> <Middle>John</Middle> </Name> </Contact> </Contacts> </Owner> <Models> <Model>Microbe, viral or environmental</Model> </Models> <Package display_name=""Microbe; version 1.0"">Microbe.1.0</Package> <Attributes> <Attribute attribute_name=""strain"" harmonized_name=""strain"" display_name=""strain"">NCPPB 113</Attribute> <Attribute attribute_name=""host"" harmonized_name=""host"" display_name=""host"">Ricinus communis</Attribute> <Attribute attribute_name=""collection_date"" harmonized_name=""collection_date"" display_name=""collection date"">Not collected</Attribute> <Attribute attribute_name=""geo_loc_name"" harmonized_name=""geo_loc_name"" display_name=""geographic location"">Uganda</Attribute> <Attribute attribute_name=""sample_type"" harmonized_name=""sample_type"" display_name=""sample type"">Cell culture</Attribute> <Attribute attribute_name=""biomaterial_provider"" harmonized_name=""biomaterial_provider"" display_name=""biomaterial provider"">C. G. Hansford</Attribute> <Attribute attribute_name=""culture_collection"" harmonized_name=""culture_collection"" display_name=""culture collection"">NCPPB:113</Attribute> <Attribute attribute_name=""pathovar"" harmonized_name=""pathovar"" display_name=""pathovar"">ricini</Attribute> </Attributes> <Links> <Link type=""entrez"" target=""bioproject"" label=""PRJNA1129907"">1129907</Link> </Links> <Status status=""live"" when=""2024-06-30T05:28:03.815""/> </BioSample>"	ok	
NCPPB 151	biosample	56511362	SAMN56511362	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511362	Genome sequencing of Xanthomonas NCPPB 151	Xanthomonas campestris pv. papavericola	487881	strong_strain_match	accept	confirmed_ncppb_identifier	100	NCPPB 151	ncppb_number	ncppb_number	high		ncppb_number	NCPPB[All Fields] AND 151[All Fields]	"Genome sequencing of Xanthomonas NCPPB 151 Xanthomonas campestris pv. papavericola BioSample: SAMN56511362; Sample name: NCPPB_151; SRA: SRS28401809 strain: NCPPB 151 <BioSample access=""public"" publication_date=""2026-03-14T00:00:00.000"" last_update=""2026-03-14T18:01:05.003"" submission_date=""2026-03-14T17:08:05.417"" id=""56511362"" accession=""SAMN56511362""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMN56511362</Id> <Id db_label=""Sample name"">NCPPB_151</Id> <Id db=""SRA"">SRS28401809</Id> </Ids> <Description> <Title>Genome sequencing of Xanthomonas NCPPB 151</Title> <Organism taxonomy_id=""487881"" taxonomy_name=""Xanthomonas campestris pv. papavericola""> <OrganismName>Xanthomonas campestris pv. papavericola</OrganismName> </Organism> </Description> <Owner> <Name url=""https://biosciences.exeter.ac.uk/staff/profile/index.php?web_id=david_studholme"">University of Exeter</Name> <Contacts> <Contact> <Name> <First>David</First> <Last>Studholme</Last> <Middle>John</Middle> </Name> </Contact> </Contacts> </Owner> <Models> <Model>Microbe, viral or environmental</Model> </Models> <Package display_name=""Microbe; version 1.0"">Microbe.1.0</Package> <Attributes> <Attribute attribute_name=""strain"" harmonized_name=""strain"" display_name=""strain"">NCPPB 151</Attribute> <Attribute attribute_name=""host"" harmonized_name=""host"" display_name=""host"">Argemone sp.</Attribute> <Attribute attribute_name=""collection_date"" harmonized_name=""collection_date"" display_name=""collection date"">Not collected</Attribute> <Attribute attribute_name=""geo_loc_name"" harmonized_name=""geo_loc_name"" display_name=""geographic location"">Mauritius</Attribute> <Attribute attribute_name=""sample_type"" harmonized_name=""sample_type"" display_name=""sample type"">Cell culture</Attribute> <Attribute attribute_name=""biomaterial_provider"" harmonized_name=""biomaterial_provider"" display_name=""biomaterial provider"">G. Orian</Attribute> <Attribute attribute_name=""culture_collection"" harmonized_name=""culture_collection"" display_name=""culture collection"">NCPPB:151</Attribute> </Attributes> <Links> <Link type=""entrez"" target=""bioproject"" label=""PRJNA1437458"">1437458</Link> </Links> <Status status=""live"" when=""2026-03-14T17:08:05.417""/> </BioSample>"	ok	
NCPPB 206	biosample	36357966	SAMN36357966	https://www.ncbi.nlm.nih.gov/biosample/SAMN36357966	NCPPB 206	Xanthomonas vasicola	56459	strong_strain_match	accept	confirmed_ncppb_identifier	100	NCPPB 206	ncppb_number	ncppb_number	high		ncppb_number	NCPPB[All Fields] AND 206[All Fields]	"NCPPB 206 Xanthomonas vasicola BioSample: SAMN36357966; Sample name: NCPPB 206; SRA: SRS18217069 strain: NCPPB 206 <BioSample access=""public"" publication_date=""2023-07-07T00:00:00.000"" last_update=""2023-07-10T17:51:21.050"" submission_date=""2023-07-07T16:53:03.863"" id=""36357966"" accession=""SAMN36357966""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMN36357966</Id> <Id db_label=""Sample name"">NCPPB 206</Id> <Id db=""SRA"">SRS18217069</Id> </Ids> <Description> <Title>NCPPB 206</Title> <Organism taxonomy_id=""56459"" taxonomy_name=""Xanthomonas vasicola""> <OrganismName>Xanthomonas vasicola</OrganismName> </Organism> </Description> <Owner> <Name url=""http://biosciences.exeter.ac.uk/staff/index.php?web_id=david_studholme"">University of Exeter</Name> <Contacts> <Contact> <Name> <First>David</First> <Last>Studholme</Last> <Middle>John</Middle> </Name> </Contact> </Contacts> </Owner> <Models> <Model>Microbe, viral or environmental</Model> </Models> <Package display_name=""Microbe; version 1.0"">Microbe.1.0</Package> <Attributes> <Attribute attribute_name=""strain"" harmonized_name=""strain"" display_name=""strain"">NCPPB 206</Attribute> <Attribute attribute_name=""host"" harmonized_name=""host"" display_name=""host"">Zea mays</Attribute> <Attribute attribute_name=""collection_date"" harmonized_name=""collection_date"" display_name=""collection date"">not collected</Attribute> <Attribute attribute_name=""geo_loc_name"" harmonized_name=""geo_loc_name"" display_name=""geographic location"">South Africa</Attribute> <Attribute attribute_name=""sample_type"" harmonized_name=""sample_type"" display_name=""sample type"">Cell culture</Attribute> </Attributes> <Links> <Link type=""entrez"" target=""bioproject"" label=""PRJNA992549"">992549</Link> </Links> <Status status=""live"" when=""2023-07-07T16:53:03.862""/> </BioSample>"	ok	
NCPPB 206	biosample	991256	SAMN00991256	https://www.ncbi.nlm.nih.gov/biosample/SAMN00991256	Xvv NCPPB206	Xanthomonas vasicola pv. vasculorum NCPPB 206	1094181	strong_strain_match	accept	confirmed_ncppb_identifier	100	NCPPB 206	ncppb_number	ncppb_number	high		ncppb_number	NCPPB[All Fields] AND 206[All Fields]	"Xvv NCPPB206 Xanthomonas vasicola pv. vasculorum NCPPB 206 BioSample: SAMN00991256; Sample name: Xvv NCPPB206; SRA: SRS331876 strain: NCPPB 206 <BioSample submission_date=""2012-05-08T11:27:01.070"" last_update=""2015-02-10T11:22:00.710"" publication_date=""2012-05-08T11:27:01.070"" access=""public"" id=""991256"" accession=""SAMN00991256""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMN00991256</Id> <Id db=""University of Exeter"" db_label=""Sample name"">Xvv NCPPB206</Id> <Id db=""SRA"">SRS331876</Id> </Ids> <Description> <Title>Xvv NCPPB206</Title> <Organism taxonomy_id=""1094181"" taxonomy_name=""Xanthomonas vasicola pv. vasculorum NCPPB 206""/> </Description> <Owner> <Name abbreviation="""">University of Exeter</Name> <Contacts> <Contact> <Name> <First>David</First> <Last>Studholme</Last> <Middle>J</Middle> </Name> </Contact> </Contacts> </Owner> <Models> <Model>Generic</Model> </Models> <Package display_name=""Generic"">Generic.1.0</Package> <Attributes> <Attribute attribute_name=""strain"" harmonized_name=""strain"" display_name=""strain"">NCPPB 206</Attribute> <Attribute attribute_name=""pathovar"" harmonized_name=""pathovar"" display_name=""pathovar"">vasculorum NCPPB 206</Attribute> </Attributes> <Status status=""live"" when=""2014-03-04T17:48:38.700""/> </BioSample>"	ok	
NCPPB 211	biosample	13783128	SAMN13783128	https://www.ncbi.nlm.nih.gov/biosample/SAMN13783128	Microbe sample from Xanthomonas citri pv. citri	Xanthomonas citri pv. citri	611301	strong_strain_match	accept	confirmed_ncppb_identifier	100	NCPPB 211	ncppb_number	ncppb_number	high		ncppb_number	NCPPB[All Fields] AND 211[All Fields]	"Microbe sample from Xanthomonas citri pv. citri Xanthomonas citri pv. citri BioSample: SAMN13783128; Sample name: NCPPB_211; SRA: SRS6252264 strain: NCPPB_211 <BioSample access=""public"" publication_date=""2020-09-21T00:00:00.000"" last_update=""2020-09-21T11:01:11.096"" submission_date=""2020-01-09T05:13:07.416"" id=""13783128"" accession=""SAMN13783128""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMN13783128</Id> <Id db_label=""Sample name"">NCPPB_211</Id> <Id db=""SRA"">SRS6252264</Id> </Ids> <Description> <Title>Microbe sample from Xanthomonas citri pv. citri</Title> <Organism taxonomy_id=""611301"" taxonomy_name=""Xanthomonas citri pv. citri""> <OrganismName>Xanthomonas citri pv. citri</OrganismName> </Organism> </Description> <Owner> <Name url=""http://www.cirad.fr/"">cirad</Name> <Contacts> <Contact> <Name> <First>damien</First> <Last>richard</Last> </Name> </Contact> </Contacts> </Owner> <Models> <Model>Microbe, viral or environmental</Model> </Models> <Package display_name=""Microbe; version 1.0"">Microbe.1.0</Package> <Attributes> <Attribute attribute_name=""strain"" harmonized_name=""strain"" display_name=""strain"">NCPPB_211</Attribute> <Attribute attribute_name=""host"" harmonized_name=""host"" display_name=""host"">Citrus sp.</Attribute> <Attribute attribute_name=""isolation_source"" harmonized_name=""isolation_source"" display_name=""isolation source"">Citrus leaf</Attribute> <Attribute attribute_name=""collection_date"" harmonized_name=""collection_date"" display_name=""collection date"">1948</Attribute> <Attribute attribute_name=""geo_loc_name"" harmonized_name=""geo_loc_name"" display_name=""geographic location"">India</Attribute> <Attribute attribute_name=""sample_type"" harmonized_name=""sample_type"" display_name=""sample type"">pure culture</Attribute> <Attribute attribute_name=""pathovar"" harmonized_name=""pathovar"" display_name=""pathovar"">citri</Attribute> </Attributes> <Links> <Link type=""entrez"" target=""bioproject"" label=""PRJNA599566"">599566</Link> </Links> <Status status=""live"" when=""2020-09-21T11:01:11.096""/> </BioSample>"	ok	
NCPPB 220	biosample	3262509	SAMN03262509	https://www.ncbi.nlm.nih.gov/biosample/SAMN03262509	Microbe sample from Xanthomonas phaseoli pv. phaseoli	Xanthomonas phaseoli pv. phaseoli	317013	strong_strain_match	accept	confirmed_ncppb_identifier	100	NCPPB 220	ncppb_number	ncppb_number	high		ncppb_number	NCPPB[All Fields] AND 220[All Fields]	"Microbe sample from Xanthomonas phaseoli pv. phaseoli Xanthomonas phaseoli pv. phaseoli BioSample: SAMN03262509; Sample name: NCPPB 220; SRA: SRS954511 strain: NCPPB 220 <BioSample access=""public"" publication_date=""2014-12-11T00:00:00.000"" last_update=""2017-05-03T21:00:40.108"" submission_date=""2014-12-11T04:49:06.980"" id=""3262509"" accession=""SAMN03262509""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMN03262509</Id> <Id db_label=""Sample name"">NCPPB 220</Id> <Id db=""SRA"">SRS954511</Id> </Ids> <Description> <Title>Microbe sample from Xanthomonas phaseoli pv. phaseoli</Title> <Organism taxonomy_id=""317013"" taxonomy_name=""Xanthomonas phaseoli pv. phaseoli""> <OrganismName>Xanthomonas axonopodis pv. phaseoli</OrganismName> </Organism> </Description> <Owner> <Name url=""http://biosciences.exeter.ac.uk/staff/index.php?web_id=david_studholme"">University of Exeter</Name> <Contacts> <Contact> <Name> <First>David</First> <Last>Studholme</Last> <Middle>John</Middle> </Name> </Contact> </Contacts> </Owner> <Models> <Model>Microbe, viral or environmental</Model> </Models> <Package display_name=""Microbe; version 1.0"">Microbe.1.0</Package> <Attributes> <Attribute attribute_name=""strain"" harmonized_name=""strain"" display_name=""strain"">NCPPB 220</Attribute> <Attribute attribute_name=""collection_date"" harmonized_name=""collection_date"" display_name=""collection date"">unknown</Attribute> <Attribute attribute_name=""sample_type"" harmonized_name=""sample_type"" display_name=""sample type"">Bacterial culture</Attribute> <Attribute attribute_name=""geo_loc_name"" harmonized_name=""geo_loc_name"" display_name=""geographic location"">USA</Attribute> <Attribute attribute_name=""host"" harmonized_name=""host"" display_name=""host"">Phaseolus vulgaris</Attribute> <Attribute attribute_name=""culture_collection"" harmonized_name=""culture_collection"" display_name=""culture collection"">NCPPB:220</Attribute> <Attribute attribute_name=""pathovar"" harmonized_name=""pathovar"" display_name=""pathovar"">phaseoli</Attribute> </Attributes> <Links/> <Status when=""2014-12-11T13:56:36"" status=""live""/> </BioSample>"	ok	
NCPPB 226	biosample	13783184	SAMN13783184	https://www.ncbi.nlm.nih.gov/biosample/SAMN13783184	Microbe sample from Xanthomonas citri pv. citri	Xanthomonas citri pv. citri	611301	strong_strain_match	accept	confirmed_ncppb_identifier	100	NCPPB 226	ncppb_number	ncppb_number	high		ncppb_number	NCPPB[All Fields] AND 226[All Fields]	"Microbe sample from Xanthomonas citri pv. citri Xanthomonas citri pv. citri BioSample: SAMN13783184; Sample name: NCPPB_226; SRA: SRS6252265 strain: NCPPB_226 <BioSample access=""public"" publication_date=""2020-09-21T00:00:00.000"" last_update=""2020-09-21T11:01:07.234"" submission_date=""2020-01-09T05:13:08.310"" id=""13783184"" accession=""SAMN13783184""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMN13783184</Id> <Id db_label=""Sample name"">NCPPB_226</Id> <Id db=""SRA"">SRS6252265</Id> </Ids> <Description> <Title>Microbe sample from Xanthomonas citri pv. citri</Title> <Organism taxonomy_id=""611301"" taxonomy_name=""Xanthomonas citri pv. citri""> <OrganismName>Xanthomonas citri pv. citri</OrganismName> </Organism> </Description> <Owner> <Name url=""http://www.cirad.fr/"">cirad</Name> <Contacts> <Contact> <Name> <First>damien</First> <Last>richard</Last> </Name> </Contact> </Contacts> </Owner> <Models> <Model>Microbe, viral or environmental</Model> </Models> <Package display_name=""Microbe; version 1.0"">Microbe.1.0</Package> <Attributes> <Attribute attribute_name=""strain"" harmonized_name=""strain"" display_name=""strain"">NCPPB_226</Attribute> <Attribute attribute_name=""host"" harmonized_name=""host"" display_name=""host"">Citrus sp.</Attribute> <Attribute attribute_name=""isolation_source"" harmonized_name=""isolation_source"" display_name=""isolation source"">Citrus leaf</Attribute> <Attribute attribute_name=""collection_date"" harmonized_name=""collection_date"" display_name=""collection date"">1949</Attribute> <Attribute attribute_name=""geo_loc_name"" harmonized_name=""geo_loc_name"" display_name=""geographic location"">New Zealand</Attribute> <Attribute attribute_name=""sample_type"" harmonized_name=""sample_type"" display_name=""sample type"">pure culture</Attribute> <Attribute attribute_name=""pathovar"" harmonized_name=""pathovar"" display_name=""pathovar"">citri</Attribute> </Attributes> <Links> <Link type=""entrez"" target=""bioproject"" label=""PRJNA599566"">599566</Link> </Links> <Status status=""live"" when=""2020-09-21T11:01:07.234""/> </BioSample>"	ok	
NCPPB 230	biosample	40354569	SAMN40354569	https://www.ncbi.nlm.nih.gov/biosample/SAMN40354569	Microbe sample from Xanthomonas sp. WHRI 8391	Xanthomonas sp. WHRI 8391	3161573	strong_strain_match	accept	confirmed_ncppb_identifier	100	NCPPB 230	ncppb_number	ncppb_number	high		ncppb_number	NCPPB[All Fields] AND 230[All Fields]	"Microbe sample from Xanthomonas sp. WHRI 8391 Xanthomonas sp. WHRI 8391 BioSample: SAMN40354569; Sample name: MG1_SGP8_G9_8391; SRA: SRS20715802 strain: WHRI 8391 <BioSample access=""public"" publication_date=""2024-03-09T00:00:00.000"" last_update=""2024-06-11T08:40:40.423"" submission_date=""2024-03-09T17:47:04.960"" id=""40354569"" accession=""SAMN40354569""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMN40354569</Id> <Id db_label=""Sample name"">MG1_SGP8_G9_8391</Id> <Id db=""SRA"">SRS20715802</Id> </Ids> <Description> <Title>Microbe sample from Xanthomonas sp. WHRI 8391</Title> <Organism taxonomy_id=""3161573"" taxonomy_name=""Xanthomonas sp. WHRI 8391""> <OrganismName>Xanthomonas sp. WHRI 8391</OrganismName> </Organism> </Description> <Owner> <Name url=""http://biosciences.exeter.ac.uk/staff/index.php?web_id=david_studholme"">University of Exeter</Name> <Contacts> <Contact> <Name> <First>David</First> <Last>Studholme</Last> <Middle>John</Middle> </Name> </Contact> </Contacts> </Owner> <Models> <Model>Microbe, viral or environmental</Model> </Models> <Package display_name=""Microbe; version 1.0"">Microbe.1.0</Package> <Attributes> <Attribute attribute_name=""strain"" harmonized_name=""strain"" display_name=""strain"">WHRI 8391</Attribute> <Attribute attribute_name=""host"" harmonized_name=""host"" display_name=""host"">Not collected</Attribute> <Attribute attribute_name=""collection_date"" harmonized_name=""collection_date"" display_name=""collection date"">1949</Attribute> <Attribute attribute_name=""geo_loc_name"" harmonized_name=""geo_loc_name"" display_name=""geographic location"">USA</Attribute> <Attribute attribute_name=""sample_type"" harmonized_name=""sample_type"" display_name=""sample type"">Cell culture</Attribute> <Attribute attribute_name=""isolate-name-alias"" harmonized_name=""isolate_name_alias"" display_name=""isolate name alias"">NCPPB 230</Attribute> </Attributes> <Links> <Link type=""entrez"" target=""bioproject"" label=""PRJNA991976"">991976</Link> </Links> <Status status=""live"" when=""2024-03-09T17:47:04.960""/> </BioSample>"	ok	
