prefix	rule_name	confidence	all_fields_raw_rows	prior_accepted_rows	clear_noise_rows	non_target_organism_rows	target_organism_rows	query_no_hit_rows	supports_review_rows	non_target_rate	accepted_rate	current_policy_recommendation	field_strategy_recommendation	recommendation_reason
KOIKE	person_or_local_reference_code	low	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
LELLIOTT	person_or_local_reference_code	low	1	1	0	0	1	0	0	0.0000	1.0000	keep_default	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
LUW	contextual_reference_code	medium	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
MAZZUCCHI	person_or_local_reference_code	low	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
MR	contextual_reference_code	medium	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
NAYAUDU	person_or_local_reference_code	low	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
NBC	known_collection_prefix	high	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
NCIMB	contextual_reference_code	medium	1	0	0	1	0	0	1	1.0000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
NETO	person_or_local_reference_code	low	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
NORSE	person_or_local_reference_code	low	1	1	0	0	1	0	0	0.0000	1.0000	keep_default	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
