ncppb_number	identifier_raw	identifier_normalized	identifier_type	clause_type	clause_order	source_start	source_end	normalization_status	validation_status	identifier_strength	risk_level	search_eligible	review_reason	collision_strain_count	collision_strains
NCPPB 362	NCPPB 362	NCPPB362	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 362
NCPPB 381	NCPPB 381	NCPPB381	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 381
NCPPB 400	NCPPB 400	NCPPB400	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 400
NCPPB 403	NCPPB 403	NCPPB403	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 403
NCPPB 404	NCPPB 404	NCPPB404	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 404
NCPPB 405	NCPPB 405	NCPPB405	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 405
NCPPB 406	NCPPB 406	NCPPB406	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 406
NCPPB 407	NCPPB 407	NCPPB407	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 407
NCPPB 408	NCPPB 408	NCPPB408	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 408
NCPPB 409	NCPPB 409	NCPPB409	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 409
NCPPB 410	NCPPB 410	NCPPB410	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 410
NCPPB 411	NCPPB 411	NCPPB411	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 411
NCPPB 412	NCPPB 412	NCPPB412	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 412
NCPPB 414	NCPPB 414	NCPPB414	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 414
NCPPB 415	NCPPB 415	NCPPB415	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 415
NCPPB 416	NCPPB 416	NCPPB416	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 416
NCPPB 418	NCPPB 418	NCPPB418	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 418
NCPPB 419	NCPPB 419	NCPPB419	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 419
NCPPB 420	NCPPB 420	NCPPB420	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 420
NCPPB 421	NCPPB 421	NCPPB421	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 421
NCPPB 422	NCPPB 422	NCPPB422	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 422
NCPPB 423	NCPPB 423	NCPPB423	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 423
NCPPB 424	NCPPB 424	NCPPB424	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 424
NCPPB 425	NCPPB 425	NCPPB425	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 425
NCPPB 457	NCPPB 457	NCPPB457	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 457
NCPPB 464	NCPPB 464	NCPPB464	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 464
NCPPB 465	NCPPB 465	NCPPB465	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 465
NCPPB 466	NCPPB 466	NCPPB466	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 466
NCPPB 473	NCPPB 473	NCPPB473	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 473
NCPPB 476	NCPPB 476	NCPPB476	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 476
NCPPB 477	NCPPB 477	NCPPB477	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 477
NCPPB 478	NCPPB 478	NCPPB478	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 478
NCPPB 479	NCPPB 479	NCPPB479	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 479
NCPPB 480	NCPPB 480	NCPPB480	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 480
NCPPB 481	NCPPB 481	NCPPB481	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 481
NCPPB 485	NCPPB 485	NCPPB485	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 485
NCPPB 488	NCPPB 488	NCPPB488	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 488
NCPPB 490	NCPPB 490	NCPPB490	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 490
NCPPB 509	NCPPB 509	NCPPB509	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 509
NCPPB 510	NCPPB 510	NCPPB510	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 510
NCPPB 526	NCPPB 526	NCPPB526	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 526
NCPPB 528	NCPPB 528	NCPPB528	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 528
NCPPB 529	NCPPB 529	NCPPB529	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 529
NCPPB 535	NCPPB 535	NCPPB535	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 535
NCPPB 536	NCPPB 536	NCPPB536	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 536
NCPPB 554	NCPPB 554	NCPPB554	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 554
NCPPB 555	NCPPB 555	NCPPB555	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 555
NCPPB 556	NCPPB 556	NCPPB556	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 556
NCPPB 557	NCPPB 557	NCPPB557	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 557
NCPPB 570	NCPPB 570	NCPPB570	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 570
NCPPB 571	NCPPB 571	NCPPB571	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 571
NCPPB 573	NCPPB 573	NCPPB573	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 573
NCPPB 575	NCPPB 575	NCPPB575	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 575
NCPPB 577	NCPPB 577	NCPPB577	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 577
NCPPB 578	NCPPB 578	NCPPB578	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 578
NCPPB 579	NCPPB 579	NCPPB579	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 579
NCPPB 581	NCPPB 581	NCPPB581	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 581
NCPPB 582	NCPPB 582	NCPPB582	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 582
NCPPB 584	NCPPB 584	NCPPB584	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 584
NCPPB 585	NCPPB 585	NCPPB585	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 585
NCPPB 586	NCPPB 586	NCPPB586	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 586
NCPPB 599	NCPPB 599	NCPPB599	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 599
NCPPB 614	NCPPB 614	NCPPB614	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 614
NCPPB 631	NCPPB 631	NCPPB631	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 631
NCPPB 633	NCPPB 633	NCPPB633	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 633
NCPPB 634	NCPPB 634	NCPPB634	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 634
NCPPB 637	NCPPB 637	NCPPB637	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 637
NCPPB 638	NCPPB 638	NCPPB638	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 638
NCPPB 642	NCPPB 642	NCPPB642	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 642
NCPPB 645	NCPPB 645	NCPPB645	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 645
NCPPB 646	NCPPB 646	NCPPB646	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 646
NCPPB 647	NCPPB 647	NCPPB647	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 647
NCPPB 648	NCPPB 648	NCPPB648	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 648
NCPPB 670	NCPPB 670	NCPPB670	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 670
NCPPB 701	NCPPB 701	NCPPB701	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 701
NCPPB 702	NCPPB 702	NCPPB702	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 702
NCPPB 761	NCPPB 761	NCPPB761	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 761
NCPPB 762	NCPPB 762	NCPPB762	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 762
NCPPB 793	NCPPB 793	NCPPB793	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 793
NCPPB 795	NCPPB 795	NCPPB795	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 795
NCPPB 840	NCPPB 840	NCPPB840	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 840
NCPPB 875	NCPPB 875	NCPPB875	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 875
NCPPB 881	NCPPB 881	NCPPB881	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 881
NCPPB 884	NCPPB 884	NCPPB884	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 884
NCPPB 885	NCPPB 885	NCPPB885	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 885
NCPPB 887	NCPPB 887	NCPPB887	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 887
NCPPB 888	NCPPB 888	NCPPB888	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 888
NCPPB 889	NCPPB 889	NCPPB889	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 889
NCPPB 891	NCPPB 891	NCPPB891	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 891
NCPPB 892	NCPPB 892	NCPPB892	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 892
NCPPB 893	NCPPB 893	NCPPB893	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 893
NCPPB 895	NCPPB 895	NCPPB895	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 895
NCPPB 896	NCPPB 896	NCPPB896	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 896
NCPPB 897	NCPPB 897	NCPPB897	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 897
