comparison	ncppb_number	record_status	field	change_class	old_value	new_value
v1_v3	NCPPB 1475	changed	name_as_received	formatting_only	Xanthomonas phaseoli f.sp . cassiae	Xanthomonas phaseoli f.sp. cassiae
v2_v3	NCPPB 1482	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v1_v3	NCPPB 1482	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v1_v2	NCPPB 1495	changed	alternative_names	value_changed	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978 Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995 Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978
v2_v3	NCPPB 1495	changed	alternative_names	v3_value_expanded	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995 Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas fuscans subsp. fuscans Schaad et al. 2007
v1_v3	NCPPB 1495	changed	alternative_names	value_changed	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978 Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas fuscans subsp. fuscans Schaad et al. 2007
v2_v3	NCPPB 1560	changed	current_name	value_changed	Xanthomonas sp. Dowson 1939	Xanthomonas dyei Young et al. 2010
v2_v3	NCPPB 1560	changed	alternative_names	probable_v3_truncation	Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas campestris
v1_v3	NCPPB 1560	changed	current_name	value_changed	Xanthomonas sp. Dowson 1939	Xanthomonas dyei Young et al. 2010
v1_v3	NCPPB 1560	changed	alternative_names	probable_v3_truncation	Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas campestris
v1_v3	NCPPB 1560	changed	notes	probable_v3_truncation	Partial gene sequencing of gyrB (Parkinson 2009) places this organism in a clade with Xanthomonas dyei strains. Pathovar unspecified. Fatty acid profile typical of Xanthomonas. X. campestris pv. lobeliae. Close to X. hortorum pv.hederae	Partial gene sequencing of gyrB (Parkinson 2009) places this organism in a clade with Xanthomonas dyei strains. Pathovar unspecified.
v2_v3	NCPPB 1562	added	__record__	added		
v1_v3	NCPPB 1562	added	__record__	added		
v2_v3	NCPPB 1568	changed	alternative_names	value_added		Xanthomonas jasminii Rangaswami & Eswaran 1961
v1_v3	NCPPB 1568	changed	alternative_names	value_added		Xanthomonas jasminii Rangaswami & Eswaran 1961
v2_v3	NCPPB 1593	changed	alternative_names	value_added		Xanthomonas campestris pv. argemones (Srinivasan et al. 1961) Dye 1978
v1_v3	NCPPB 1593	changed	alternative_names	value_added		Xanthomonas campestris pv. argemones (Srinivasan et al. 1961) Dye 1978
v2_v3	NCPPB 1594	changed	alternative_names	value_added		Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Dye 1978
v1_v3	NCPPB 1594	changed	alternative_names	value_added		Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Dye 1978
v2_v3	NCPPB 1595	changed	alternative_names	value_added		Xanthomonas campestris pv. physalidis (Srinivasan et al. 1962) Dye 1978
v1_v3	NCPPB 1595	changed	alternative_names	value_added		Xanthomonas campestris pv. physalidis (Srinivasan et al. 1962) Dye 1978
v2_v3	NCPPB 1596	changed	alternative_names	value_added		Xanthomonas campestris pv. spermacoces (Srinivasan & Patel 1956) Dye 1978
v1_v3	NCPPB 1596	changed	alternative_names	value_added		Xanthomonas campestris pv. spermacoces (Srinivasan & Patel 1956) Dye 1978
v2_v3	NCPPB 1612	changed	alternative_names	value_changed	Xanthomonas campestris pv. boerhaaviae (Mathur, Swarup and Sinha 1964) Bradbury 1978	Xanthomonas campestris pv. blepharidis (Srinivasan & Patel 1956) Dye 1978
v1_v3	NCPPB 1612	changed	alternative_names	value_changed	Xanthomonas campestris pv. boerhaaviae (Mathur, Swarup and Sinha 1964) Bradbury 1978	Xanthomonas campestris pv. blepharidis (Srinivasan & Patel 1956) Dye 1978
v2_v3	NCPPB 1616	changed	alternative_names	value_added		Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978
v1_v3	NCPPB 1616	changed	alternative_names	value_added		Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978
v2_v3	NCPPB 1628	changed	alternative_names	value_added		Xanthomonas campestris pv. alangii (Padhya & Patel 1962) Dye 1978
v1_v3	NCPPB 1628	changed	alternative_names	value_added		Xanthomonas campestris pv. alangii (Padhya & Patel 1962) Dye 1978
v2_v3	NCPPB 1633	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978, Xanthomonas axonopodis pv. vignicola (Burkholder 1944) Vauterin et al.1995
