comparison	ncppb_number	record_status	field	change_class	old_value	new_value
v2_v3	NCPPB 182	changed	current_name	value_changed	Xanthomonas sp. (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasicola pv. vasculorum (Cobb 1893) Vauterin et al. 1995
v2_v3	NCPPB 182	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978, Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995
v1_v3	NCPPB 182	changed	current_name	value_changed	Xanthomonas sp. (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasicola pv. vasculorum (Cobb 1893) Vauterin et al. 1995
v1_v3	NCPPB 182	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978, Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995
v2_v3	NCPPB 186	changed	alternative_names	probable_v3_truncation	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas thysanolaenae	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978
v1_v3	NCPPB 186	changed	alternative_names	probable_v3_truncation	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas thysanolaenae	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978
v2_v3	NCPPB 195	changed	alternative_names	value_added		Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978
v1_v3	NCPPB 195	changed	alternative_names	value_added		Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978
v2_v3	NCPPB 200	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995 Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v1_v3	NCPPB 200	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995 Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v2_v3	NCPPB 206	changed	alternative_names	value_changed	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas vasicola	Xanthomonas campestris pv. vasculorum (Cobb 1894) Dye 1978, Xanthomonas axonopodis pv. vasculorum (Cobb 1894) Vauterin et al. 1995, Xanthomonas vasicola pv. vasculorum (Cobb 1894) Vauterin et al. 1995 (Invalid name)
v1_v3	NCPPB 206	changed	alternative_names	value_changed	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas vasicola	Xanthomonas campestris pv. vasculorum (Cobb 1894) Dye 1978, Xanthomonas axonopodis pv. vasculorum (Cobb 1894) Vauterin et al. 1995, Xanthomonas vasicola pv. vasculorum (Cobb 1894) Vauterin et al. 1995 (Invalid name)
v2_v3	NCPPB 210	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v1_v3	NCPPB 210	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v2_v3	NCPPB 211	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989
v1_v3	NCPPB 211	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989
v2_v3	NCPPB 212	changed	alternative_names	value_added		Xanthomonas campestris pv. mangiferaeindicae (Patel et al. 1948) Robbs, Ribeiro & Kimura 1974, Xanthomonas axonopodis pv. mangiferaeindicae (Patel et al. 1948) Ah-You et al. 2007
v1_v3	NCPPB 212	changed	alternative_names	value_added		Xanthomonas campestris pv. mangiferaeindicae (Patel et al. 1948) Robbs, Ribeiro & Kimura 1974, Xanthomonas axonopodis pv. mangiferaeindicae (Patel et al. 1948) Ah-You et al. 2007
v2_v3	NCPPB 220	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995
v1_v3	NCPPB 220	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995
v2_v3	NCPPB 225	added	__record__	added		
v1_v3	NCPPB 225	added	__record__	added		
v2_v3	NCPPB 226	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989
v1_v3	NCPPB 226	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989
v2_v3	NCPPB 232	changed	alternative_names	v3_contains_old_value	Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978	Xanthomonas axonopodis pv. vitians (Brown 1918) Vauterin et al. 1995; Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978
v1_v3	NCPPB 232	changed	alternative_names	v3_contains_old_value	Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978	Xanthomonas axonopodis pv. vitians (Brown 1918) Vauterin et al. 1995; Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978
v2_v3	NCPPB 243	changed	alternative_names	value_added		Xanthomonas campestris pv. uppalii (Patel 1948) Dye 1978
v1_v3	NCPPB 243	changed	alternative_names	value_added		Xanthomonas campestris pv. uppalii (Patel 1948) Dye 1978
v2_v3	NCPPB 245	added	__record__	added		
v1_v3	NCPPB 245	added	__record__	added		
v2_v3	NCPPB 272	added	__record__	added		
v1_v3	NCPPB 272	added	__record__	added		
v2_v3	NCPPB 293	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v1_v3	NCPPB 293	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v2_v3	NCPPB 301	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995
v1_v3	NCPPB 301	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995
v2_v3	NCPPB 302	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995
v1_v3	NCPPB 302	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995
v2_v3	NCPPB 315	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v1_v3	NCPPB 315	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v2_v3	NCPPB 348	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978, Xanthomonas axonopodis pv. manihotis (Bondar 1912) Vauterin et al. 1995
v1_v3	NCPPB 348	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978, Xanthomonas axonopodis pv. manihotis (Bondar 1912) Vauterin et al. 1995
v1_v2	NCPPB 381	changed	alternative_names	value_changed	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978 Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995 Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978
v2_v3	NCPPB 381	changed	alternative_names	v3_value_expanded	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995 Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas fuscans subsp. fuscans Schaad et al. 2007
v1_v3	NCPPB 381	changed	alternative_names	value_changed	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978 Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas fuscans subsp. fuscans Schaad et al. 2007
v2_v3	NCPPB 405	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989
v1_v3	NCPPB 405	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989
v2_v3	NCPPB 406	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989
v1_v3	NCPPB 406	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989
v2_v3	NCPPB 407	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989
v1_v3	NCPPB 407	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989
v2_v3	NCPPB 408	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989
v1_v3	NCPPB 408	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989
v2_v3	NCPPB 409	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915)
v1_v3	NCPPB 409	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915)
v2_v3	NCPPB 410	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989
v1_v3	NCPPB 410	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989
v2_v3	NCPPB 449	added	__record__	added		
v1_v3	NCPPB 449	added	__record__	added		
v2_v3	NCPPB 457	changed	alternative_names	value_added		Xanthomonas axonopodis pv. axonopodis Starr & Garces 1950
v1_v3	NCPPB 457	changed	alternative_names	value_added		Xanthomonas axonopodis pv. axonopodis Starr & Garces 1950
v2_v3	NCPPB 466	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. punicae (Hingorani & Singh 1959) Dye 1978	Xanthomonas campestris pv. punicae (Hingorani & Singh 1959) Dye 1978, Xanthomonas axonopodis pv. punicae (Hingorani & Singh 1959) Vauterin et al. 1995
v1_v3	NCPPB 466	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. punicae (Hingorani & Singh 1959) Dye 1978	Xanthomonas campestris pv. punicae (Hingorani & Singh 1959) Dye 1978, Xanthomonas axonopodis pv. punicae (Hingorani & Singh 1959) Vauterin et al. 1995
v2_v3	NCPPB 473	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. punicae (Hingorani & Singh 1959) Dye 1978	Xanthomonas campestris pv. punicae (Hingorani & Singh 1959) Dye 1978, Xanthomonas axonopodis pv. punicae (Hingorani & Singh 1959) Vauterin et al. 1995
v1_v3	NCPPB 473	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. punicae (Hingorani & Singh 1959) Dye 1978	Xanthomonas campestris pv. punicae (Hingorani & Singh 1959) Dye 1978, Xanthomonas axonopodis pv. punicae (Hingorani & Singh 1959) Vauterin et al. 1995
v2_v3	NCPPB 476	changed	alternative_names	value_added		Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978
v1_v3	NCPPB 476	changed	alternative_names	value_added		Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978
v2_v3	NCPPB 477	changed	alternative_names	value_added		Xanthomonas campestris pv. trichodesmae (Patel et al.1952) Dye 1978
v1_v3	NCPPB 477	changed	alternative_names	value_added		Xanthomonas campestris pv. trichodesmae (Patel et al.1952) Dye 1978
v2_v3	NCPPB 480	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978, Xanthomonas axonopodis pv. alfalfae (Riker et al. 1935) Vauterin et al. 1995, Xanthomonas alfalfae subsp. alfalfae (ex Riker et al. 1935) Schaad et al. 2007
v1_v3	NCPPB 480	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978, Xanthomonas axonopodis pv. alfalfae (Riker et al. 1935) Vauterin et al. 1995, Xanthomonas alfalfae subsp. alfalfae (ex Riker et al. 1935) Schaad et al. 2007
v2_v3	NCPPB 490	changed	alternative_names	value_added		Xanthomonas campestris pv. mangiferaeindicae (Patel et al. 1948) Robbs, Ribeiro & Kimura 1974, Xanthomonas axonopodis pv. mangiferaeindicae (Patel et al. 1948) Ah-You et al. 2007
v1_v3	NCPPB 490	changed	alternative_names	value_added		Xanthomonas campestris pv. mangiferaeindicae (Patel et al. 1948) Robbs, Ribeiro & Kimura 1974, Xanthomonas axonopodis pv. mangiferaeindicae (Patel et al. 1948) Ah-You et al. 2007
v2_v3	NCPPB 554	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978, Xanthomonas axonopodis pv. glycines (Nakano 1919) Vauterin et al. 1995
v1_v3	NCPPB 554	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978, Xanthomonas axonopodis pv. glycines (Nakano 1919) Vauterin et al. 1995
v2_v3	NCPPB 555	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978, Xanthomonas axonopodis pv. vignicola (Burkholder 1944) Vauterin et al.1995
v1_v3	NCPPB 555	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978, Xanthomonas axonopodis pv. vignicola (Burkholder 1944) Vauterin et al.1995
v2_v3	NCPPB 556	changed	alternative_names	v3_contains_old_value	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978
v1_v3	NCPPB 556	changed	alternative_names	v3_contains_old_value	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978
v2_v3	NCPPB 557	changed	alternative_names	v3_contains_old_value	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978
v1_v3	NCPPB 557	changed	alternative_names	v3_contains_old_value	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978
v2_v3	NCPPB 575	changed	alternative_names	value_added		Xanthomonas campestris pv. clerodendri (Patel et al. 1952) Dye 1978
v1_v3	NCPPB 575	changed	alternative_names	value_added		Xanthomonas campestris pv. clerodendri (Patel et al. 1952) Dye 1978
v2_v3	NCPPB 577	changed	alternative_names	value_changed	Xanthomonas campestris pv. desmodiigangetici ( Patel & Moniz 1948) Dye 1978	Xanthomonas camp. pv. desmodiigangetici ( Patel & Moniz 1948) Dye 1978
v1_v3	NCPPB 577	changed	alternative_names	value_changed	Xanthomonas campestris pv. desmodiigangetici ( Patel & Moniz 1948) Dye 1978	Xanthomonas camp. pv. desmodiigangetici ( Patel & Moniz 1948) Dye 1978
v2_v3	NCPPB 578	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. erythrinae (Patel et al. 1952) Dye 1978	Xanthomonas campestris pv. erythrinae (Patel et al. 1952) Dye 1978, Xanthomonas axonopodis pv. erythrinae (Patel et al. 1952) Vauterin et al. 1995
v1_v3	NCPPB 578	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. erythrinae (Patel et al. 1952) Dye 1978	Xanthomonas campestris pv. erythrinae (Patel et al. 1952) Dye 1978, Xanthomonas axonopodis pv. erythrinae (Patel et al. 1952) Vauterin et al. 1995
v2_v3	NCPPB 579	changed	alternative_names	value_added		Xanthomonas campestris pv. lawsoniae (Patel et al. 1951) Dye 1978
v1_v3	NCPPB 579	changed	alternative_names	value_added		Xanthomonas campestris pv. lawsoniae (Patel et al. 1951) Dye 1978
v2_v3	NCPPB 582	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. sesbaniae (Patel et al. 1952) Dye 1978	Xanthomonas campestris pv. sesbaniae (Patel et al. 1952) Dye 1978, Xanthomonas axonopodis pv. sesbaniae (Patel et al. 1952) Vauterin et al. 1995
v1_v3	NCPPB 582	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. sesbaniae (Patel et al. 1952) Dye 1978	Xanthomonas campestris pv. sesbaniae (Patel et al. 1952) Dye 1978, Xanthomonas axonopodis pv. sesbaniae (Patel et al. 1952) Vauterin et al. 1995
v2_v3	NCPPB 583	added	__record__	added		
v1_v3	NCPPB 583	added	__record__	added		
v2_v3	NCPPB 585	changed	alternative_names	value_added		Xanthomonas campestris pv. trichodesmae (Patel et al.1952) Dye 1978
v1_v3	NCPPB 585	changed	alternative_names	value_added		Xanthomonas campestris pv. trichodesmae (Patel et al.1952) Dye 1978
v2_v3	NCPPB 586	changed	alternative_names	value_added		Xanthomonas campestris pv. uppalii (Patel 1948) Dye 1978
v1_v3	NCPPB 586	changed	alternative_names	value_added		Xanthomonas campestris pv. uppalii (Patel 1948) Dye 1978
v2_v3	NCPPB 614	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v1_v3	NCPPB 614	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v2_v3	NCPPB 631	changed	alternative_names	value_added		Xanthomonas campestris pv. sesami (Sabet & Dowson 1960) Dye 1978
v1_v3	NCPPB 631	changed	alternative_names	value_added		Xanthomonas campestris pv. sesami (Sabet & Dowson 1960) Dye 1978
v2_v3	NCPPB 633	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v1_v3	NCPPB 633	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v2_v3	NCPPB 634	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v1_v3	NCPPB 634	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v2_v3	NCPPB 638	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978, Xanthomonas axonopodis pv. vignicola (Burkholder 1944) Vauterin et al.1995
v1_v3	NCPPB 638	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978, Xanthomonas axonopodis pv. vignicola (Burkholder 1944) Vauterin et al.1995
v2_v3	NCPPB 647	changed	alternative_names	value_added		Xanthomonas campestris pv. sesami (Sabet & Dowson 1960) Dye 1978
v1_v3	NCPPB 647	changed	alternative_names	value_added		Xanthomonas campestris pv. sesami (Sabet & Dowson 1960) Dye 1978
v2_v3	NCPPB 648	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978, Xanthomonas axonopodis pv. alfalfae (Riker et al. 1935) Vauterin et al. 1995, Xanthomonas alfalfae subsp. alfalfae (ex Riker et al. 1935) Schaad et al. 2007
v1_v3	NCPPB 648	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978, Xanthomonas axonopodis pv. alfalfae (Riker et al. 1935) Vauterin et al. 1995, Xanthomonas alfalfae subsp. alfalfae (ex Riker et al. 1935) Schaad et al. 2007
v2_v3	NCPPB 670	changed	alternative_names	v3_contains_old_value	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas fuscans subsp. fuscans Schaad et al. 2007
