query_id	ncppb_number	query_track	query_tier	identifier_raw	identifier_normalized	identifier_type	identifier_strength	expected_genus	retrieval_strategy	query_variants_json	local_match_variants_json	ncbi_database	query_term	page_size	max_records
aaee244d082b80de88b5	NCPPB 3426	ncppb_number	exact_full_identifier	NCPPB 3426	NCPPB3426	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3426"",""NCPPB3426"",""NCPPB:3426""]"	"[""NCPPB 3426"",""NCPPB3426"",""NCPPB:3426""]"	biosample	"(""NCPPB 3426""[Text Word] OR ""NCPPB3426""[Text Word] OR ""NCPPB:3426""[Text Word])"	100	500
e3c129649f36de91ac88	NCPPB 3434	ncppb_number	exact_full_identifier	NCPPB 3434	NCPPB3434	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3434"",""NCPPB3434"",""NCPPB:3434""]"	"[""NCPPB 3434"",""NCPPB3434"",""NCPPB:3434""]"	biosample	"(""NCPPB 3434""[Text Word] OR ""NCPPB3434""[Text Word] OR ""NCPPB:3434""[Text Word])"	100	500
b8b63bc288bf74258c6b	NCPPB 3435	ncppb_number	exact_full_identifier	NCPPB 3435	NCPPB3435	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3435"",""NCPPB3435"",""NCPPB:3435""]"	"[""NCPPB 3435"",""NCPPB3435"",""NCPPB:3435""]"	biosample	"(""NCPPB 3435""[Text Word] OR ""NCPPB3435""[Text Word] OR ""NCPPB:3435""[Text Word])"	100	500
8be570bd12696c8d8e20	NCPPB 3437	ncppb_number	exact_full_identifier	NCPPB 3437	NCPPB3437	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3437"",""NCPPB3437"",""NCPPB:3437""]"	"[""NCPPB 3437"",""NCPPB3437"",""NCPPB:3437""]"	biosample	"(""NCPPB 3437""[Text Word] OR ""NCPPB3437""[Text Word] OR ""NCPPB:3437""[Text Word])"	100	500
4de0b92b205571afd647	NCPPB 3438	ncppb_number	exact_full_identifier	NCPPB 3438	NCPPB3438	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3438"",""NCPPB3438"",""NCPPB:3438""]"	"[""NCPPB 3438"",""NCPPB3438"",""NCPPB:3438""]"	biosample	"(""NCPPB 3438""[Text Word] OR ""NCPPB3438""[Text Word] OR ""NCPPB:3438""[Text Word])"	100	500
1e0c32708f38b91bb23c	NCPPB 3440	ncppb_number	exact_full_identifier	NCPPB 3440	NCPPB3440	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3440"",""NCPPB3440"",""NCPPB:3440""]"	"[""NCPPB 3440"",""NCPPB3440"",""NCPPB:3440""]"	biosample	"(""NCPPB 3440""[Text Word] OR ""NCPPB3440""[Text Word] OR ""NCPPB:3440""[Text Word])"	100	500
9fcb2294b84fd9facb07	NCPPB 3441	ncppb_number	exact_full_identifier	NCPPB 3441	NCPPB3441	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3441"",""NCPPB3441"",""NCPPB:3441""]"	"[""NCPPB 3441"",""NCPPB3441"",""NCPPB:3441""]"	biosample	"(""NCPPB 3441""[Text Word] OR ""NCPPB3441""[Text Word] OR ""NCPPB:3441""[Text Word])"	100	500
e90c2e88a09c71a8aa7d	NCPPB 3442	ncppb_number	exact_full_identifier	NCPPB 3442	NCPPB3442	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3442"",""NCPPB3442"",""NCPPB:3442""]"	"[""NCPPB 3442"",""NCPPB3442"",""NCPPB:3442""]"	biosample	"(""NCPPB 3442""[Text Word] OR ""NCPPB3442""[Text Word] OR ""NCPPB:3442""[Text Word])"	100	500
65a8923e7883b91a66ba	NCPPB 3443	ncppb_number	exact_full_identifier	NCPPB 3443	NCPPB3443	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3443"",""NCPPB3443"",""NCPPB:3443""]"	"[""NCPPB 3443"",""NCPPB3443"",""NCPPB:3443""]"	biosample	"(""NCPPB 3443""[Text Word] OR ""NCPPB3443""[Text Word] OR ""NCPPB:3443""[Text Word])"	100	500
db8058360a99adb8bb83	NCPPB 3456	ncppb_number	exact_full_identifier	NCPPB 3456	NCPPB3456	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3456"",""NCPPB3456"",""NCPPB:3456""]"	"[""NCPPB 3456"",""NCPPB3456"",""NCPPB:3456""]"	biosample	"(""NCPPB 3456""[Text Word] OR ""NCPPB3456""[Text Word] OR ""NCPPB:3456""[Text Word])"	100	500
a88dcd893731bdb2c181	NCPPB 3457	ncppb_number	exact_full_identifier	NCPPB 3457	NCPPB3457	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3457"",""NCPPB3457"",""NCPPB:3457""]"	"[""NCPPB 3457"",""NCPPB3457"",""NCPPB:3457""]"	biosample	"(""NCPPB 3457""[Text Word] OR ""NCPPB3457""[Text Word] OR ""NCPPB:3457""[Text Word])"	100	500
b2e2ec0636b856f2e824	NCPPB 3479	ncppb_number	exact_full_identifier	NCPPB 3479	NCPPB3479	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3479"",""NCPPB3479"",""NCPPB:3479""]"	"[""NCPPB 3479"",""NCPPB3479"",""NCPPB:3479""]"	biosample	"(""NCPPB 3479""[Text Word] OR ""NCPPB3479""[Text Word] OR ""NCPPB:3479""[Text Word])"	100	500
95486874557b9b6bd3d4	NCPPB 3484	ncppb_number	exact_full_identifier	NCPPB 3484	NCPPB3484	ncppb_number	primary	Xylophilus	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3484"",""NCPPB3484"",""NCPPB:3484""]"	"[""NCPPB 3484"",""NCPPB3484"",""NCPPB:3484""]"	biosample	"(""NCPPB 3484""[Text Word] OR ""NCPPB3484""[Text Word] OR ""NCPPB:3484""[Text Word])"	100	500
bfefb8ef155c2dd56468	NCPPB 3559	ncppb_number	exact_full_identifier	NCPPB 3559	NCPPB3559	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3559"",""NCPPB3559"",""NCPPB:3559""]"	"[""NCPPB 3559"",""NCPPB3559"",""NCPPB:3559""]"	biosample	"(""NCPPB 3559""[Text Word] OR ""NCPPB3559""[Text Word] OR ""NCPPB:3559""[Text Word])"	100	500
fa65aa23e054d28cc029	NCPPB 3560	ncppb_number	exact_full_identifier	NCPPB 3560	NCPPB3560	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3560"",""NCPPB3560"",""NCPPB:3560""]"	"[""NCPPB 3560"",""NCPPB3560"",""NCPPB:3560""]"	biosample	"(""NCPPB 3560""[Text Word] OR ""NCPPB3560""[Text Word] OR ""NCPPB:3560""[Text Word])"	100	500
864f98089fb451ff98f2	NCPPB 3561	ncppb_number	exact_full_identifier	NCPPB 3561	NCPPB3561	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3561"",""NCPPB3561"",""NCPPB:3561""]"	"[""NCPPB 3561"",""NCPPB3561"",""NCPPB:3561""]"	biosample	"(""NCPPB 3561""[Text Word] OR ""NCPPB3561""[Text Word] OR ""NCPPB:3561""[Text Word])"	100	500
