ncppb_number	snapshot_status	v1_sequence_category	v2_sequence_category	sequence_category_changed	v1_biosample_accessions	v2_biosample_accessions	biosample_accessions_changed	v1_assembly_accessions	v2_assembly_accessions	assembly_accessions_changed	v1_sra_run_accessions	v2_sra_run_accessions	sra_accessions_changed	v2_ncppb_track_matches	v2_other_references_track_matches
NCPPB 3587	present_in_both	ambiguous_candidate_records_need_review	no_confirmed_public_data	yes			no			no			no		
NCPPB 3588	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3589	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3592	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3593	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3595	present_in_both	draft_assembly_available	ambiguous_needs_review	yes	SAMN30096794		yes	GCF_031630075.1		yes	SRR35290729; SRR35018596		yes		
NCPPB 3596	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3607	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMEA2827559	SAMEA2827559	no	GCF_000825345.2	GCF_000825345.2	no			no	SAMEA2827559	
NCPPB 3608	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3609	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3611	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3612	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMEA2827237	SAMEA2827237; SAMN13783131	yes	GCF_000825385.2	GCF_000825385.2	no		SRR11234640	yes	SAMEA2827237; SAMN13783131	
NCPPB 3614	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3615	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMEA2827229; SAMEA2827227	SAMEA2827229; SAMEA2827227	no	GCF_000825585.2; GCF_000825565.2	GCF_000825585.2; GCF_000825565.2	no			no	SAMEA2827229; SAMEA2827227	
NCPPB 3638	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3639	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3640	present_in_both	draft_assembly_available	ambiguous_needs_review	yes	SAMN30096796		yes	GCF_031630015.1		yes	SRR35018594		yes		
NCPPB 3641	present_in_both	draft_assembly_available	ambiguous_needs_review	yes	SAMN30096797		yes	GCF_031629995.1		yes	SRR35018593		yes		
NCPPB 3642	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3646	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3647	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3651	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3652	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3653	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3654	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3655	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3656	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3657	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3658	present_in_both	chromosome_level_assembly_available	chromosome_level_assembly_available	no	SAMN02469937	SAMN02469937	no	GCF_000488895.1	GCF_000488895.1	no	SRR14027991	SRR14027991	no		SAMN02469937
NCPPB 3659	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3660	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN03142811	SAMN03142811	no	GCF_000786925.1	GCF_000786925.1	no	SRR2052643	SRR2052643	no	SAMN03142811	
NCPPB 3661	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3662	present_in_both	complete_genome_available	complete_genome_available	no	SAMN42178438	SAMN42178438	no	GCF_053571425.1	GCF_053571425.1	no	SRR30041328; SRR29654671	SRR29654671; SRR30041328	no	SAMN42178438	
NCPPB 3663	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3705	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3706	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3709	present_in_both	complete_genome_available	complete_genome_available	no	SAMN19468006; SAMEA4072397	SAMN19468006; SAMEA4072397	no	GCF_055476535.1; GCF_900092565.1	GCF_055476535.1; GCF_900092565.1	no			no	SAMN19468006; SAMEA4072397	
NCPPB 3711	present_in_both	complete_genome_available	complete_genome_available	no	SAMN19021786	SAMN19021786	no	GCF_030168915.1	GCF_030168915.1	no			no	SAMN19021786	
NCPPB 3712	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3713	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3714	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3716	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3717	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3718	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3719	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3720	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3722	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3742	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3743	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN39942675; SAMEA4590056	SAMN39942675; SAMEA4590056	no	GCF_900380055.1	GCF_900380055.1	no	SRR27965827; ERR2528887	SRR27965827; ERR2528887	no	SAMN39942675; SAMEA4590056	
NCPPB 3744	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3753	present_in_both	draft_assembly_available	taxonomy_review_required_before_sequence_use	yes	SAMN03164132	SAMN03164132	no	GCF_000802405.1		yes	SRR4718190		yes	SAMN03164132	
NCPPB 3754	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3758	present_in_both	complete_genome_available	complete_genome_available	no	SAMN42180201	SAMN42180201	no	GCF_041462925.1	GCF_041462925.1	no	SRR30037602; SRR29655429	SRR29655429; SRR30037602	no	SAMN42180201	
NCPPB 3759	present_in_both	draft_assembly_available	taxonomy_review_required_before_sequence_use	yes	SAMN19988984	SAMN19988984	no	GCF_019201105.1		yes	SRR15305426		yes	SAMN19988984	
NCPPB 3761	present_in_both	complete_genome_available	complete_genome_available	no	SAMN42161490	SAMN42161490	no	GCF_041475705.1	GCF_041475705.1	no	SRR30040130; SRR29644156	SRR29644156; SRR30040130	no	SAMN42161490	
NCPPB 3776	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3786	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3795	present_in_both	complete_genome_available	taxonomy_review_required_before_sequence_use	yes	SAMN42175582	SAMN42175582	no	GCF_041463615.1		yes	SRR30037664; SRR29651790		yes	SAMN42175582	
