ncppb_number	snapshot_status	v1_sequence_category	v2_sequence_category	sequence_category_changed	v1_biosample_accessions	v2_biosample_accessions	biosample_accessions_changed	v1_assembly_accessions	v2_assembly_accessions	assembly_accessions_changed	v1_sra_run_accessions	v2_sra_run_accessions	sra_accessions_changed	v2_ncppb_track_matches	v2_other_references_track_matches
NCPPB 4379	present_in_both	complete_genome_available	complete_genome_available	no	SAMN49535423; SAMN00991242	SAMN49535423; SAMN00991242	no	GCF_055597685.1; GCF_000277895.2	GCF_055597685.1; GCF_000277895.2	no	SRR34105446; SRR34103838; SRR494484	SRR34103838; SRR34105446; SRR494484	no	SAMN49535423; SAMN00991242	
NCPPB 4380	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN00991243	SAMN00991243	no	GCF_000277915.1	GCF_000277915.1	no	SRR494485	SRR494485	no	SAMN00991243	
NCPPB 4381	present_in_both	complete_genome_available	complete_genome_available	no	SAMN49535422; SAMN00002877	SAMN49535422; SAMN00002877	no	GCF_055598165.1; GCF_000159815.1	GCF_055598165.1; GCF_000159815.1	no	SRR34105447; SRR34103839; SRR020203	SRR34103839; SRR34105447; SRR020203	no	SAMN49535422; SAMN00002877	
NCPPB 4383	present_in_both	raw_reads_only	raw_reads_only	no	SAMN00991249	SAMN00991249	no			no	SRR494493	SRR494493	no	SAMN00991249	
NCPPB 4384	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN00991244	SAMN00991244	no	GCF_000277935.1	GCF_000277935.1	no	SRR494488	SRR494488	no	SAMN00991244	
NCPPB 4385	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4386	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4387	present_in_both	raw_reads_only	raw_reads_only	no	SAMN00991250	SAMN00991250	no			no	SRR494494	SRR494494	no	SAMN00991250	
NCPPB 4388	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4389	present_in_both	raw_reads_only	raw_reads_only	no	SAMN00991251	SAMN00991251	no			no	SRR494495	SRR494495	no	SAMN00991251	
NCPPB 4390	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN20034693	SAMN20034693	no	GCF_019209735.1	GCF_019209735.1	no	SRR29823135	SRR29823135	no	SAMN20034693	
NCPPB 4391	present_in_both	raw_reads_only	raw_reads_only	no	SAMN41763921	SAMN41763921	no			no	SRR29334731	SRR29334731	no	SAMN41763921	
NCPPB 4392	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN02471739; SAMN00991254	SAMN02471739; SAMN00991254	no	GCF_000277955.1	GCF_000277955.1	no	SRR494498	SRR494498	no	SAMN02471739; SAMN00991254	
NCPPB 4393	present_in_both	draft_assembly_available	raw_reads_only	yes	SAMN42486834; SAMN02471171; SAMN00752561	SAMN42486834; SAMN02471171; SAMN00752561	no	GCF_000225975.1		yes	SRR29823053; SRR364088	SRR29823053	yes	SAMN42486834; SAMN02471171; SAMN00752561	
NCPPB 4394	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN00991245	SAMN00991245	no	GCF_000277975.1	GCF_000277975.1	no	SRR494489	SRR494489	no	SAMN00991245	
NCPPB 4395	present_in_both	complete_genome_available	complete_genome_available	no	SAMN49535421; SAMN00991246	SAMN49535421; SAMN00991246	no	GCF_055597605.1	GCF_055597605.1	no	SRR34105448; SRR34103840; SRR494490	SRR34103840; SRR34105448; SRR494490	no	SAMN49535421; SAMN00991246	
NCPPB 4397	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4398	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4399	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4402	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4403	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN43282785; SAMN43281686; SAMD00253057	SAMN43282785; SAMN43281686; SAMD00253057	no	GCF_042431565.1	GCF_042431565.1	no			no		SAMN43282785; SAMN43281686; SAMD00253057
NCPPB 4404	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4405	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4407	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN03265443	SAMN03265443	no	GCF_000831625.1	GCF_000831625.1	no			no		SAMN03265443
NCPPB 4409	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMEA104393682	SAMEA104393682	no	GCF_900240435.1	GCF_900240435.1	no			no		SAMEA104393682
NCPPB 4410	present_in_both	no_confirmed_public_sequence_data	ambiguous_needs_review	yes			no			no			no		
NCPPB 4411	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4412	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN05003921; SAMN02903171	SAMN05003921; SAMN02903171	no	GCF_001401625.1	GCF_001401625.1	no	SRR3530426; SRR1510075	SRR3530426; SRR1510075	no		SAMN05003921; SAMN02903171
NCPPB 4413	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4414	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4415	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4416	missing_from_v2_snapshot	no_confirmed_public_sequence_data		no			no			no			no		
NCPPB 4418	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4433	present_in_both	raw_reads_only	raw_reads_only	no	SAMN00991252	SAMN00991252	no			no	SRR494496	SRR494496	no	SAMN00991252	
NCPPB 4434	present_in_both	raw_reads_only	raw_reads_only	no	SAMN00991253	SAMN00991253	no			no	SRR494497	SRR494497	no	SAMN00991253	
NCPPB 4435	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4446	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN56511376; SAMN43282364; SAMN43282128; SAMN43281663; SAMD00253031; SAMN05560230	SAMN56511376; SAMN05560230; SAMN43282364; SAMN43282128; SAMN43281663; SAMD00253031	no	GCF_042685705.1; GCF_042648245.1; GCF_042432045.1; GCF_002939865.1	GCF_002939865.1; GCF_042685705.1; GCF_042648245.1; GCF_042432045.1	no	SRR37789899; SRR37629082	SRR37629082; SRR37789899	no	SAMN56511376	SAMN05560230; SAMN43282364; SAMN43282128; SAMN43281663; SAMD00253031
NCPPB 4448	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4449	present_in_both	complete_genome_available	taxonomy_review_required_before_sequence_use	yes	SAMN21172023	SAMN21172023	no	GCF_021906995.1		yes			no		SAMN21172023
NCPPB 4450	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4451	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4466	present_in_both	complete_genome_available	complete_genome_available	no	SAMN42161493; SAMN40354561	SAMN42161493; SAMN40354561	no	GCF_056725105.1; GCF_040203125.2	GCF_056725105.1; GCF_040203125.2	no	SRR30040128; SRR29644153; SRR30293598; SRR28281429	SRR29644153; SRR30040128; SRR28281429; SRR30293598	no	SAMN42161493	SAMN40354561
NCPPB 4468	present_in_both	complete_genome_available	complete_genome_available	no	SAMN42161495	SAMN42161495	no	GCF_041475675.1	GCF_041475675.1	no	SRR30040126; SRR29644181	SRR29644181; SRR30040126	no	SAMN42161495	
NCPPB 4584	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4590	present_in_both	complete_genome_available	complete_genome_available	no	SAMN40354539; SAMEA114332011; SAMN05003919; SAMN02903175; SAMN47254572	SAMN40354539; SAMN47254572; SAMEA114332011; SAMN05003919; SAMN02903175	no	GCF_040202855.1; GCF_963669775.1; GCF_001401655.1; GCF_056846615.1	GCF_040202855.1; GCF_056846615.1; GCF_963669775.1; GCF_001401655.1	no	SRR30293561; SRR28281414; ERR12095350; SRR3530231; SRR1509921; SRR32606474	SRR28281414; SRR30293561; SRR32606474; ERR12095350; SRR3530231; SRR1509921	no	SAMN40354539	SAMN47254572; SAMEA114332011; SAMN05003919; SAMN02903175
NCPPB 4594	present_in_both	raw_reads_only	taxonomy_review_required_before_sequence_use	yes	SAMN56511377	SAMN56511377	no			no	SRR37789898; SRR37629081		yes	SAMN56511377	
NCPPB 4600	present_in_both	complete_genome_available	complete_genome_available	no	SAMN27412262; SAMN04922375	SAMN27412262; SAMN04922375	no	GCF_023337295.3; GCF_001660815.1	GCF_023337295.3; GCF_001660815.1	no	SRR27397231; SRR25378124; SRR6131963	SRR25378124; SRR27397231; SRR6131963	no		SAMN27412262; SAMN04922375
NCPPB 4601	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN36318506; SAMN04922374	SAMN36318506; SAMN04922374	no	GCF_034929335.1; GCF_001642575.1	GCF_034929335.1; GCF_001642575.1	no	SRR25160157; SRR6130696	SRR25160157; SRR6130696	no		SAMN36318506; SAMN04922374
NCPPB 4613	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN36357967	SAMN36357967	no	GCF_030551435.2	GCF_030551435.2	no	SRR25194058	SRR25194058	no	SAMN36357967	
NCPPB 4614	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN36357968; SAMN36357978	SAMN36357968	yes	GCF_030551355.2; GCF_045887055.1	GCF_030551355.2	yes	SRR25194047; SRR25194028	SRR25194047	yes	SAMN36357968	
NCPPB 4615	present_in_both	raw_reads_only	ambiguous_needs_review	yes	SAMN25050887		yes			no	SRR17731500; SRR17731501; SRR17731502; SRR17731503; SRR17731504; SRR17731505; SRR17731506; SRR17731507; SRR17731508; SRR17731509; SRR17731510; SRR17731511		yes		
NCPPB 4618	present_in_both	complete_genome_available	complete_genome_available	no	SAMN26806290	SAMN26806290	no	GCA_022749655.1	GCA_022749655.1	no			no		SAMN26806290
NCPPB 4622	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4623	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4625	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4629	present_in_both	raw_reads_only	raw_reads_only	no	SAMN56511378	SAMN56511378	no			no	SRR37789897; SRR37629080	SRR37629080; SRR37789897	no	SAMN56511378	
NCPPB 4630	present_in_both	raw_reads_only	raw_reads_only	no	SAMN56511379	SAMN56511379	no			no	SRR37789896; SRR37629079	SRR37629079; SRR37789896	no	SAMN56511379	
NCPPB 4631	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN40354518	SAMN40354518	no	GCF_040194495.1	GCF_040194495.1	no	SRR30295612; SRR28281129	SRR28281129; SRR30295612	no		SAMN40354518
NCPPB 4632	present_in_both	raw_reads_only	raw_reads_only	no	SAMN56511380	SAMN56511380	no			no	SRR37789895; SRR37629078	SRR37629078; SRR37789895	no	SAMN56511380	
NCPPB 4633	present_in_both	raw_reads_only	raw_reads_only	no	SAMN56511381	SAMN56511381	no			no	SRR37789894; SRR37629077	SRR37629077; SRR37789894	no	SAMN56511381	
NCPPB 4634	present_in_both	raw_reads_only	raw_reads_only	no	SAMN56511382	SAMN56511382	no			no	SRR37789893; SRR37629076	SRR37629076; SRR37789893	no	SAMN56511382	
NCPPB 4635	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4660	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN36001536	SAMN36001536	no	GCF_034553975.1	GCF_034553975.1	no	SRR25039487	SRR25039487	no		SAMN36001536
NCPPB 4661	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN36368309; SAMN10440464	SAMN36368309; SAMN10440464	no	GCA_035023425.1; GCF_047458975.1	GCA_035023425.1; GCF_047458975.1	no	SRR25205302	SRR25205302	no		SAMN36368309; SAMN10440464
NCPPB 4662	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN36001539	SAMN36001539	no	GCF_034554015.1	GCF_034554015.1	no	SRR25039484	SRR25039484	no		SAMN36001539
NCPPB 4663	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN36293677	SAMN36293677	no	GCF_035011845.1	GCF_035011845.1	no	SRR25133474	SRR25133474	no		SAMN36293677
NCPPB 4664	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN36001541	SAMN36001541	no	GCF_034554075.1	GCF_034554075.1	no	SRR25039482	SRR25039482	no		SAMN36001541
NCPPB 4665	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN36001542	SAMN36001542	no	GCF_034554095.1	GCF_034554095.1	no	SRR25039481	SRR25039481	no		SAMN36001542
NCPPB 4666	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN27412261; SAMN09828208	SAMN27412261; SAMN09828208	no	GCF_023337315.1; GCF_003409975.1	GCF_023337315.1; GCF_003409975.1	no	SRR25378123	SRR25378123	no		SAMN27412261; SAMN09828208
NCPPB 4668	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN36346923; SAMN10440477	SAMN36346923; SAMN10440477	no	GCA_035023305.1; GCF_047458755.1	GCA_035023305.1; GCF_047458755.1	no	SRR25183344; SRR25183374	SRR25183374; SRR25183344	no		SAMN36346923; SAMN10440477
NCPPB 4669	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN36368340; SAMN10440482	SAMN36368340; SAMN10440482	no	GCA_035025925.1; GCA_056578565.1	GCA_035025925.1; GCA_056578565.1	no	SRR25205287	SRR25205287	no		SAMN36368340; SAMN10440482
NCPPB 4670	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN36368317; SAMN10440467	SAMN36368317; SAMN10440467	no	GCF_047458875.1	GCF_047458875.1	no	SRR25205312	SRR25205312	no		SAMN36368317; SAMN10440467
NCPPB 4671	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN36368308; SAMN10440469	SAMN36368308; SAMN10440469	no	GCF_047458835.1	GCF_047458835.1	no	SRR25205313	SRR25205313	no		SAMN36368308; SAMN10440469
NCPPB 4675	present_in_both	complete_genome_available	complete_genome_available	no	SAMEA4722874; SAMEA7742038	SAMEA4722874; SAMEA7742038	no	GCF_900476395.1; GCF_905187425.1	GCF_900476395.1; GCF_905187425.1	no	ERR2767969; ERR5106569	ERR2767969; ERR5106569	no	SAMEA4722874	SAMEA4722874; SAMEA7742038
NCPPB 4676	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMEA4722873	SAMEA4722873	no	GCF_900476315.1	GCF_900476315.1	no	ERR2767972	ERR2767972	no		SAMEA4722873
NCPPB 4678	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN56511383; SAMN43286080	SAMN56511383; SAMN43286080	no	GCF_041521225.1	GCF_041521225.1	no	SRR37789892; SRR37629075; SRR30327314	SRR37629075; SRR37789892; SRR30327314	no	SAMN56511383; SAMN43286080	
NCPPB 4679	present_in_both	raw_reads_only	raw_reads_only	no	SAMN56511384	SAMN56511384	no			no	SRR37789891; SRR37629074	SRR37629074; SRR37789891	no	SAMN56511384	
NCPPB 4680	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN56511385; SAMN43286081	SAMN56511385; SAMN43286081	no	GCF_041521275.1	GCF_041521275.1	no	SRR37789890; SRR37629073; SRR30327313	SRR37629073; SRR37789890; SRR30327313	no	SAMN56511385; SAMN43286081	
NCPPB 4681	present_in_both	complete_genome_available	raw_reads_only	yes	SAMN56511386; SAMN17198917; SAMN17198916; SAMN17198915	SAMN56511386	yes	GCF_028750535.1; GCF_028750555.1; GCF_028750515.1		yes	SRR37789888; SRR37629071; SRR14108855; SRR14108857; SRR14108858	SRR37629071; SRR37789888	yes	SAMN56511386	
NCPPB 4682	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN56511387; SAMN43286082	SAMN56511387; SAMN43286082	no	GCF_041519825.1	GCF_041519825.1	no	SRR37789887; SRR37629070; SRR30327312	SRR37629070; SRR37789887; SRR30327312	no	SAMN56511387; SAMN43286082	
NCPPB 4692	present_in_both	complete_genome_available	complete_genome_available	no	SAMN41996498; SAMEA7356589	SAMN41996498; SAMEA7356589	no	GCF_041228055.1; GCA_905142475.1	GCF_041228055.1; GCA_905142475.1	no	SRR30016869; SRR29500230; ERR4656970; ERR4656966	SRR29500230; SRR30016869; ERR4656966; ERR4656970	no	SAMN41996498	SAMEA7356589
NCPPB 4693	present_in_both	complete_genome_available	complete_genome_available	no	SAMEA7356591	SAMEA7356591	no	GCF_905142465.1	GCF_905142465.1	no	ERR4656972; ERR4656968	ERR4656968; ERR4656972	no		SAMEA7356591
NCPPB 4698	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4699	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4700	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4701	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4702	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4703	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4704	present_in_both	no_confirmed_public_sequence_data	ambiguous_needs_review	yes			no			no			no		
NCPPB 4705	present_in_both	draft_assembly_available	ambiguous_needs_review	yes	SAMN36357994; SAMN07735936		yes	GCF_045887275.1; GCF_002490275.1		yes	SRR25194045		yes		
NCPPB 4706	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4707	present_in_both	draft_assembly_available	ambiguous_needs_review	yes	SAMN36357996		yes	GCF_045892375.1		yes	SRR25194044		yes		
NCPPB 4708	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4709	present_in_both	no_confirmed_public_sequence_data	ambiguous_needs_review	yes			no			no			no		
NCPPB 4710	present_in_both	draft_assembly_available	ambiguous_needs_review	yes	SAMN36701295; SAMN36357995; SAMN08773711		yes	GCF_045897655.1; GCF_003725055.1		yes	SRR25411579		yes		
NCPPB 4711	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4712	present_in_both	draft_assembly_available	ambiguous_needs_review	yes	SAMN36701296; SAMN36357998; SAMN08773805		yes	GCF_045897635.1; GCF_003725115.1		yes	SRR25411578		yes		
NCPPB 4713	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4714	present_in_both	draft_assembly_available	ambiguous_needs_review	yes	SAMN36357997		yes	GCF_045892395.1		yes	SRR25194043		yes		
NCPPB 4715	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4716	present_in_both	no_confirmed_public_sequence_data	ambiguous_needs_review	yes			no			no			no		
NCPPB 4717	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4718	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4719	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4720	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4721	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4722	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4727	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4728	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4729	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4730	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4731	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4732	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4733	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4753	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN08031359	SAMN08031359	no	GCF_002846205.1	GCF_002846205.1	no			no		SAMN08031359
NCPPB 4754	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN08031988	SAMN08031988	no	GCF_002846225.1	GCF_002846225.1	no			no		SAMN08031988
NCPPB 4755	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN08032457	SAMN08032457	no	GCF_002846195.1	GCF_002846195.1	no			no		SAMN08032457
NCPPB 4763	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4770	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4771	present_in_both	no_confirmed_public_sequence_data	ambiguous_needs_review	yes			no			no			no		
NCPPB 4772	present_in_both	raw_reads_only	raw_reads_only	no	SAMN39942678	SAMN39942678	no			no	SRR27965824	SRR27965824	no	SAMN39942678	
