ncppb_number	review_reason	v2_v3_status	changed_fields	presence_pattern	v2_current_name	v3_current_name	latest_catalogue_url
NCPPB 3340	new_record	added		v3		Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/3340
NCPPB 3582	core_metadata_changed	changed	current_name; name_as_received; alternative_names	v1+v2+v3	Xanthomonas sp. Dowson 1939	Xanthomonas codiaei Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/3582
NCPPB 3722	probable_v3_display_truncation_or_formatting	changed	host	v1+v2+v3	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/3722
NCPPB 3942	core_metadata_changed	changed	current_name	v1+v2+v3	Xanthomonas sp. Dowson 1939	Xanthomonas euvesicatoria Jones et al. 2006	https://ncppb.fera.co.uk/furtherinfo/3942
NCPPB 3943	core_metadata_changed	changed	current_name	v1+v2+v3	Xanthomonas sp. Dowson 1939	Xanthomonas euvesicatoria Jones et al. 2006	https://ncppb.fera.co.uk/furtherinfo/3943
NCPPB 3957	core_metadata_changed	changed	current_name; name_as_received; alternative_names	v1+v2+v3	Xanthomonas sp. Dowson 1939	Xanthomonas translucens (ex Jones et al. 1917) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/3957
NCPPB 3958	new_record	added		v3		Acidovorax sp. Willems et al. 1990 emend. Willems et al. 1992	https://ncppb.fera.co.uk/furtherinfo/3958
NCPPB 3959	core_metadata_changed	changed	current_name	v1+v2+v3	Xanthomonas sp. Dowson 1939	Xanthomonas hortorum Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/3959
NCPPB 4182	new_record	added		v3		Xanthomonas arboricola pv. fragariae Janse et al 2001	https://ncppb.fera.co.uk/furtherinfo/4182
NCPPB 4326	probable_v3_display_truncation_or_formatting	changed	host	v1+v2+v3	Xanthomonas campestris pv. zantedeschiae (Joubert & Truter 1972) Dye 1978	Xanthomonas campestris pv. zantedeschiae (Joubert & Truter 1972) Dye 1978	https://ncppb.fera.co.uk/furtherinfo/4326
NCPPB 4345	probable_v3_display_truncation_or_formatting	changed	host	v1+v2+v3	Xanthomonas campestris pv. cannae Easwaramurthy et al. 1984	Xanthomonas campestris pv. cannae Easwaramurthy et al. 1984	https://ncppb.fera.co.uk/furtherinfo/4345
NCPPB 4347	probable_v3_display_truncation_or_formatting	changed	host	v1+v2+v3	Xanthomonas campestris pv. malloti Goto 1993	Xanthomonas campestris pv. malloti Goto 1993	https://ncppb.fera.co.uk/furtherinfo/4347
NCPPB 4349	probable_v3_display_truncation_or_formatting	changed	alternative_names; host	v1+v2+v3	Xanthomonas euvesicatoria pv. pennamericanum (Qhobela & Claflin 1988) Harrison et al. 2023	Xanthomonas euvesicatoria pv. pennamericanum (Qhobela & Claflin 1988) Harrison et al. 2023	https://ncppb.fera.co.uk/furtherinfo/4349
NCPPB 4416	record_restored_from_v1	added		v1+v3		Xanthomonas campestris (Pammel 1895) Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/4416
NCPPB 4661	core_metadata_changed	changed	host	v1+v2+v3	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/4661
NCPPB 4826	new_record	added		v3		Xanthomonas sp. Dowson 1939 (Approved Lists 1980)	https://ncppb.fera.co.uk/furtherinfo/4826
NCPPB 4830	new_record	added		v3		Xanthomonas hydrangeae Dia et al, 2022	https://ncppb.fera.co.uk/furtherinfo/4830
