ncppb_number	biosample_accession	ncbi_uid	discovery_tracks	discovery_tiers	organism	taxid	biosample_host	biosample_geographic_location	biosample_collection_date	biosample_collection_year	biosample_isolation_source	matched_identifier	matched_identifier_type	identifier_strength	matched_field	evidence_class	identity_match_status	taxonomy_status	pathovar_status	identity_review_required	taxonomy_review_required	manual_review_required	decision	original_decision	reviewer_decision	reviewer_notes	reviewer_approved_for_downstream	review_reason	conflicting_ncppb_numbers	source_url
NCPPB 4373	SAMN17385990	17385990	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. capitata	Australia: Queensland, Redland Bay	1976-06-16	1976	leaf					no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17385990
NCPPB 4373	SAMN17385989	17385989	other_references	expected_genus	Xanthomonas campestris	339	missing	Australia: Queensland, Brisbane	1976-06-16	1976	leaf					no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17385989
NCPPB 4373	SAMN17385988	17385988	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland, Gympie	1976-06-11	1976						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17385988
NCPPB 4373	SAMN17385987	17385987	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. gongylodes	Australia: Queensland, Gympie	1976-06-11	1976	Sprout					no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17385987
NCPPB 4373	SAMN17385986	17385986	other_references	expected_genus	Xanthomonas campestris	339	Brassica rapa subsp. chinensis	Australia: Queensland, Gympie	1976-06-10	1976						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17385986
NCPPB 4373	SAMN17385985	17385985	other_references	expected_genus	Xanthomonas campestris	339	missing	Australia	1976-06-10	1976						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17385985
NCPPB 4373	SAMN17385984	17385984	other_references	expected_genus	Xanthomonas campestris	339	Brassica sp.	Australia: Queensland, Laidley	1976-05-06	1976						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17385984
NCPPB 4373	SAMN17385983	17385983	other_references	expected_genus	Xanthomonas campestris	339	missing	Australia: Queensland, Cleveland	1975-08-14	1975						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17385983
NCPPB 4373	SAMN17385982	17385982	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland, Brisbane	1975-06-19	1975						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17385982
NCPPB 4373	SAMN17385981	17385981	other_references	expected_genus	Xanthomonas campestris	339	missing	Australia: Queensland, Caboolture	1975-05-28	1975	leaf					no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17385981
NCPPB 4373	SAMN17385980	17385980	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland, Gympie	1976-06-11	1976	leaf					no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17385980
NCPPB 4373	SAMN17385979	17385979	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. capitata	Australia: Queensland, Cleveland	1975-05-19	1975	leaf					no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17385979
NCPPB 4373	SAMN17385978	17385978	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. italica	Australia: Queensland, Cleveland	1975-05-19	1975	leaf					no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17385978
NCPPB 4373	SAMN17385977	17385977	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. capitata	Australia: Queensland, Junction View	1975-03-11	1975	leaf					no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17385977
