ncppb_number	biosample_accession	ncbi_uid	discovery_tracks	discovery_tiers	organism	taxid	biosample_host	biosample_geographic_location	biosample_collection_date	biosample_collection_year	biosample_isolation_source	matched_identifier	matched_identifier_type	identifier_strength	matched_field	evidence_class	identity_match_status	taxonomy_status	pathovar_status	identity_review_required	taxonomy_review_required	manual_review_required	decision	original_decision	reviewer_decision	reviewer_notes	reviewer_approved_for_downstream	review_reason	conflicting_ncppb_numbers	source_url
NCPPB 2930	SAMN41764005	41764005	ncppb_number	expected_genus:Sphingomonas; exact_full_identifier	Sphingomonas sp. NCPPB 2930	3162788	Sorghum bicolor	Solomon Islands	1977	1977		NCPPB 2930	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	different_lineage	observed_pathovar_unresolved	no	yes	yes	accept	accept			no	different_lineage		https://www.ncbi.nlm.nih.gov/biosample/SAMN41764005
NCPPB 1974	SAMD00538104	31049491	ncppb_number; other_references	expected_genus:Stenotrophomonas; exact_full_identifier; expected_genus:Stenotrophomonas	Stenotrophomonas maltophilia	40324		missing	missing		oropharyngeal region of patient with mouth cancer	NCPPB 1974	ncppb_number	primary	identity_aliases	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMD00538104
NCPPB 1058	SAMN03142815	3142815	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	Ethiopia	1961	1961	missing	NCPPB 1058	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142815
NCPPB 3660	SAMN03142811	3142811	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	Brazil	1975	1975	missing	NCPPB 3660	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142811
NCPPB 1402	SAMN03142810	3142810	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	Uganda	1962	1962	missing	NCPPB 1402	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142810
NCPPB 1056	SAMN03142809	3142809	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	United Kingdom	1961	1961	missing	NCPPB 1056	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142809
NCPPB 2665	SAMN03142403	3142403	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	Italy	1973	1973	missing	NCPPB 2665	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142403
NCPPB 1654	SAMN03142402	3142402	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	South Africa	1963	1963	missing	NCPPB 1654	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142402
NCPPB 1433	SAMN03142399	3142399	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	Hungary	1956	1956	missing	NCPPB 1433	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142399
NCPPB 381	SAMN03142398	3142398	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	Canada	1957	1957	missing	NCPPB 381	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142398
NCPPB 670	SAMN03097370	3097370	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	Uganda	1958	1958	Infected bean plant	NCPPB 670	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03097370
NCPPB 2877	SAMN03164131	3164131	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas cannabis pv. cannabis	1885894	Cannabis sativa	Romania: Lovrin, Timis County	1974-07	1974	missing	NCPPB 2877	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	same_pathovar	no	yes	yes	accept	accept			no	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN03164131
NCPPB 2918	SAMN57360828	57360828	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris	339	Crambe	Malawi	1973	1973		NCPPB 2918	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	compatible_synonym	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN57360828
NCPPB 3883	SAMN57360827	57360827	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris	339	Crambe hispanica subsp. abyssinica	USA	1990	1990		NCPPB 3883	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	compatible_synonym	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN57360827
NCPPB 3884	SAMN57360826	57360826	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris	339	Crambe hispanica subsp. abyssinica	USA	1990	1990		NCPPB 3884	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	compatible_synonym	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN57360826
NCPPB 942	SAMN57360824	57360824	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. barbareae	461407	Barbarea vulgaris	USA	1939	1939		NCPPB 942	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN57360824
NCPPB 3442	SAMN42161516	42161516	ncppb_number; other_references	expected_genus:Xanthomonas; exact_full_identifier; expected_genus	Xanthomonas sp. NCPPB 3442	3698924	Cordia goeldiana	Brazil	1982	1982		NCPPB 3442	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161516
NCPPB 3441	SAMN42161515	42161515	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 3441	3698925	Cordia goeldiana	Brazil	1985	1985		NCPPB 3441	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161515
NCPPB 3218	SAMN42161514	42161514	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 3218	487553	Syzygium aromaticum	Indonesia	1980	1980		NCPPB 3218	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161514
NCPPB 3174	SAMN42161513	42161513	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 3174	487551	Setaria italica	India	1977	1977		NCPPB 3174	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161513
NCPPB 2933	SAMN42161512	42161512	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 2933	487548	Calendula officinalis	United Kingdom	1974	1974		NCPPB 2933	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161512
NCPPB 2654	SAMN42161507	42161507	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 2654	487541	Phaseolus vulgaris	United Kingdom	1974	1974		NCPPB 2654	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161507
NCPPB 2250	SAMN42161504	42161504	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 2250	487538	Zingiber officinale	Mauritius	1967	1967		NCPPB 2250	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161504
NCPPB 1826	SAMN42161503	42161503	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 1826	487537	Prunus domestica	United Kingdom	1966	1966		NCPPB 1826	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161503
NCPPB 901	SAMN42161496	42161496	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 901	487572	Gossypium sp.	India	Not collected			NCPPB 901	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	observed_pathovar_unresolved	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161496
NCPPB 4466	SAMN42161493	42161493	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 4466	3698923	Lobelia erinus	Not collected	Not collected			NCPPB 4466	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	observed_pathovar_unresolved	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161493
NCPPB 3570	SAMN42161487	42161487	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 3570	487555	Xanthosoma sagittifolium	Venezuela:Maracay	Not collected			NCPPB 3570	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161487
NCPPB 2866	SAMN42161511	42161511	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 2866	487545	Chrysanthemum x morifolium	Netherlands	1975	1975		NCPPB 2866	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161511
NCPPB 2865	SAMN42161510	42161510	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 2865	487544	Chrysanthemum x morifolium	Netherlands	1975	1975		NCPPB 2865	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161510
NCPPB 2864	SAMN42161509	42161509	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 2864	487543	Chrysanthemum x morifolium	Netherlands	1975	1975		NCPPB 2864	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161509
NCPPB 2856	SAMN42161508	42161508	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 2856	487542	Chrysanthemum x morifolium	Netherlands	1975	1975		NCPPB 2856	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161508
NCPPB 1638	SAMN42161501	42161501	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 1638	487535	Cucurbita melopepo	Uganda	1964	1964		NCPPB 1638	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161501
NCPPB 3959	SAMN42161491	42161491	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 3959	487567	Persea americana	New Zealand	Not collected			NCPPB 3959	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	observed_pathovar_unresolved	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161491
NCPPB 1132	SAMN56511359	56511359	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 1132	487528	Musa banksii var. samoensis	Samoa	1961	1961		NCPPB 1132	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511359
NCPPB 1131	SAMN56511358	56511358	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 1131	487527	Musa x paradisiaca	American Samoa	1961	1961		NCPPB 1131	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511358
NCPPB 3200	SAMN42923733	42923733	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 3200	487552	Chrysanthemum x morifolium	Kenya	1979	1979		NCPPB 3200	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42923733
NCPPB 3086	SAMN42278568	42278568	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. desmodiilaxiflori	487829	Sohmaea laxiflora	India	1971	1971		NCPPB 3086	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42278568
NCPPB 900	SAMN56511391	56511391	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. vasculorum	325777	Saccharum officinarum	Reunion	1960	1960		NCPPB 900	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511391
NCPPB 881	SAMN56511390	56511390	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas hortorum ATCC 19865	925777	Solanum lycopersicum	Serbia	1953	1953		NCPPB 881	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	observed_pathovar_unresolved	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511390
NCPPB 557	SAMN56511389	56511389	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri	346	Lablab purpureus	Sudan	1957	1957		NCPPB 557	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	observed_pathovar_unresolved	no	yes	yes	accept	accept			no	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN56511389
NCPPB 556	SAMN56511388	56511388	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri	346	Lablab purpureus	Sudan	1957	1957		NCPPB 556	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	observed_pathovar_unresolved	no	yes	yes	accept	accept			no	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN56511388
NCPPB 4682	SAMN56511387	56511387	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. campestris	340	Brassica napus	Serbia	2014	2014		NCPPB 4682	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511387
NCPPB 4681	SAMN56511386	56511386	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. campestris	340	Brassica napus	Serbia	2014	2014		NCPPB 4681	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511386
NCPPB 4680	SAMN56511385	56511385	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. campestris	340	Brassica napus	Serbia	2014	2014		NCPPB 4680	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511385
NCPPB 4679	SAMN56511384	56511384	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. campestris	340	Brassica napus	Serbia	2014	2014		NCPPB 4679	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511384
NCPPB 4678	SAMN56511383	56511383	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. campestris	340	Brassica napus	Serbia	2014	2014		NCPPB 4678	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511383
NCPPB 4634	SAMN56511382	56511382	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei	743699	Olea europaea cv. Barnea	New Zealand	1997	1997		NCPPB 4634	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511382
NCPPB 4633	SAMN56511381	56511381	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei	743699	Diospyros kaki	New Zealand	1979	1979		NCPPB 4633	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511381
NCPPB 4632	SAMN56511380	56511380	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei	743699	Eucalyptus sp.	New Zealand	1978	1978		NCPPB 4632	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	observed_pathovar_unresolved	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511380
NCPPB 4630	SAMN56511379	56511379	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei	743699	Aralia sp.	New Zealand	Not collected			NCPPB 4630	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511379
NCPPB 4629	SAMN56511378	56511378	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei	743699	Philotheca myoporoides	New Zealand	1967	1967		NCPPB 4629	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511378
NCPPB 4594	SAMN56511377	56511377	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas cannabis pv. phaseoli	1885902	Phaseolus vulgaris	Rwanda	2013	2013		NCPPB 4594	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	not_applicable_no_expected_pathovar	no	yes	yes	accept	accept			no	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN56511377
NCPPB 4446	SAMN56511376	56511376	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei	743699	Metrosideros excelsa	New Zealand	2017	2017		NCPPB 4446	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511376
NCPPB 4367	SAMN56511375	56511375	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei pv. dysoxyli	517755	Didymocheton spectabilis	New Zealand	2006	2006		NCPPB 4367	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511375
NCPPB 4364	SAMN56511374	56511374	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei pv. dysoxyli	517755	Didymocheton spectabilis	New Zealand	1979	1979		NCPPB 4364	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511374
NCPPB 4363	SAMN56511373	56511373	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei pv. dysoxyli	517755	Didymocheton spectabilis	New Zealand	1968	1968		NCPPB 4363	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511373
NCPPB 4350	SAMN56511372	56511372	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas codiaei	56463	Euphorbia pulcherrima	USA	1987	1987		NCPPB 4350	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	observed_pathovar_unresolved	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511372
NCPPB 4013	SAMN56511371	56511371	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. asclepiadis	2887372	Asclepias syriaca	USA	Not collected			NCPPB 4013	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511371
NCPPB 2439	SAMN56511370	56511370	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. zinniae	83854	Zinnia elegans	Australia	1969	1969		NCPPB 2439	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511370
NCPPB 2338	SAMN56511369	56511369	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei pv. eucalypti	487864	Corymbia citriodora	Australia	1967	1967		NCPPB 2338	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511369
NCPPB 2190	SAMN56511368	56511368	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. esculenti	487863	Abelmoschus esculentus	Brazil	1968	1968		NCPPB 2190	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511368
NCPPB 2064	SAMN56511367	56511367	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri	346	Lablab purpureus	Sudan	1965	1965		NCPPB 2064	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	observed_pathovar_unresolved	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511367
NCPPB 1933	SAMN56511366	56511366	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas arboricola pv. guizotiae	487867	Guizotia abyssinica	Ethiopia	Not collected			NCPPB 1933	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	same_pathovar	no	yes	yes	accept	accept			no	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN56511366
NCPPB 1932	SAMN56511365	56511365	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas arboricola pv. guizotiae	487867	Guizotia abyssinica	Ethiopia	Not collected			NCPPB 1932	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	same_pathovar	no	yes	yes	accept	accept			no	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN56511365
NCPPB 1713	SAMN56511364	56511364	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri	346	Lablab purpureus	Zimbabwe	1962	1962		NCPPB 1713	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	observed_pathovar_unresolved	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511364
NCPPB 1594	SAMN56511363	56511363	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. nakataecorchori	487835	Corchorus aestuans	India	1961	1961		NCPPB 1594	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	pathovar_mismatch	no	yes	yes	accept	accept			no	pathovar_mismatch		https://www.ncbi.nlm.nih.gov/biosample/SAMN56511363
NCPPB 151	SAMN56511362	56511362	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. papavericola	487881	Argemone sp.	Mauritius	Not collected			NCPPB 151	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511362
