query_id	ncppb_number	query_track	query_tier	searched_identifier	ncbi_uid	biosample_accession	organism	taxid	title	strain	isolate	culture_collection	bio_material	sample_name	identity_aliases	identifiers	attributes_json	raw_xml_cache_path	source_url	status	error
73c0b5fd40862afb8c1c	ALL_NCPPB	ncppb_number	unfiltered_fallback	NCPPB	27356492	SAMN27356492	Ralstonia solanacearum	305	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum	missing					NCPPB 4006	BioSample: SAMN27356492; YO023; SRA: SRS12514021	"{""Collection date"":[""NA""],""Continent"":[""Asia""],""County"":[""NA""],""NCPPB_Number"":[""NCPPB 4006""],""Replicate"":[""23""],""broad-scale environmental context"":[""Agricultural""],""environmental medium"":[""Xylem sap""],""geographic location"":[""China""],""host"":[""Olive""],""isolation and growth condition"":[""https://plantpath.ifas.ufl.edu/rsol/Culturemedia.html#MediaReferences""],""latitude and longitude"":[""Not applicable""],""local-scale environmental context"":[""Seed""],""number of replicons"":[""NA""],""ref_biomaterial"":[""11823852""],""strain"":[""missing""]}"	.cache/ncbi/v2_1/efetch_29caedd50e27adb4a33971de52b20c96f50f4309bbd103de88be8f9cce15a81f.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN27356492	ok	
73c0b5fd40862afb8c1c	ALL_NCPPB	ncppb_number	unfiltered_fallback	NCPPB	27356491	SAMN27356491	Ralstonia solanacearum	305	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum	missing					NCPPB 3982	BioSample: SAMN27356491; YO022; SRA: SRS12514020	"{""Collection date"":[""NA""],""Continent"":[""South America""],""County"":[""NA""],""NCPPB_Number"":[""NCPPB 3982""],""Replicate"":[""22""],""broad-scale environmental context"":[""Agricultural""],""environmental medium"":[""Xylem sap""],""geographic location"":[""Chile""],""host"":[""Potato""],""isolation and growth condition"":[""https://plantpath.ifas.ufl.edu/rsol/Culturemedia.html#MediaReferences""],""latitude and longitude"":[""Not applicable""],""local-scale environmental context"":[""Seed""],""number of replicons"":[""NA""],""ref_biomaterial"":[""11823852""],""strain"":[""missing""]}"	.cache/ncbi/v2_1/efetch_29caedd50e27adb4a33971de52b20c96f50f4309bbd103de88be8f9cce15a81f.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN27356491	ok	
73c0b5fd40862afb8c1c	ALL_NCPPB	ncppb_number	unfiltered_fallback	NCPPB	27356490	SAMN27356490	Ralstonia solanacearum	305	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum	missing					NCPPB 3866	BioSample: SAMN27356490; YO021; SRA: SRS12514019	"{""Collection date"":[""1993""],""Continent"":[""South America""],""County"":[""NA""],""NCPPB_Number"":[""NCPPB 3866""],""Replicate"":[""21""],""broad-scale environmental context"":[""Agricultural""],""environmental medium"":[""Xylem sap""],""geographic location"":[""Brazil""],""host"":[""Potato""],""isolation and growth condition"":[""https://plantpath.ifas.ufl.edu/rsol/Culturemedia.html#MediaReferences""],""latitude and longitude"":[""Not applicable""],""local-scale environmental context"":[""Seed""],""number of replicons"":[""NA""],""ref_biomaterial"":[""11823852""],""strain"":[""missing""]}"	.cache/ncbi/v2_1/efetch_29caedd50e27adb4a33971de52b20c96f50f4309bbd103de88be8f9cce15a81f.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN27356490	ok	
73c0b5fd40862afb8c1c	ALL_NCPPB	ncppb_number	unfiltered_fallback	NCPPB	27356489	SAMN27356489	Ralstonia solanacearum	305	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum	missing					NCPPB 3863	BioSample: SAMN27356489; YO020; SRA: SRS12514012	"{""Collection date"":[""1991""],""Continent"":[""South America""],""County"":[""NA""],""NCPPB_Number"":[""NCPPB 3863""],""Replicate"":[""20""],""broad-scale environmental context"":[""Agricultural""],""environmental medium"":[""Xylem sap""],""geographic location"":[""Brazil""],""host"":[""Tomato""],""isolation and growth condition"":[""https://plantpath.ifas.ufl.edu/rsol/Culturemedia.html#MediaReferences""],""latitude and longitude"":[""Not applicable""],""local-scale environmental context"":[""Seed""],""number of replicons"":[""NA""],""ref_biomaterial"":[""11823852""],""strain"":[""missing""]}"	.cache/ncbi/v2_1/efetch_29caedd50e27adb4a33971de52b20c96f50f4309bbd103de88be8f9cce15a81f.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN27356489	ok	
73c0b5fd40862afb8c1c	ALL_NCPPB	ncppb_number	unfiltered_fallback	NCPPB	27356488	SAMN27356488	Ralstonia solanacearum	305	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum	missing					NCPPB 3862	BioSample: SAMN27356488; YO019; SRA: SRS12514071	"{""Collection date"":[""1991""],""Continent"":[""South America""],""County"":[""NA""],""NCPPB_Number"":[""NCPPB 3862""],""Replicate"":[""19""],""broad-scale environmental context"":[""Agricultural""],""environmental medium"":[""Xylem sap""],""geographic location"":[""Brazil""],""host"":[""Chili""],""isolation and growth condition"":[""https://plantpath.ifas.ufl.edu/rsol/Culturemedia.html#MediaReferences""],""latitude and longitude"":[""Not applicable""],""local-scale environmental context"":[""Seed""],""number of replicons"":[""NA""],""ref_biomaterial"":[""11823852""],""strain"":[""missing""]}"	.cache/ncbi/v2_1/efetch_29caedd50e27adb4a33971de52b20c96f50f4309bbd103de88be8f9cce15a81f.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN27356488	ok	
73c0b5fd40862afb8c1c	ALL_NCPPB	ncppb_number	unfiltered_fallback	NCPPB	27356487	SAMN27356487	Ralstonia solanacearum	305	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum	missing					NCPPB 3864	BioSample: SAMN27356487; YO018; SRA: SRS12514062	"{""Collection date"":[""1991""],""Continent"":[""South America""],""County"":[""NA""],""NCPPB_Number"":[""NCPPB 3864""],""Replicate"":[""18""],""broad-scale environmental context"":[""Agricultural""],""environmental medium"":[""Xylem sap""],""geographic location"":[""Brazil""],""host"":[""Chili""],""isolation and growth condition"":[""https://plantpath.ifas.ufl.edu/rsol/Culturemedia.html#MediaReferences""],""latitude and longitude"":[""Not applicable""],""local-scale environmental context"":[""Seed""],""number of replicons"":[""NA""],""ref_biomaterial"":[""11823852""],""strain"":[""missing""]}"	.cache/ncbi/v2_1/efetch_29caedd50e27adb4a33971de52b20c96f50f4309bbd103de88be8f9cce15a81f.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN27356487	ok	
73c0b5fd40862afb8c1c	ALL_NCPPB	ncppb_number	unfiltered_fallback	NCPPB	27356486	SAMN27356486	Ralstonia solanacearum	305	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum	missing					NCPPB 3868	BioSample: SAMN27356486; YO017; SRA: SRS12514003	"{""Collection date"":[""1991""],""Continent"":[""South America""],""County"":[""NA""],""NCPPB_Number"":[""NCPPB 3868""],""Replicate"":[""17""],""broad-scale environmental context"":[""Agricultural""],""environmental medium"":[""Xylem sap""],""geographic location"":[""Brazil""],""host"":[""Potato""],""isolation and growth condition"":[""https://plantpath.ifas.ufl.edu/rsol/Culturemedia.html#MediaReferences""],""latitude and longitude"":[""Not applicable""],""local-scale environmental context"":[""Seed""],""number of replicons"":[""NA""],""ref_biomaterial"":[""11823852""],""strain"":[""missing""]}"	.cache/ncbi/v2_1/efetch_29caedd50e27adb4a33971de52b20c96f50f4309bbd103de88be8f9cce15a81f.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN27356486	ok	
73c0b5fd40862afb8c1c	ALL_NCPPB	ncppb_number	unfiltered_fallback	NCPPB	27356485	SAMN27356485	Ralstonia solanacearum	305	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum	missing					NCPPB 3650	BioSample: SAMN27356485; YO016; SRA: SRS12513991	"{""Collection date"":[""1979""],""Continent"":[""South America""],""County"":[""NA""],""NCPPB_Number"":[""NCPPB 3650""],""Replicate"":[""16""],""broad-scale environmental context"":[""Agricultural""],""environmental medium"":[""Xylem sap""],""geographic location"":[""Brazil""],""host"":[""Banana""],""isolation and growth condition"":[""https://plantpath.ifas.ufl.edu/rsol/Culturemedia.html#MediaReferences""],""latitude and longitude"":[""Not applicable""],""local-scale environmental context"":[""Seed""],""number of replicons"":[""NA""],""ref_biomaterial"":[""11823852""],""strain"":[""missing""]}"	.cache/ncbi/v2_1/efetch_29caedd50e27adb4a33971de52b20c96f50f4309bbd103de88be8f9cce15a81f.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN27356485	ok	
73c0b5fd40862afb8c1c	ALL_NCPPB	ncppb_number	unfiltered_fallback	NCPPB	27356484	SAMN27356484	Ralstonia solanacearum	305	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum	missing					NCPPB 3649	BioSample: SAMN27356484; YO015; SRA: SRS12514058	"{""Collection date"":[""1979""],""Continent"":[""South America""],""County"":[""NA""],""NCPPB_Number"":[""NCPPB 3649""],""Replicate"":[""15""],""broad-scale environmental context"":[""Agricultural""],""environmental medium"":[""Xylem sap""],""geographic location"":[""Brazil""],""host"":[""Banana""],""isolation and growth condition"":[""https://plantpath.ifas.ufl.edu/rsol/Culturemedia.html#MediaReferences""],""latitude and longitude"":[""Not applicable""],""local-scale environmental context"":[""Seed""],""number of replicons"":[""NA""],""ref_biomaterial"":[""11823852""],""strain"":[""missing""]}"	.cache/ncbi/v2_1/efetch_29caedd50e27adb4a33971de52b20c96f50f4309bbd103de88be8f9cce15a81f.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN27356484	ok	
73c0b5fd40862afb8c1c	ALL_NCPPB	ncppb_number	unfiltered_fallback	NCPPB	27356482	SAMN27356482	Ralstonia solanacearum	305	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum	missing					NCPPB 0613	BioSample: SAMN27356482; YO013; SRA: SRS12513985	"{""Collection date"":[""1958""],""Continent"":[""South America""],""County"":[""NA""],""NCPPB_Number"":[""NCPPB 0613""],""Replicate"":[""13""],""broad-scale environmental context"":[""Agricultural""],""environmental medium"":[""Xylem sap""],""geographic location"":[""Brazil""],""host"":[""Potato""],""isolation and growth condition"":[""https://plantpath.ifas.ufl.edu/rsol/Culturemedia.html#MediaReferences""],""latitude and longitude"":[""Not applicable""],""local-scale environmental context"":[""Seed""],""number of replicons"":[""NA""],""ref_biomaterial"":[""11823852""],""strain"":[""missing""]}"	.cache/ncbi/v2_1/efetch_29caedd50e27adb4a33971de52b20c96f50f4309bbd103de88be8f9cce15a81f.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN27356482	ok	
