ncppb_number	presence_pattern	v1_present	v2_present	v3_present	v1_v2_status	v2_v3_status	v1_v3_status	v1_v2_changed_fields	v2_v3_changed_fields	v1_v3_changed_fields	v1_current_name	v2_current_name	v3_current_name	latest_catalogue_url
NCPPB 3303	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	https://ncppb.fera.co.uk/furtherinfo/3303
NCPPB 3304	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	https://ncppb.fera.co.uk/furtherinfo/3304
NCPPB 3311	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/3311
NCPPB 3312	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/3312
NCPPB 3313	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/3313
NCPPB 3314	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/3314
NCPPB 3315	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/3315
NCPPB 3329	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/3329
NCPPB 3330	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/3330
NCPPB 3339	v3	no	no	yes	not_in_pair	added	added						Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/3339
NCPPB 3340	v3	no	no	yes	not_in_pair	added	added						Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/3340
NCPPB 3361	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	https://ncppb.fera.co.uk/furtherinfo/3361
NCPPB 3363	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	https://ncppb.fera.co.uk/furtherinfo/3363
NCPPB 3380	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/3380
NCPPB 3381	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/3381
