ncppb_number	current_name	name_as_received	alternative_names	country	host	year_added	type_strain_of_species	pathotype_strain	notes	reference	ncppb_catalogue_url	source_page
NCPPB 45	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939		UK	Brassica napus	1941	No	No			https://ncppb.fera.co.uk/furtherinfo/45	1
NCPPB 101	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	Xanthomonas cassavae	Xanthomonas campestris pv. cassavae (Wiehe & Dowson 1953) Maraite and Weyns 1979	Malawi	Manihot esculenta	1951	Yes	No			https://ncppb.fera.co.uk/furtherinfo/101	1
NCPPB 109	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas begoniae Takimoto 1934	Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978	UK	Begonia sp.	1937	No	No			https://ncppb.fera.co.uk/furtherinfo/109	1
NCPPB 113	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	X. ricinicola.	Xanthomonas campestris pv. ricini (Yoshi & T akimoto 1928) Dye 1978	Uganda		1938	No	No	Yellow strain. Not pathogenic.	*Sabet, K.A. 1959. Ann. Appl. Biol. 47: 49	https://ncppb.fera.co.uk/furtherinfo/113	1
NCPPB 151	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978			Mauritius	Argemone sp.	1941	No	No			https://ncppb.fera.co.uk/furtherinfo/151	1
NCPPB 174	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978			1958	No	No			https://ncppb.fera.co.uk/furtherinfo/174	1
NCPPB 181	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Australia		1946	No	No	Fatty acid Type B(Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/181	1
NCPPB 182	Xanthomonas vasicola pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978, Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Puerto Rico	Saccharum officinarum	1946	No	No	Fatty acid Type E (Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/182	1
NCPPB 184	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Mauritius	Saccharum officinarum	1958	No	No	Fatty acid Type B (Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/184	1
NCPPB 185	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Mauritius	Dictyospermaalbum	1946	No	No	Fatty acid Type B(Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/185	1
NCPPB 186	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Mauritius	Thysanolaena maxima	1946	No	No	Fatty acid Type A(Dookun, Stead & Autrey 2000)new pv.?		https://ncppb.fera.co.uk/furtherinfo/186	1
NCPPB 187	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Mauritius	Roystonea regia	1946	No	No	Fatty acid Type B(Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/187	1
NCPPB 195	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978	Israel		1947	No	No			https://ncppb.fera.co.uk/furtherinfo/195	1
NCPPB 196	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939		Mauritius	Brassica oleracea var. capitata	1947	No	No			https://ncppb.fera.co.uk/furtherinfo/196	1
NCPPB 200	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995 Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007	Sudan	Gossypium sp.	1947	No	No	The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.	Hayward, A.C. 1964. J. Gen. Microbiol. 35: 287; Hunter, R.E., Brinkerhoff, L.A., Bird, L.S. 1968. P	https://ncppb.fera.co.uk/furtherinfo/200	1
NCPPB 205	Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995	Xanthomonas hyacinthi	Xanthomonas campestris pv. hyacinthi (Wakker 1883) Dye 1978	Netherlands	Hyacinthus orientalis.	1948	No	No			https://ncppb.fera.co.uk/furtherinfo/205	1
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1894) Dye 1978, Xanthomonas axonopodis pv. vasculorum (Cobb 1894) Vauterin et al. 1995, Xanthomonas vasicola pv. vasculorum (Cobb 1894) Vauterin et al. 1995 (Invalid name)	South Africa	Zea mays	1948	No	No	Fatty acid Type C (Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/206	1
NCPPB 208	Xanthomonas albilineans (Ashby 1929) Dowson 1943	X. albilineans var. paspali. See Orian (1962)		Mauritius	Paspalum dilatatum	1948	No	No			https://ncppb.fera.co.uk/furtherinfo/208	1
NCPPB 210	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007	India		1948	No	No	The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.	Hayward, A.C. 1964. J. Gen. Microbiol. 35: 287; Hunter, R.E., Brinkerhoff, L.A., Bird, L.S. 1968. P	https://ncppb.fera.co.uk/furtherinfo/210	1
NCPPB 211	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989	India		1948	No	No	Type A(Asiatic Canker)		https://ncppb.fera.co.uk/furtherinfo/211	1
NCPPB 212	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.		Xanthomonas campestris pv. mangiferaeindicae (Patel et al. 1948) Robbs, Ribeiro & Kimura 1974, Xanthomonas axonopodis pv. mangiferaeindicae (Patel et al. 1948) Ah-You et al. 2007	India		1948	No	No	Partial gene (gyrB) sequence indicates this is Xanthomonas citri.		https://ncppb.fera.co.uk/furtherinfo/212	1
NCPPB 220	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995	USA		1948	No	No	gyrB 100% match with NCPPB 3035		https://ncppb.fera.co.uk/furtherinfo/220	1
NCPPB 225	Pseudomonas syringae pv. dysoxyli (Hutchinson 1949) Young, Dye & Wilkie 1978	Pseudomonas dysoxyli	Pseudomonas dysoxyli	New Zealand (Auckland)	Dysoxylum spectabile (Forst.f.) Hook.f. (Kohekohe	1949	No	Yes	LOPAT Group II. The bacterial disease of the native New Zealand plant Dysoxylum spectabile (Kohekohe) with the symptoms of greasy translucent leaf lesions, 'shotholes' in the leaf tissue, and greasy lesions in the leaf axils is caused by Xanthomonas dyei pv. dysoxyli.	Young, J. M.; Wilkie, J. P.; Park, D.-C.; Watson, D. R. W. (2010)New Zealand strains of plant pathogenic bacteria classified by multi-locus sequence analysis; proposal ofXanthomonas dyeisp. nov.Plant Pathology59(2)270-281. DOI: 10.1111/j.1365-3059.2009.02210.x Young, J.M.; Triggs, C.M. (1994)Evaluation of determinative tests for pathovars of Pseudomonas syringae van Hall 1902.Journal of Applied Bacteriology77(2)195-207. DOI: 10.1111/j.1365-2672.1994.tb03064.x Visnovsky, Sandra B.; Panda, Preeti; Everett, Kerry R.; Lu, Ashley; Butler, Ruth C.; Taylor, Robert K.; Pitman, Andrew R. (2020)A PCR diagnostic assay for rapid detection of plant pathogenic pseudomonads.Plant Pathology69(7)1311-1330. DOI: 10.1111/ppa.13204 Ferreira-Tonin, Mariana; Rodrigues-Neto, Júlio; Harakava, Ricardo; Destéfano, Suzete Aparecida Lanza (2012)Phylogenetic analysis of Xanthomonas based on partial rpoB gene sequences and species differentiation by PCR-RFLP. International Journal of Systematic and Evolutionar	https://ncppb.fera.co.uk/furtherinfo/225	1
NCPPB 226	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989	New Zealand		1949	No	No	Type A(Asiatic Canker)		https://ncppb.fera.co.uk/furtherinfo/226	1
NCPPB 230	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	Xanthomonas carotae Kendrick 1934	Xanthomonas campestris pv. carotae (Kendrick 1934) Dye 1978	USA		1949	No	No			https://ncppb.fera.co.uk/furtherinfo/230	1
NCPPB 232	Xanthomonas hortorum pv. vitians Morinière et al. 2020	X. lactucaescariolae	Xanthomonas axonopodis pv. vitians (Brown 1918) Vauterin et al. 1995; Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978	USA		1949	No	No			https://ncppb.fera.co.uk/furtherinfo/232	1
NCPPB 240	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939		UK	Brassica napus	1941	No	No			https://ncppb.fera.co.uk/furtherinfo/240	1
NCPPB 241	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas begoniae Takimoto 1934	Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978	USA		1944	No	No			https://ncppb.fera.co.uk/furtherinfo/241	1
NCPPB 243	Xanthomonas euvesicatoria pv. uppalii (Patel 1948) Harrison et al. 2023		Xanthomonas campestris pv. uppalii (Patel 1948) Dye 1978	India	Ipomea muricata	1948	No	No			https://ncppb.fera.co.uk/furtherinfo/243	1
NCPPB 245	Serratia proteamaculans (Paine and Stansfield 1919) Grimont, Grimont & Starr 1978	Xanthomonas proteamaculans	Erwinia proteamaculans (Paine and Stansfield 1919) Dye 1966	UK	Protea cynaroides	1920	Yes	No		Dye, D.W. 1969. N. Z. J. Sci. 12: 833	https://ncppb.fera.co.uk/furtherinfo/245	1
NCPPB 273	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas pruni	Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978	USA		1949	No	No			https://ncppb.fera.co.uk/furtherinfo/273	1
NCPPB 279	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939		Malawi	Brassica oleracea var. capitata	1950	No	No			https://ncppb.fera.co.uk/furtherinfo/279	1
NCPPB 290	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans		Guyana	Saccharum officinarum	1951	No	No			https://ncppb.fera.co.uk/furtherinfo/290	1
NCPPB 293	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007	South Africa	Gossypium sp.	1951	No	No	The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.	Hayward, A.C. 1964. J. Gen. Microbiol. 35: 287; Hunter, R.E., Brinkerhoff, L.A., Bird, L.S. 1968. P	https://ncppb.fera.co.uk/furtherinfo/293	1
NCPPB 301	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995	Canada		1951	No	No	gyrB 100% match with NCPPB 3035		https://ncppb.fera.co.uk/furtherinfo/301	1
NCPPB 302	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995	Canada		1951	No	No	gyrB 100% match with NCPPB 3035		https://ncppb.fera.co.uk/furtherinfo/302	1
NCPPB 305	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas pelargonii	Xanthomonas campestris pv. pelargonii (Brown 1923) Dye 1978	Denmark		1951	No	No			https://ncppb.fera.co.uk/furtherinfo/305	1
NCPPB 315	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007	Uganda	Gossypium sp.	1952	No	No	The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.	Hayward, A.C. 1964. J. Gen. Microbiol. 35: 287; Hunter, R.E., Brinkerhoff, L.A., Bird, L.S. 1968. P	https://ncppb.fera.co.uk/furtherinfo/315	1
NCPPB 347	Xanthomonas campestris pv. armoraciae (McCulloch 1929) Dye 1978	Pseudomonas campestris var. armoraciae (McCulloch 1929) Krasilnikov 1949		Tanzania	Iberis sp.	1954	No	Yes	Reported not to be pathogenic to Armoracia		https://ncppb.fera.co.uk/furtherinfo/347	1
NCPPB 348	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978, Xanthomonas axonopodis pv. manihotis (Bondar 1912) Vauterin et al. 1995			1954	No	No	Non-pigmented.		https://ncppb.fera.co.uk/furtherinfo/348	1
NCPPB 362	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas juglandis	Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978	UK	Juglans regia	1955	No	No			https://ncppb.fera.co.uk/furtherinfo/362	1
NCPPB 381	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas fuscans subsp. fuscans Schaad et al. 2007	Canada	Phaseolus vulgaris	1957	Yes	Yes	Produces brown pigment		https://ncppb.fera.co.uk/furtherinfo/381	1
NCPPB 400	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas pelargonii	Xanthomonas campestris pv. pelargonii (Brown 1923) Dye 1978	Denmark	Pelargonium zonale	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/400	1
NCPPB 403	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939		New Zealand	Brassica sp.	1957	No	No	ex Chou Moellier		https://ncppb.fera.co.uk/furtherinfo/403	1
NCPPB 404	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939		New Zealand	Brassica napobrassica	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/404	1
NCPPB 405	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989	New Zealand	Citrus sp.	1957	No	No	Type A(Asiatic Canker)		https://ncppb.fera.co.uk/furtherinfo/405	1
NCPPB 406	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989	New Zealand	Citrus sp.(New Zealand grapefruit)	1957	No	No	Type A(Asiatic Canker)		https://ncppb.fera.co.uk/furtherinfo/406	1
NCPPB 407	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989	New Zealand	Citrus sp.	1957	No	No	Type A(Asiatic Canker)		https://ncppb.fera.co.uk/furtherinfo/407	1
NCPPB 408	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989	New Zealand	Citrus reticulata	1957	No	No	Type A(Asiatic Canker)		https://ncppb.fera.co.uk/furtherinfo/408	1
NCPPB 409	Xanthomonas citri (Hasse 1915) Gabriel et al. 1989	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915)	New Zealand	Citrus limon	1957	No	No	Type A(Asiatic Canker)		https://ncppb.fera.co.uk/furtherinfo/409	1
NCPPB 410	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989	New Zealand	Citrus sinensis	1957	No	No	Type A(Asiatic Canker)		https://ncppb.fera.co.uk/furtherinfo/410	2
NCPPB 411	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas juglandis	Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978	New Zealand	Juglans regia	1957	Yes	Yes			https://ncppb.fera.co.uk/furtherinfo/411	2
NCPPB 412	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas juglandis	Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978	New Zealand	Juglans regia	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/412	2
NCPPB 414	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas juglandis	Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978	New Zealand	Juglans regia	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/414	2
NCPPB 415	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas juglandis	Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978	New Zealand	Juglans regia	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/415	2
NCPPB 416	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas pruni	Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978	New Zealand	Prunus sp. cv. Victory	1957	No	Yes	"Our records show that when we received this strain from Dye it was listed as ""from Victory plum fruit"" - as we can find no reference to P. salicina cv. 'Victory' we think this may be from P. domestica cv. 'Victory' (NCPPB 2024)."		https://ncppb.fera.co.uk/furtherinfo/416	2
NCPPB 418	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas pruni	Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978	New Zealand	Prunus salicina	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/418	2
NCPPB 419	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas pruni	Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978	New Zealand	Prunus persica.	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/419	2
NCPPB 420	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas pruni	Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978	New Zealand	Prunus persica	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/420	2
NCPPB 421	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas pruni	Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978	New Zealand	Prunus salicina	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/421	2
NCPPB 422	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978	New Zealand	Solanum lycopersicum	1957	Yes	No		Richard D., et al. (2017). Complete genome sequences of six copper-resistant Xanthomonas strains causing bacterial spot of Solaneous Plants, Belonging to X. gardneri, X. euvesicatoria, and X.vesicatoria, using long-read technology. Genome Annoucements 5:e01693-16	https://ncppb.fera.co.uk/furtherinfo/422	2
NCPPB 423	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978	New Zealand	Solanum lycopersicum	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/423	2
NCPPB 424	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978	New Zealand	Solanum lycopersicum	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/424	2
NCPPB 425	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	Xanthomonas carotae Kendrick 1934	Xanthomonas campestris pv. carotae (Kendrick 1934) Dye 1978	Canada		1967	No	No			https://ncppb.fera.co.uk/furtherinfo/425	2
NCPPB 449	Pantoea stewartii subsp. stewartii (Smith 1898) Mergaert et al. 1993	Xanthomonas stewartii	Erwinia stewartii (Smith 1898) Dye 1963	USA	Zea mays var. rugosa	1957	No	No	WGS confirms this strain is Pantoea stewartii subsp. stewartii (NCPPB March 2025).		https://ncppb.fera.co.uk/furtherinfo/449	2
NCPPB 457	Xanthomonas axonopodis pv. axonopodis Starr & Garces 1950	Xanthomonas axonopodis Starr & Garces 1950	Xanthomonas axonopodis pv. axonopodis Starr & Garces 1950	Colombia	Axonopus scoparius	1957	Yes	Yes			https://ncppb.fera.co.uk/furtherinfo/457	2
NCPPB 464	Xanthomonas campestris pv. olitorii (Sabet 1957) Dye 1978			Sudan	Corchorus olitorius	1957	No	Yes	Whole genome sequencing (NCPPB July 2025) indicates this organism is close to X. euvesicatoria.		https://ncppb.fera.co.uk/furtherinfo/464	2
NCPPB 465	Xanthomonas campestris pv. olitorii (Sabet 1957) Dye 1978			Sudan	Corchorus olitorius	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/465	2
NCPPB 466	Xanthomonas citri pv. punicae (Hingorani & Singh 1959) Constantin et al. 2016 comb. nov.	Xanthomonas punicae Hingorani & Singh 1959	Xanthomonas campestris pv. punicae (Hingorani & Singh 1959) Dye 1978, Xanthomonas axonopodis pv. punicae (Hingorani & Singh 1959) Vauterin et al. 1995	India	Punica granatum	1957	No	Yes			https://ncppb.fera.co.uk/furtherinfo/466	2
NCPPB 473	Xanthomonas citri pv. punicae (Hingorani & Singh 1959) Constantin et al. 2016 comb. nov.	Xanthomonas punicae Hingorani & Singh 1959	Xanthomonas campestris pv. punicae (Hingorani & Singh 1959) Dye 1978, Xanthomonas axonopodis pv. punicae (Hingorani & Singh 1959) Vauterin et al. 1995	India	Punica granatum	1958	No	No			https://ncppb.fera.co.uk/furtherinfo/473	2
NCPPB 476	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978	India	Capsicum frutescens var. tongum (chilli)	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/476	2
NCPPB 477	Xanthomonas citri pv. trichodesmae (Patel et al.1952) Harrison et al. 2023		Xanthomonas campestris pv. trichodesmae (Patel et al.1952) Dye 1978	India	Trichodesma zeylanicum	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/477	2
NCPPB 478	Xanthomonas axonopodis pv. cassiae (Kulkarni et al. 1951) Vauterin et al. 1995	Xanthomonas cassiae	Xanthomonas campestris pv. cassiae (Kulkarni et al. 1951) Dye 1978	India	Cassia tora	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/478	2
NCPPB 479	Xanthomonas axonopodis pv. melhusii (Patel et al. 1952) Vauterin et al. 1995	Xanthomonas melhusii Patel et al. 1952	Xanthomonas campestris pv. melhusii (Patel et al. 1952) Dye 1978	India	Tectona grandis	1958	No	No			https://ncppb.fera.co.uk/furtherinfo/479	2
NCPPB 480	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.	Xanthomonas alfalfae	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978, Xanthomonas axonopodis pv. alfalfae (Riker et al. 1935) Vauterin et al. 1995, Xanthomonas alfalfae subsp. alfalfae (ex Riker et al. 1935) Schaad et al. 2007	India	Medicago sativa	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/480	2
