ncppb_number	current_name	name_as_received	alternative_names	country	host	year_added	type_strain_of_species	pathotype_strain	notes	reference	ncppb_catalogue_url	source_page
NCPPB 2859	Stenotrophomonas sp.	Xanthomonas corylina	Stenotrophomonas sp.	Turkey	Corylus maxima	1975	No	No	Not a Xanthomonas. 16s rRNA sequncing, gyrB sequencing, MALDI-TOF MS, Fatty acid profiling, all suggest Stenotrophomonas sp. PCR and Microsats analysis also suggest not a Xanthomonas sp.		https://ncppb.fera.co.uk/furtherinfo/2859	10
NCPPB 2864	Xanthomonas arboricola Vauterin et al. 1995	Xanthomonas sp. Dowson 1939		Netherlands	Chrysanthemum morifolium	1975	No	No	Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas arboricola. Pathovar unspecified. Not pathogenic on Chrysanthemum morifolium (NCPPB). Fatty acid profile typical of Xanthomonas. Close to X.arboricola pv. pruni and pv.corylina		https://ncppb.fera.co.uk/furtherinfo/2864	10
NCPPB 2865	Xanthomonas arboricola Vauterin et al. 1995	Xanthomonas sp. Dowson 1939		Netherlands	Chrysanthemum morifolium	1975	No	No	Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas arboricola. Pathovar unspecified. Fatty acid profile typical of Xanthomonas. Close to X.arboricola pv. pruni and pv.corylina		https://ncppb.fera.co.uk/furtherinfo/2865	10
NCPPB 2866	Xanthomonas arboricola Vauterin et al. 1995	Xanthomonas sp. Dowson 1939		Netherlands	Chrysanthemum morifolium	1975	No	No	Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas arboricola. Pathovar unspecified. Not pathogenic on Chrysanthemum morifolium (NCPPB). Close to X.arboricola pv. pruni and pv. corylina		https://ncppb.fera.co.uk/furtherinfo/2866	10
NCPPB 2876	Xanthomonas campestris pv. cannabis Severin 1978			Romania	Cannabis sativa	1976	No	No			https://ncppb.fera.co.uk/furtherinfo/2876	10
NCPPB 2877	Xanthomonas cannabis (ex Severin 1978) McKnight et al. 2026		Xanthomonas campestris pv. cannabis Severin 1978, Xanthomonas cannabis (ex Severin 1978) Jacobs et al. 2015	Romania	Cannabis sativa	1976	Yes	No	Proposed type strain of 'Xanthomonas cannabis' McKnight et al. 2025		https://ncppb.fera.co.uk/furtherinfo/2877	10
NCPPB 2879	Xanthomonas campestris pv. cannabis Severin 1978			Romania	Cannabis sativa	1976	No	No			https://ncppb.fera.co.uk/furtherinfo/2879	10
NCPPB 2885	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.	Xanthomonas campestris pv. mangiferaeindicae (Patel et al. 1948) Robbs, Ribeiro & Kimura 1974	Xanthomonas campestris pv. mangiferaeindicae (Patel et al. 1948) Robbs, Ribeiro & Kimura 1974, Xanthomonas axonopodis pv. mangiferaeindicae (Patel et al. 1948) Ah-You et al. 2007	Reunion	Mangifera indica	1976	No	No	Partial gene (gyrB) sequence indicates this is Xanthomonas citri.		https://ncppb.fera.co.uk/furtherinfo/2885	10
NCPPB 2894	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.	Xanthomonas alfalfae	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978, Xanthomonas axonopodis pv. alfalfae (Riker et al. 1935) Vauterin et al. 1995, Xanthomonas alfalfae subsp. alfalfae (ex Riker et al. 1935) Schaad et al. 2007	Australia	Medicago sativa	1976	No	No			https://ncppb.fera.co.uk/furtherinfo/2894	10
NCPPB 2896	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	Xanthomonas corylina	Xanthomonas campestris pv. corylina (Miller et al. 1940) Dye 1978	UK	Corylus avellana	1976	No	No			https://ncppb.fera.co.uk/furtherinfo/2896	10
