ncppb_number	ncppb_current_name	confirmed_biosample_accessions	provisional_biosample_accessions	preferred_resource_type	preferred_biosample_accession	preferred_sequence_accessions	preferred_sequence_scope	preferred_assembly_level	sequence_bioproject_accessions	phylogeny_readiness	download_tool	download_command	qc_required	identity_review_required	taxonomy_review_required	selection_block_reason	selection_reason
NCPPB 45	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN36346970		assembly	SAMN36346970	GCA_035026565.1	whole_genome_assembly	Contig	PRJNA988133	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCA_035026565.1 --include genome --filename NCPPB_45_GCA_035026565.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 101	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	SAMN22555467		assembly	SAMN22555467	GCF_020783895.1	whole_genome_assembly	Contig	PRJNA774146	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_020783895.1 --include genome --filename NCPPB_101_GCF_020783895.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 109	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 113	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178446		assembly	SAMN42178446	GCF_053571385.1	whole_genome_assembly	Contig	PRJNA1129907	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_053571385.1 --include genome --filename NCPPB_113_GCF_053571385.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 151	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	SAMN56511362		sra_wgs_reads	SAMN56511362	SRR37629063; SRR37789880	whole_genome_shotgun_reads		PRJNA1437458	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR37629063 && fasterq-dump SRR37629063 --split-files --outdir fastq/NCPPB_151 ; prefetch SRR37789880 && fasterq-dump SRR37789880 --split-files --outdir fastq/NCPPB_151	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 174	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 181	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 182	Xanthomonas sp. (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 184	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 185	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 186	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 187	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 195	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 196	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 200	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 205	Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357966; SAMN00991256		assembly	SAMN00991256	GCF_000278035.1	whole_genome_assembly	Scaffold	PRJNA73871	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000278035.1 --include genome --filename NCPPB_206_GCF_000278035.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 208	Xanthomonas albilineans (Ashby 1929) Dowson 1943			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 210	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 211	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	SAMN13783128		assembly	SAMN13783128	GCF_014798375.1	whole_genome_assembly	Contig	PRJNA599566	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_014798375.1 --include genome --filename NCPPB_211_GCF_014798375.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 212	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 220	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03262509		assembly	SAMN03262509	GCF_000808715.2	whole_genome_assembly	Contig	PRJNA270010	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000808715.2 --include genome --filename NCPPB_220_GCF_000808715.2.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 226	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	SAMN13783184		assembly	SAMN13783184	GCF_014797395.1	whole_genome_assembly	Contig	PRJNA599566	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_014797395.1 --include genome --filename NCPPB_226_GCF_014797395.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 230	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	SAMN40354569		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 232	Xanthomonas hortorum pv. vitians Morinière et al. 2020	SAMEA6962647		assembly	SAMEA6962647	GCF_903978195.1	whole_genome_assembly	Complete Genome	PRJEB38812	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_903978195.1 --include genome --filename NCPPB_232_GCF_903978195.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 240	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 241	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 243	Xanthomonas euvesicatoria pv. uppalii (Patel 1948) Harrison et al. 2023			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 273	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 279	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 290	Xanthomonas albilineans (Ashby 1929) Dowson 1943			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 293	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 301	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03175018		assembly	SAMN03175018	GCF_000785945.1	whole_genome_assembly	Contig	PRJNA266886	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000785945.1 --include genome --filename NCPPB_301_GCF_000785945.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 302	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 305	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 315	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 347	Xanthomonas campestris pv. armoraciae (McCulloch 1929) Dye 1978	SAMN22552829; SAMN17385947		assembly	SAMN22552829	GCF_020731405.1	whole_genome_assembly	Contig	PRJNA774128	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_020731405.1 --include genome --filename NCPPB_347_GCF_020731405.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 348	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 362	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 381	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03142398; SAMN40354536; SAMN06829306; SAMN02903172		assembly	SAMN40354536	GCF_040202995.2	whole_genome_assembly	Complete Genome	PRJNA991976	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_040202995.2 --include genome --filename NCPPB_381_GCF_040202995.2.zip	yes	no	yes	taxonomy_review_required	Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 400	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 403	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 404	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN36346971		assembly	SAMN36346971	GCA_035026745.1	whole_genome_assembly	Contig	PRJNA988133	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCA_035026745.1 --include genome --filename NCPPB_404_GCA_035026745.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 405	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 406	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	SAMN13783185		assembly	SAMN13783185	GCF_014797385.1	whole_genome_assembly	Contig	PRJNA599566	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_014797385.1 --include genome --filename NCPPB_406_GCF_014797385.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 407	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 408	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 409	Xanthomonas citri (Hasse 1915) Gabriel et al. 1989	SAMEA114331998; SAMN13783182		assembly	SAMEA114331998	GCF_963669875.1	whole_genome_assembly	Contig	PRJEB65884	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_963669875.1 --include genome --filename NCPPB_409_GCF_963669875.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 410	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 411	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	SAMN43400626; SAMN03352151		assembly	SAMN03352151	GCF_001013475.1	whole_genome_assembly	Scaffold	PRJNA275685	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_001013475.1 --include genome --filename NCPPB_411_GCF_001013475.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 412	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 414	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 415	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 416	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	SAMN41996497; SAMN39942831; SAMN00188641		assembly	SAMN41996497	GCF_041464225.1	whole_genome_assembly	Complete Genome	PRJNA1127218	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041464225.1 --include genome --filename NCPPB_416_GCF_041464225.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 418	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 419	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 420	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 421	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 422	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	SAMN02471773; SAMN05823154		assembly	SAMN05823154	GCF_001908725.1	whole_genome_assembly	Complete Genome	PRJNA344031	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_001908725.1 --include genome --filename NCPPB_422_GCF_001908725.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 423	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 424	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 425	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	SAMN40354566		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 457	Xanthomonas axonopodis pv. axonopodis Starr & Garces 1950	SAMN02903173		assembly	SAMN02903173	GCF_001401595.1	whole_genome_assembly	Contig	PRJNA254369	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_001401595.1 --include genome --filename NCPPB_457_GCF_001401595.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 464	Xanthomonas campestris pv. olitorii (Sabet 1957) Dye 1978	SAMN41997686; SAMN19988989		assembly	SAMN41997686	GCA_041281645.2	whole_genome_assembly	Complete Genome	PRJNA1127243	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCA_041281645.2 --include genome --filename NCPPB_464_GCA_041281645.2.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 465	Xanthomonas campestris pv. olitorii (Sabet 1957) Dye 1978	SAMN41997687		assembly	SAMN41997687	GCA_041464235.1	whole_genome_assembly	Complete Genome	PRJNA1127243	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCA_041464235.1 --include genome --filename NCPPB_465_GCA_041464235.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 466	Xanthomonas citri pv. punicae (Hingorani & Singh 1959) Constantin et al. 2016 comb. nov.	SAMN09425328; SAMEA3138416		assembly	SAMEA3138416	GCF_000285775.1	whole_genome_assembly	Contig	PRJNA73081	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000285775.1 --include genome --filename NCPPB_466_GCF_000285775.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 473	Xanthomonas citri pv. punicae (Hingorani & Singh 1959) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 476	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 477	Xanthomonas citri pv. trichodesmae (Patel et al.1952) Harrison et al. 2023			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 478	Xanthomonas axonopodis pv. cassiae (Kulkarni et al. 1951) Vauterin et al. 1995	SAMN42178451		assembly	SAMN42178451	GCF_053646535.1	whole_genome_assembly	Contig	PRJNA1129911	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_053646535.1 --include genome --filename NCPPB_478_GCF_053646535.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 479	Xanthomonas axonopodis pv. melhusii (Patel et al. 1952) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 480	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 481	Xanthomonas axonopodis pv. desmodii (Patel 1949) Vauterin et al. 1995	SAMN42278566		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 485	Xanthomonas axonopodis pv. betlicola (Patel et al. 1951) Vauterin et al. 1995	SAMN42284446		sra_wgs_reads	SAMN42284446	SRR29695153; SRR30036952	whole_genome_shotgun_reads		PRJNA1131447	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR29695153 && fasterq-dump SRR29695153 --split-files --outdir fastq/NCPPB_485 ; prefetch SRR30036952 && fasterq-dump SRR30036952 --split-files --outdir fastq/NCPPB_485	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 488	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178439		assembly	SAMN42178439	GCF_053571405.1	whole_genome_assembly	Complete Genome	PRJNA1129907	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_053571405.1 --include genome --filename NCPPB_488_GCF_053571405.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 490	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.	SAMN41471108; SAMEA2272013		assembly	SAMN41471108	GCF_042638415.1	whole_genome_assembly	Complete Genome	PRJNA1113937	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_042638415.1 --include genome --filename NCPPB_490_GCF_042638415.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 509	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	SAMN03175433		assembly	SAMN03175433	GCF_001469445.1	whole_genome_assembly	Contig	PRJNA266916	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_001469445.1 --include genome --filename NCPPB_509_GCF_001469445.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 510	Xanthomonas albilineans (Ashby 1929) Dowson 1943			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 526	Xanthomonas albilineans (Ashby 1929) Dowson 1943			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 528	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN22552834; SAMN36368329; SAMN02603845		assembly	SAMN02603845	GCF_000007145.1	whole_genome_assembly	Complete Genome	PRJNA296	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000007145.1 --include genome --filename NCPPB_528_GCF_000007145.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 529	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN36346972		assembly	SAMN36346972	GCA_035026845.1	whole_genome_assembly	Contig	PRJNA988133	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCA_035026845.1 --include genome --filename NCPPB_529_GCA_035026845.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 535	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178440		assembly	SAMN42178440	GCF_041463965.1	whole_genome_assembly	Complete Genome	PRJNA1129907	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041463965.1 --include genome --filename NCPPB_535_GCF_041463965.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 536	Xanthomonas axonopodis pv. khayae (Sabet 1959) Vauterin et al. 1995	SAMN42284536		assembly	SAMN42284536	GCF_053615305.1	whole_genome_assembly	Contig	PRJNA1131458	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_053615305.1 --include genome --filename NCPPB_536_GCF_053615305.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 554	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb. nov.	SAMN02469936; SAMN18397212		assembly	SAMN18397212	GCF_017723855.1	whole_genome_assembly	Complete Genome	PRJNA716184	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_017723855.1 --include genome --filename NCPPB_554_GCF_017723855.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 555	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 556	Xanthomonas axonopodis Starr & Garcés 1950	SAMN56511388; SAMN03203484		assembly	SAMN03203484	GCF_000818835.2	whole_genome_assembly	Contig	PRJNA268142	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000818835.2 --include genome --filename NCPPB_556_GCF_000818835.2.zip	yes	no	yes	taxonomy_review_required	Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 557	Xanthomonas axonopodis (Smith 1897) Vauterin et al.1995	SAMN56511389; SAMN03257620		assembly	SAMN03257620	GCF_000808655.2	whole_genome_assembly	Contig	PRJNA269801	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000808655.2 --include genome --filename NCPPB_557_GCF_000808655.2.zip	yes	no	yes	taxonomy_review_required	Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 570	Xanthomonas campestris pv. amaranthicola (Patel et al. 1952) Dye 1978	SAMN42488058		sra_wgs_reads	SAMN42488058	SRR29823100	whole_genome_shotgun_reads		PRJNA742925	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR29823100 && fasterq-dump SRR29823100 --split-files --outdir fastq/NCPPB_570	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 571	Xanthomonas campestris pv. badrii (Patel et al.1950) Dye 1978	SAMN14601050		assembly	SAMN14601050	GCF_012848175.1	whole_genome_assembly	Complete Genome	PRJNA622823	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_012848175.1 --include genome --filename NCPPB_571_GCF_012848175.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 573	Xanthomonas axonopodis pv. cajani (Kulkarni et al. 1950) Vauterin et al. 1995	SAMN42284473		assembly	SAMN42284473	GCF_053614595.1	whole_genome_assembly	Contig	PRJNA1131453	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_053614595.1 --include genome --filename NCPPB_573_GCF_053614595.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 575	Xanthomonas euvesicatoria pv. clerodendri (Patel et al. 1952) Harrison et al. 2023	SAMN19988990		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 577	Xanthomonas axonopodis pv. desmodiigangetici (Patel & Moniz 1948) Vauterin et al. 1995	SAMN42278567		assembly	SAMN42278567	GCF_041464215.1	whole_genome_assembly	Complete Genome	PRJNA742925	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041464215.1 --include genome --filename NCPPB_577_GCF_041464215.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 578	Xanthomonas euvesicatoria pv. erythrinae (Patel et al. 1952) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 579	Xanthomonas euvesicatoria pv. lawsoniae (Patel et al. 1951) Harrison et al. 2023	SAMN19988991		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
