ncppb_number	ncppb_current_name	confirmed_biosample_accessions	provisional_biosample_accessions	preferred_resource_type	preferred_biosample_accession	preferred_sequence_accessions	preferred_sequence_scope	preferred_assembly_level	sequence_bioproject_accessions	phylogeny_readiness	download_tool	download_command	qc_required	identity_review_required	taxonomy_review_required	selection_block_reason	selection_reason
NCPPB 1471	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	SAMN30973815		sra_wgs_reads	SAMN30973815	SRR21684635	whole_genome_shotgun_reads		PRJNA883598	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR21684635 && fasterq-dump SRR21684635 --split-files --outdir fastq/NCPPB_1471	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 1472	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1473	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178443		assembly	SAMN42178443	GCF_053571445.1	whole_genome_assembly	Complete Genome	PRJNA1129907	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_053571445.1 --include genome --filename NCPPB_1473_GCF_053571445.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1475	Xanthomonas axonopodis pv. cassiae (Kulkarni et al. 1951) Vauterin et al. 1995	SAMN42178453		assembly	SAMN42178453	GCF_053646575.1	whole_genome_assembly	Complete Genome	PRJNA1129911	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_053646575.1 --include genome --filename NCPPB_1475_GCF_053646575.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1482	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1495	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03142808		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 1560	Xanthomonas sp. Dowson 1939	SAMN42161500		assembly	SAMN42161500	GCF_041475815.1	whole_genome_assembly	Complete Genome	PRJNA1129555	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041475815.1 --include genome --filename NCPPB_1560_GCF_041475815.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1568	Xanthomonas sp. Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1585	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	SAMN40354542; SAMN08729510; SAMN03612252		assembly	SAMN40354542	GCF_040202085.2	whole_genome_assembly	Complete Genome	PRJNA991976	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_040202085.2 --include genome --filename NCPPB_1585_GCF_040202085.2.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1593	Xanthomonas euvesicatoria pv. argemones (Srinivasan et al. 1961) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1594	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	SAMN56511363		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 1595	Xanthomonas euvesicatoria pv. physalidis (Srinivasan et al. 1962) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1596	Xanthomonas euvesicatoria pv. spermacoces (Srinivasan & Patel 1956) Harrison et al. 2023			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1607	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995		SAMEA104068692	none						identity_review_required_before_use			not_applicable	yes	yes		Only provisional BioSample identity evidence is available; do not include in a tree before review.
NCPPB 1610	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1612	Xanthomonas euvesicatoria pv. blepharidis (Srinivasan & Patel 1956) Harrison et al. 2023			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1615	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1616	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1622	Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1628	Xanthomonas euvesicatoria pv. alangii (Padhya & Patel 1962) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1629	Xanthomonas axonopodis pv. bauhiniae (Padhya et al. 1965) Vauterin et al. 1995	SAMN42283062		sra_wgs_reads	SAMN42283062	SRR29695112	whole_genome_shotgun_reads		PRJNA1131443	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR29695112 && fasterq-dump SRR29695112 --split-files --outdir fastq/NCPPB_1629	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 1630	Xanthomonas arboricola pv. celebensis (Gaumann 1923) Vauterin et al. 1995	SAMN02854337		assembly	SAMN02854337	GCF_000724915.1	whole_genome_assembly	Scaffold	PRJNA252657	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000724915.1 --include genome --filename NCPPB_1630_GCF_000724915.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1632	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1633	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	SAMN07252112		assembly	SAMN07252112	GCF_002218245.1	whole_genome_assembly	Complete Genome	PRJNA390891	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_002218245.1 --include genome --filename NCPPB_1633_GCF_002218245.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
