query_id	ncppb_number	query_track	query_tier	searched_identifier	reported_count	retrieved_uid_count	truncated	quoted_phrase_not_found_count	status	error
21442e45c1e705fe82e8	NCPPB 1946	ncppb_number	exact_full_identifier	NCPPB 1946	1	1	no	2	ok	
214c2ccf24a23da5bf28	NCPPB 485	ncppb_number	exact_full_identifier	NCPPB 485	1	1	no	1	ok	
21d0292d81c87430fbf6	NCPPB 1061	other_references	expected_genus	B652	0	0	no	0	ok	
2215a2f1d90bd1dca6d1	NCPPB 4770	ncppb_number	exact_full_identifier	NCPPB 4770	0	0	no	3	ok	
22177f68f277f337b4e0	NCPPB 936	ncppb_number	exact_full_identifier	NCPPB 936	0	0	no	3	ok	
221b7971f2b706c1650b	NCPPB 670	other_references	expected_genus	77421	0	0	no	0	ok	
223f8f2ac7b095a9e5a9	NCPPB 4709	ncppb_number	exact_full_identifier	NCPPB 4709	0	0	no	3	ok	
227e004841406c5866a4	NCPPB 4630	other_references	expected_genus	ZZ22	0	0	no	0	ok	
2287646a0ba967182b87	NCPPB 1048	other_references	expected_genus	B639	0	0	no	0	ok	
229e1fd8cafdd7b138ee	NCPPB 840	ncppb_number	exact_full_identifier	NCPPB 840	1	1	no	1	ok	
22b36dde4b3593b2de63	NCPPB 3563	other_references	expected_genus	IIH-Xcp1	0	0	no	0	ok	
22db56d5883117134f56	NCPPB 3234	other_references	expected_genus	XC62	1	1	no	0	ok	
2313b4f1267d3fa1479e	NCPPB 4451	ncppb_number	exact_full_identifier	NCPPB 4451	0	0	no	3	ok	
231c678d2cc2ac6a11d1	NCPPB 4468	other_references	expected_genus	CSL972199	0	0	no	0	ok	
231fde1aff9e68e1d62d	NCPPB 2183	other_references	expected_genus	S148-81	0	0	no	0	ok	
2379e0d24c5c6de55898	NCPPB 1395	ncppb_number	exact_full_identifier	NCPPB 1395	1	1	no	2	ok	
23a1dbc145e9119bed49	NCPPB 3135	ncppb_number	exact_full_identifier	NCPPB 3135	0	0	no	3	ok	
23e09982d9860b463df2	NCPPB 2594	other_references	expected_genus	ENA-734	0	0	no	0	ok	
24682ca257d018973246	NCPPB 4393	other_references	expected_genus	394052	0	0	no	0	ok	
246ea5c41833b99b037f	NCPPB 2387	ncppb_number	exact_full_identifier	NCPPB 2387	0	0	no	3	ok	
2481c5e4453a57d1843d	NCPPB 424	ncppb_number	exact_full_identifier	NCPPB 424	0	0	no	3	ok	
2487377f567c8b974bc0	NCPPB 2922	other_references	expected_genus	B5577	0	0	no	0	ok	
24a52248e320ac8558e5	NCPPB 1630	other_references	expected_genus	ZZ24	0	0	no	0	ok	
24fd226be14e44e0f555	NCPPB 4632	ncppb_number	exact_full_identifier	NCPPB 4632	1	1	no	1	ok	
2517f1adddc8dfc7f996	NCPPB 4231	ncppb_number	exact_full_identifier	NCPPB 4231	1	1	no	2	ok	
25497123ab4754ba08bc	NCPPB 3573	other_references	expected_genus	X2G2	2	2	no	0	ok	
2565b9dbac200e0bc470	NCPPB 2597	ncppb_number	exact_full_identifier	NCPPB 2597	0	0	no	3	ok	
256a3deda88e65a8b91a	NCPPB 4681	ncppb_number	exact_full_identifier	NCPPB 4681	1	1	no	1	ok	
256f2a02e69583708dac	NCPPB 2825	other_references	expected_genus	5670	0	0	no	0	ok	
2599c824ba25f3c8ad2c	NCPPB 3654	other_references	expected_genus	ISBF 380	0	0	no	0	ok	
25badc756f3fe895b1ae	NCPPB 1671	other_references	expected_genus	B2536	0	0	no	0	ok	
25c26b4212825c1ce543	NCPPB 4466	ncppb_number	exact_full_identifier	NCPPB 4466	1	1	no	1	ok	
25d20dd0db1fbc59330b	NCPPB 4682	other_references	expected_genus	Xc318	0	0	no	0	ok	
2607bc2bb96c353a9998	NCPPB 2417	ncppb_number	exact_full_identifier	NCPPB 2417	2	2	no	0	ok	
260f5f0c01d1c85d807a	NCPPB 4714	ncppb_number	exact_full_identifier	NCPPB 4714	0	0	no	3	ok	
262977f1d6905369cb60	NCPPB 3927	ncppb_number	exact_full_identifier	NCPPB 3927	1	1	no	1	ok	
2678734a3bfd8a3112d4	NCPPB 2352	ncppb_number	exact_full_identifier	NCPPB 2352	1	1	no	1	ok	
268c0c90d8c2255a572c	NCPPB 200	ncppb_number	exact_full_identifier	NCPPB 200	0	0	no	3	ok	
26b0e227b17769240624	NCPPB 1712	ncppb_number	exact_full_identifier	NCPPB 1712	0	0	no	3	ok	
26b450397e26d72e5e1f	NCPPB 2258	ncppb_number	exact_full_identifier	NCPPB 2258	0	0	no	3	ok	
26d3c8e7adb704085690	NCPPB 3588	ncppb_number	exact_full_identifier	NCPPB 3588	0	0	no	3	ok	
26e065e2f1affbe1f1b7	NCPPB 2821	other_references	expected_genus	5523	0	0	no	0	ok	
26f8f4ab4cbe2860239b	NCPPB 1135	ncppb_number	exact_full_identifier	NCPPB 1135	0	0	no	3	ok	
270f4e077dc62c1052f4	NCPPB 3169	ncppb_number	exact_full_identifier	NCPPB 3169	0	0	no	3	ok	
2728b58015e3be986299	NCPPB 884	ncppb_number	exact_full_identifier	NCPPB 884	0	0	no	3	ok	
27310683a9e1e6d528a2	NCPPB 4700	ncppb_number	exact_full_identifier	NCPPB 4700	0	0	no	3	ok	
2781f6fa01dd7a6057c1	NCPPB 4407	ncppb_number	exact_full_identifier	NCPPB 4407	0	0	no	3	ok	
27d47b35a9edb21d36a9	NCPPB 3954	ncppb_number	exact_full_identifier	NCPPB 3954	0	0	no	3	ok	
28101e0b84a1f5b20054	NCPPB 1738	ncppb_number	exact_full_identifier	NCPPB 1738	0	0	no	3	ok	
283693dfe2242a5ab78f	NCPPB 1235	other_references	expected_genus	B922	0	0	no	0	ok	
284e5f979a7bf5e2f9c5	NCPPB 2062	ncppb_number	exact_full_identifier	NCPPB 2062	0	0	no	3	ok	
2853c4bdc99577a289cb	NCPPB 1336	ncppb_number	exact_full_identifier	NCPPB 1336	1	1	no	0	ok	
28974bf5cb94af563895	NCPPB 1834	ncppb_number	exact_full_identifier	NCPPB 1834	0	0	no	3	ok	
28a0405a275cbde18137	NCPPB 3313	ncppb_number	exact_full_identifier	NCPPB 3313	0	0	no	3	ok	
293bd51ac4365912c024	NCPPB 702	other_references	expected_genus	77860	0	0	no	0	ok	
2949c568c39af724b3a9	NCPPB 4398	ncppb_number	exact_full_identifier	NCPPB 4398	0	0	no	3	ok	
299e2d6e016707e20b34	NCPPB 4364	ncppb_number	exact_full_identifier	NCPPB 4364	1	1	no	1	ok	
29dd782999a761656d1d	NCPPB 2097	ncppb_number	exact_full_identifier	NCPPB 2097	0	0	no	3	ok	
2a3be2eccb274904cad6	NCPPB 1048	ncppb_number	exact_full_identifier	NCPPB 1048	0	0	no	3	ok	
2a446703b1dca335b7cf	NCPPB 4435	ncppb_number	exact_full_identifier	NCPPB 4435	0	0	no	3	ok	
2a7ebd0f8a26ddb86409	NCPPB 935	ncppb_number	exact_full_identifier	NCPPB 935	2	2	no	0	ok	
2a92ba233a31f1c4fdd4	NCPPB 3041	other_references	expected_genus	A905	0	0	no	0	ok	
2a940558c113935ba933	NCPPB 3092	ncppb_number	exact_full_identifier	NCPPB 3092	0	0	no	3	ok	
2a9ef4da2fb778b4a528	NCPPB 3110	ncppb_number	exact_full_identifier	NCPPB 3110	0	0	no	3	ok	
2b00f0261fc38c8801ee	NCPPB 315	other_references	expected_genus	XS52/5	0	0	no	0	ok	
2b4ea7955ea785cb33c1	NCPPB 1616	ncppb_number	exact_full_identifier	NCPPB 1616	0	0	no	3	ok	
2b6a0b816e167dab1e48	NCPPB 406	ncppb_number	exact_full_identifier	NCPPB 406	1	1	no	2	ok	
