ncppb_number	snapshot_status	ncppb_current_name	expected_genus	scope_status	catalogue_host	catalogue_country	ncbi_biosample_match_count	ncbi_assembly_count	ncbi_sra_run_count	ncbi_bioproject_count	ncbi_sequence_resource_count	ncbi_record_match_count	ncbi_eligible_assembly_count	ncbi_eligible_sra_run_count	ncbi_eligible_sequence_resource_count	ncbi_taxonomy_blocked_resource_count	has_confirmed_ncbi_data	ncbi_data_status	sequence_availability_category	phylogeny_readiness	manual_review_required	confirmed_biosample_accessions	linked_assembly_accessions	linked_sra_run_accessions	assembly_accessions	sra_run_accessions	bioproject_accessions	taxonomy_blocked_biosample_accessions
NCPPB 1336	present_in_both	Xanthomonas euvesicatoria pv. alangii (Padhya & Patel 1962) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Alangium lamarckii	India	1	1	1	3	2	6	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN19988971	GCF_019193005.1	SRR15305425	GCF_019193005.1	SRR15305425	PRJNA742925	
NCPPB 1337	present_in_both	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Corchorus acutangulus	India	2	1	3	4	4	10	0	0	0	10	yes	linked_sequence_blocked_pending_taxonomy_review	taxonomy_review_required_before_sequence_use	taxonomy_review_required_before_use	yes	SAMN56511361; SAMN42278572	GCF_041448975.1	SRR29692754; SRR37629064; SRR37789881				SAMN42278572; SAMN56511361
NCPPB 1381	present_in_both	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas	current_xanthomonas	Saccharum officinarum	Zimbabwe	3	2	2	5	4	12	2	2	4	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN36701289; SAMN36357975; SAMN00991255	GCF_000278015.1; GCF_045897775.1	SRR25411585; SRR494499	GCF_045897775.1; GCF_000278015.1	SRR25411585; SRR494499	PRJNA992549; PRJNA73869; PRJNA73853	
NCPPB 1393	present_in_both	Xanthomonas euvesicatoria pv. sesami (Sabet & Dowson 1960) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Sesamum sp.	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1394	present_in_both	Xanthomonas vasicola Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Tripsacum laxum	Sri Lanka	2	1	0	4	1	7	1	0	1	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN03145753; SAMN03140149	GCF_000774005.1		GCF_000774005.1		PRJNA265156	
NCPPB 1395	present_in_both	Xanthomonas vasicola Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Tripsacum laxum	Sri Lanka	1	1	0	3	1	5	1	0	1	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN03140175	GCF_000772785.1		GCF_000772785.1		PRJNA264638	
NCPPB 1396	present_in_both	Xanthomonas vasicola Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Tripsacum laxum	Sri Lanka	1	1	0	3	1	5	1	0	1	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN03140173	GCF_000772725.1		GCF_000772725.1		PRJNA264627	
NCPPB 1402	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Phaseolus vulgaris	Uganda	1	1	1	3	2	6	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN03142810	GCF_000774025.2	SRR2052442	GCF_000774025.2	SRR2052442	PRJNA264810	
NCPPB 1420	present_in_both	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Phaseolus vulgaris	Hungary	1	1	1	3	2	6	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN03175025	GCF_000785935.1	SRR2052880	GCF_000785935.1	SRR2052880	PRJNA266888	
NCPPB 1421	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Solanum lycopersicum	Hungary	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1422	present_in_both	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Daucus carota var. sativa	Hungary	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1423	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Solanum lycopersicum	Hungary	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1426	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Solanum lycopersicum	Hungary	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1431	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Solanum lycopersicum	Hungary	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1433	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Phaseolus vulgaris	Hungary	1	1	1	3	2	6	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN03142399	GCF_000775215.1	SRR2052427	GCF_000775215.1	SRR2052427	PRJNA264773	
NCPPB 1438	present_in_both	Xanthomonas euvesicatoria Vauterin et al. 1995 (Invalid name)	Xanthomonas	current_xanthomonas	Capsicum frutescens	Hungary	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1439	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Phaseolus vulgaris	Hungary	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1447	present_in_both	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Juglans regia	Romania	1	1	0	3	1	5	1	0	1	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN02469596	GCF_000306055.1		GCF_000306055.1		PRJNA84273	
NCPPB 1451	present_in_both	Xanthomonas campestris pv. vitistrifoliae (Padhya et al. 1965) Dye 1978	Xanthomonas	current_xanthomonas	Vitis trifolia	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1452	present_in_both	Xanthomonas citri pv. thirumalacharii (Padhya & Patel 1964) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Triumfetta pilosa	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1453	present_in_both	Xanthomonas euvesicatoria pv. spermacoces (Srinivasan & Patel 1956) Harrison et al. 2023	Xanthomonas	current_xanthomonas	Spermacoce hispida	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1454	present_in_both	Xanthomonas euvesicatoria pv. tribuli (Srinivasan and Patel 1956) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Tribulus terrestris	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1455	present_in_both	Xanthomonas campestris pv. lantanae (Srinivasan & Patel 1957) Dye 1978	Xanthomonas	current_xanthomonas	Lantana camara var. aculeata	India	1	0	1	1	1	3	0	1	1	0	yes	confirmed_sequence_available	raw_reads_only	raw_wgs_reads_require_assembly_and_qc	no	SAMN41763920		SRR29334729		SRR29334729	PRJNA774146	
NCPPB 1457	present_in_both	Xanthomonas euvesicatoria pv. coriandri (Srinivasan et al. 1961) Harrison et al. 2023	Xanthomonas	current_xanthomonas	Coriandrum sativum	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1469	present_in_both	Xanthomonas fragariae Kennedy and King 1962	Xanthomonas	current_xanthomonas	Fragaria chiloensis var. ananassa	USA	7	4	1	7	5	19	4	1	5	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN39942670; SAMEA104068692; SAMN43284562; SAMN43282235; SAMN43282231; SAMN43282199; SAMD00253071	GCA_042647025.1; GCF_042647305.1; GCF_042665935.1; GCF_900183975.1	SRR27965832	GCF_900183975.1; GCF_042665935.1; GCA_042647025.1; GCF_042647305.1	SRR27965832	PRJNA991941; PRJEB20805; PRJNA595761	
NCPPB 1471	present_in_both	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas	current_xanthomonas	Citrus paradisi	Hong Kong	1	0	1	1	1	3	0	1	1	0	yes	confirmed_sequence_available	raw_reads_only	raw_wgs_reads_require_assembly_and_qc	no	SAMN30973815		SRR21684635		SRR21684635	PRJNA883598	
NCPPB 1472	present_in_both	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas	current_xanthomonas	Citrus grandis	Hong Kong	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1473	present_in_both	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Ricinus communis.	Zimbabwe	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42178443	GCF_053571445.1	SRR29654666; SRR30041331	GCF_053571445.1	SRR29654666; SRR30041331	PRJNA1129907	
NCPPB 1475	present_in_both	Xanthomonas axonopodis pv. cassiae (Kulkarni et al. 1951) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Cassia tora	India	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42178453	GCF_053646575.1	SRR29654628; SRR30037586	GCF_053646575.1	SRR29654628; SRR30037586	PRJNA1129911	
NCPPB 1482	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Gossypium sp	Australia	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1495	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Phaseolus vulgaris (seed).	UK	1	1	1	3	2	6	0	0	0	6	yes	linked_sequence_blocked_pending_taxonomy_review	taxonomy_review_required_before_sequence_use	taxonomy_review_required_before_use	yes	SAMN03142808	GCF_000786915.1	SRR2052458				SAMN03142808
NCPPB 1560	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	Lobelia erinus	UK	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42161500	GCF_041475815.1	SRR29644176; SRR30040124	GCF_041475815.1	SRR29644176; SRR30040124	PRJNA1129555	
NCPPB 1568	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	Jasminium sambac	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1585	present_in_both	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas	current_xanthomonas	Oryza sativa	Malaysia	3	3	8	6	11	20	3	8	11	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN40354542; SAMN08729510; SAMN03612252	GCF_001042735.1; GCF_003064145.1; GCF_040202085.2	SRR2033534; SRR2047367; SRR2047368; SRR2047369; SRR2047370; SRR2047371; SRR28281450; SRR30284786	GCF_040202085.2; GCF_003064145.1; GCF_001042735.1	SRR28281450; SRR30284786; SRR2033534; SRR2047367; SRR2047368; SRR2047369; SRR2047370; SRR2047371	PRJNA991976; PRJNA438823; PRJNA280380; PRJNA283315	
NCPPB 1593	present_in_both	Xanthomonas euvesicatoria pv. argemones (Srinivasan et al. 1961) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Argemone mexicana	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1594	present_in_both	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Corchorus acutangulus	India	1	1	2	3	3	7	0	0	0	7	yes	linked_sequence_blocked_pending_taxonomy_review	taxonomy_review_required_before_sequence_use	taxonomy_review_required_before_use	yes	SAMN56511363	GCF_056612795.1	SRR37629062; SRR37789879				SAMN56511363
NCPPB 1595	present_in_both	Xanthomonas euvesicatoria pv. physalidis (Srinivasan et al. 1962) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Physalis minima	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1596	present_in_both	Xanthomonas euvesicatoria pv. spermacoces (Srinivasan & Patel 1956) Harrison et al. 2023	Xanthomonas	current_xanthomonas	Spermacoce hispida.	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1607	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Prunus persica	Australia	0	0	0	0	0	0	0	0	0	0	no	provisional_match_requires_review	ambiguous_needs_review	identity_review_required_before_use	yes							
NCPPB 1610	present_in_both	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Pelargonium hortorum	UK	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1612	present_in_both	Xanthomonas euvesicatoria pv. blepharidis (Srinivasan & Patel 1956) Harrison et al. 2023	Xanthomonas	current_xanthomonas	Boerhaavia repens	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1615	present_in_both	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Pelargonium hortorum	UK	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1616	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Solanum lycopersicum	Zambia	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1622	present_in_both	Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Hyacinthus orientalis	UK	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1628	present_in_both	Xanthomonas euvesicatoria pv. alangii (Padhya & Patel 1962) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Alangium lamarckii	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1629	present_in_both	Xanthomonas axonopodis pv. bauhiniae (Padhya et al. 1965) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Bauhinia racemosa	India	1	0	1	1	1	3	0	1	1	0	yes	confirmed_sequence_available	raw_reads_only	raw_wgs_reads_require_assembly_and_qc	no	SAMN42283062		SRR29695112		SRR29695112	PRJNA1131443	
NCPPB 1630	present_in_both	Xanthomonas arboricola pv. celebensis (Gaumann 1923) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Musa sp.	New Zealand	1	1	1	3	2	6	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN02854337	GCF_000724915.1	SRR1515237	GCF_000724915.1	SRR1515237	PRJNA252657	
NCPPB 1632	present_in_both	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas	current_xanthomonas			0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1633	present_in_both	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas		USA	1	1	0	3	1	5	1	0	1	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN07252112	GCF_002218245.1		GCF_002218245.1		PRJNA390891	
NCPPB 1638	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	Cucurbita pepo var. melopepo	Uganda	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42161501	GCF_041475635.1	SRR29644175; SRR30040123	GCF_041475635.1	SRR29644175; SRR30040123	PRJNA1129555	
NCPPB 1645	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas	current_xanthomonas	Brassica oleracea	Kenya	1	1	1	1	2	4	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN36368322	GCA_035023525.1	SRR25205307	GCA_035023525.1	SRR25205307	PRJNA988133	
NCPPB 1646	present_in_both	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Phaseolus vulgaris.	Australia	0	0	0	0	0	0	0	0	0	0	no	provisional_match_requires_review	ambiguous_needs_review	identity_review_required_before_use	yes							
NCPPB 1648	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas	current_xanthomonas	Brassica oleracea var. capitata	Tonga	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1654	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Phaseolus vulgaris	South Africa	1	1	1	3	2	6	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN03142402	GCF_000775185.1	SRR2052433	GCF_000775185.1	SRR2052433	PRJNA264775	
NCPPB 1659	present_in_both	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Juglans regia	UK	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1668	present_in_both	Xanthomonas hortorum pv. cynarae Morinière et al. (2020)	Xanthomonas	current_xanthomonas	Cynara scolymus		0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1671	present_in_both	Xanthomonas citri pv. sesbaniae (Patel et al. 1952) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Sesbania aculeata	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1672	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	Saccharum officinarum	Tanzania	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1680	present_in_both	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Phaseolus vulgaris	Tanzania	1	1	1	3	2	6	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN03257737	GCF_000808695.2	SRR2052882	GCF_000808695.2	SRR2052882	PRJNA269952	
NCPPB 1683	present_in_both	Stenotrophomonas hibiscicola (Moniz 1963) Nguyen et al. 2024	Stenotrophomonas	reclassified_outside_xanthomonas	Hibiscus rosasinensis	India	4	1	2	4	3	11	1	1	2	4	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	yes	SAMN02441648; SAMN37626383; SAMN13507659; SAMN02194609	GCF_000382065.1	SRR26265284; SRR892271	GCF_000382065.1	SRR26265284	PRJNA185300; PRJNA1022797	SAMN02194609; SAMN13507659
NCPPB 1684	present_in_both	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Ricinus communis	Kenya	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42178444	GCF_041462375.1	SRR29654665; SRR30041330	GCF_041462375.1	SRR29654665; SRR30041330	PRJNA1129907	
NCPPB 1685	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas	current_xanthomonas	Brassica oleracea var. capitata	Australia	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1697	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Gossypium hirsutum	Azerbaijan	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1698	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Gossypium sp	Uganda	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1699	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Gossypium sp.	Thailand	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1700	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Gossypium sp.	Uganda	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1701	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Gossypium sp.	Uganda	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1711	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas	current_xanthomonas	Brassica rapa	Canada	1	1	1	1	2	4	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN36346973	GCA_035026785.1	SRR25183328	GCA_035026785.1	SRR25183328	PRJNA988133	
NCPPB 1712	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Gossypium hirsutum	Sudan	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1713	present_in_both	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	Xanthomonas	current_xanthomonas	Dolichos lablab	Zimbabwe	2	1	3	4	4	10	1	3	4	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN56511364; SAMN03257621	GCF_000807875.2	SRR2051464; SRR37629061; SRR37789878	GCF_000807875.2	SRR37629061; SRR37789878; SRR2051464	PRJNA1437458; PRJNA269802	
NCPPB 1714	present_in_both	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas	current_xanthomonas	Glycine javanica	Zambia	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1715	present_in_both	Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978	Xanthomonas	current_xanthomonas	Zinnia sp.	Zambia	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1717	present_in_both	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas	current_xanthomonas	Glycine max	Zimbabwe	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1737	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas	current_xanthomonas	Saccharum officinarum	Zimbabwe	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1738	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas	current_xanthomonas	Saccharum officinarum	Zimbabwe	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1754	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	Celsia coramandeliana	India	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42161502	GCF_041475725.1	SRR29644174; SRR30040122	GCF_041475725.1	SRR29644174; SRR30040122	PRJNA1129555	
NCPPB 1755	present_in_both	Xanthomonas euvesicatoria pv. ionidii (Padhya & Patel 1963) Harrison et al. 2023	Xanthomonas	current_xanthomonas	Ionidium sufruticosum	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 1756	present_in_both	Xanthomonas euvesicatoria pv. physalidis (Srinivasan et al. 1962) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Physalis minima	India	1	1	1	3	2	6	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN19988972	GCF_019192985.1	SRR15305417	GCF_019192985.1	SRR15305417	PRJNA742925	
