ncppb_number	snapshot_status	ncppb_current_name	expected_genus	scope_status	catalogue_host	catalogue_country	ncbi_biosample_match_count	ncbi_assembly_count	ncbi_sra_run_count	ncbi_bioproject_count	ncbi_sequence_resource_count	ncbi_record_match_count	ncbi_eligible_assembly_count	ncbi_eligible_sra_run_count	ncbi_eligible_sequence_resource_count	ncbi_taxonomy_blocked_resource_count	has_confirmed_ncbi_data	ncbi_data_status	sequence_availability_category	phylogeny_readiness	manual_review_required	confirmed_biosample_accessions	linked_assembly_accessions	linked_sra_run_accessions	assembly_accessions	sra_run_accessions	bioproject_accessions	taxonomy_blocked_biosample_accessions
NCPPB 526	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas	current_xanthomonas	Saccharum officinarum	St Lucia	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 528	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas	current_xanthomonas	Brassica oleracea var. gemmifera	UK	3	3	2	6	5	14	3	2	5	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN22552834; SAMN36368329; SAMN02603845	GCA_035023825.1; GCF_000007145.1; GCF_020813135.1	SRR25205299; SRR29823160	GCF_020813135.1; GCA_035023825.1; GCF_000007145.1	SRR29823160; SRR25205299	PRJNA774128; PRJNA988133; PRJNA296	
NCPPB 529	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas	current_xanthomonas	Brassica oleracea var. capitata	UK	1	1	1	1	2	4	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN36346972	GCA_035026845.1	SRR25183329	GCA_035026845.1	SRR25183329	PRJNA988133	
NCPPB 535	present_in_both	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Ricinus communis	Sudan	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42178440	GCF_041463965.1	SRR29654669; SRR30041326	GCF_041463965.1	SRR29654669; SRR30041326	PRJNA1129907	
NCPPB 536	present_in_both	Xanthomonas axonopodis pv. khayae (Sabet 1959) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Khaya senegalensis (mahogany)	Sudan	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN42284536	GCF_053615305.1	SRR29695060; SRR30037788	GCF_053615305.1	SRR29695060; SRR30037788	PRJNA1131458	
NCPPB 554	present_in_both	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Glycine max	Sudan	2	2	2	4	4	10	2	2	4	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN02469936; SAMN18397212	GCF_000495275.1; GCF_017723855.1	SRR14026742; SRR14028219	GCF_000495275.1; GCF_017723855.1	SRR14026742; SRR14028219	PRJNA212247; PRJNA716184	
NCPPB 555	present_in_both	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Vigna unguiculata	Sudan	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 556	present_in_both	Xanthomonas axonopodis Starr & Garcés 1950	Xanthomonas	current_xanthomonas	Dolichos lablab	Sudan	2	1	3	4	4	10	1	1	2	4	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	yes	SAMN56511388; SAMN03203484	GCF_000818835.2	SRR2051461; SRR37629069; SRR37789886	GCF_000818835.2	SRR2051461	PRJNA268142	SAMN56511388
NCPPB 557	present_in_both	Xanthomonas axonopodis (Smith 1897) Vauterin et al.1995	Xanthomonas	current_xanthomonas	Dolichos lablab	Sudan	2	1	3	4	4	10	1	1	2	4	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	yes	SAMN56511389; SAMN03257620	GCF_000808655.2	SRR2051462; SRR37629068; SRR37789885	GCF_000808655.2	SRR2051462	PRJNA269801	SAMN56511389
NCPPB 570	present_in_both	Xanthomonas campestris pv. amaranthicola (Patel et al. 1952) Dye 1978	Xanthomonas	current_xanthomonas	Amaranthus viridis	India	1	0	1	1	1	3	0	1	1	0	yes	confirmed_sequence_available	raw_reads_only	raw_wgs_reads_require_assembly_and_qc	no	SAMN42488058		SRR29823100		SRR29823100	PRJNA742925	
