ncppb_number	clause_order	clause_type	raw_clause	raw_value	text_start	text_end	html_start	html_end	parse_status	risk_level	review_reason	source_snapshot_sha256
NCPPB 1158	1	collection_list	This isolate is also in the collections; LMG 7458	LMG 7458	0	49	669050	669128	parsed	low		
NCPPB 1158	2	isolated_by	This isolate was isolated by D.C. Graham	D.C. Graham	50	90	669132	669173	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1159	1	collection_list	This isolate is also in the collections; ATCC 23380, LMG 5274, ICMP 6934	ATCC 23380, LMG 5274, ICMP 6934	0	72	672625	672726	parsed	low		
NCPPB 1159	2	isolated_by	This isolate was isolated by ex W.H. Burkholder SMl	ex W.H. Burkholder SMl	73	124	672730	672782	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1160	1	isolated_by	This isolate was isolated by ex O.A. Drummon & O. Hipolite	ex O.A. Drummon & O. Hipolite	0	58	676219	676306	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1161	1	isolated_by	This isolate was isolated by ex G. Orian M3	ex G. Orian M3	0	43	679740	679812	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1235	1	isolated_by	This isolate was isolated by A.C. Hayward B922	A.C. Hayward B922	0	46	683326	683401	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1241	1	collection_list	This isolate is also in the collections; ICPB XH112	ICPB XH112	0	51	686568	686648	parsed	low		
NCPPB 1241	2	isolated_by	This isolate was isolated by A.C. Hayward B996	A.C. Hayward B996	52	98	686652	686699	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1244	1	isolated_by	This isolate was isolated by A.C. Hayward B1021	A.C. Hayward B1021	0	47	689331	689407	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1324	1	isolated_by	This isolate was isolated by A.C. Hayward B1167	A.C. Hayward B1167	0	47	692839	692915	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1325	1	donor_reference	The donor reference is B1160	B1160	0	28	696084	696141	parsed	medium		
NCPPB 1325	2	collection_list	This isolate is also in the collections; ICMP 18270	ICMP 18270	29	80	696145	696197	parsed	low		
NCPPB 1325	3	isolated_by	This isolate was isolated by ex C.L.A. Leakey	ex C.L.A. Leakey	81	126	696201	696247	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1326	1	collection_list	This isolate is also in the collections; LMG 8717	LMG 8717	0	49	699684	699762	parsed	low		
NCPPB 1326	2	isolated_by	This isolate was isolated by A.C. Hayward B1116	A.C. Hayward B1116	50	97	699766	699814	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1332	1	isolated_by	This isolate was isolated by A.C. Hayward B1198	A.C. Hayward B1198	0	47	702729	702805	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1334	1	collection_list	This isolate is also in the collections; ICMP 5736, LMG 744	ICMP 5736, LMG 744	0	59	705219	705307	parsed	low		
NCPPB 1334	2	isolated_by	This isolate was isolated by ex A.C. Padhya	ex A.C. Padhya	60	103	705311	705355	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1336	1	collection_list	This isolate is also in the collections; ICMP 5717, LMG 470	ICMP 5717, LMG 470	0	59	708001	708089	parsed	low		
NCPPB 1336	2	isolated_by	This isolate was isolated by A.C. Padhya	A.C. Padhya	60	100	708093	708134	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1337	1	collection_list	This isolate is also in the collections; ICMP 5742, LMG 786	ICMP 5742, LMG 786	0	59	711176	711264	parsed	low		
NCPPB 1337	2	isolated_by	This isolate was isolated by ex A.C. Padhya	ex A.C. Padhya	60	103	711268	711312	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1381	1	collection_list	This isolate is also in the collections; LMG 8718	LMG 8718	0	49	714749	714827	parsed	low		
NCPPB 1381	2	isolated_by	This isolate was isolated by A.C. Hayward B1350	A.C. Hayward B1350	50	97	714831	714879	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1393	1	donor_reference	The donor reference is B1432	B1432	0	28	717293	717350	parsed	medium		
NCPPB 1393	2	source_of_isolate	The source of this isolate was ex ITCC SF62	ex ITCC SF62	29	72	717354	717398	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1394	1	donor_reference	The donor reference is B1446	B1446	0	28	720662	720719	parsed	medium		
NCPPB 1394	2	isolated_by	This isolate was isolated by ex N. Shanmuganathan	ex N. Shanmuganathan	29	78	720723	720773	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1395	1	donor_reference	The donor reference is B1444	B1444	0	28	724038	724095	parsed	medium		
NCPPB 1395	2	isolated_by	This isolate was isolated by ex N. Shanmuganathan	ex N. Shanmuganathan	29	78	724099	724149	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1396	1	donor_reference	The donor reference is B1443	B1443	0	28	727414	727471	parsed	medium		
NCPPB 1396	2	isolated_by	This isolate was isolated by ex N. Shanmuganathan	ex N. Shanmuganathan	29	78	727475	727525	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1402	1	collection_list	This isolate is also in the collections; LMG 7459	LMG 7459	0	49	731196	731274	parsed	low		
NCPPB 1402	2	isolated_by	This isolate was isolated by A.C. Hayward B1374	A.C. Hayward B1374	50	97	731278	731326	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1420	1	isolated_by	This isolate was isolated by Z. Klement E1388	Z. Klement E1388	0	45	734757	734831	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1421	1	isolated_by	This isolate was isolated by Z. Klement S. 20	Z. Klement S. 20	0	45	737499	737573	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1422	1	collection_list	This isolate is also in the collections; ICMP 5723, LMG 8646	ICMP 5723, LMG 8646	0	60	741148	741237	parsed	low		
NCPPB 1422	2	isolated_by	This isolate was isolated by ex Z. Klement N.066	ex Z. Klement N.066	61	109	741241	741290	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1423	1	collection_list	This isolate is also in the collections; ICMP 114, LMG 923	ICMP 114, LMG 923	0	58	744460	744547	parsed	low		
NCPPB 1423	2	isolated_by	This isolate was isolated by Z. Klement S. 07	Z. Klement S. 07	59	104	744551	744597	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1426	1	collection_list	This isolate is also in the collections; ICMP 173, LMG 924	ICMP 173, LMG 924	0	58	747767	747854	parsed	low		
NCPPB 1426	2	isolated_by	This isolate was isolated by Z. Klement S. 10	Z. Klement S. 10	59	104	747858	747904	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1431	1	collection_list	This isolate is also in the collections; ICMP 112, LMG 925	ICMP 112, LMG 925	0	58	751074	751161	parsed	low		
NCPPB 1431	2	isolated_by	This isolate was isolated by Z. Klement S. 04	Z. Klement S. 04	59	104	751165	751211	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1433	1	collection_list	This isolate is also in the collections; LMG 8016	LMG 8016	0	49	754883	754961	parsed	low		
NCPPB 1433	2	isolated_by	This isolate was isolated by Z. Klement E1309	Z. Klement E1309	50	95	754965	755011	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1438	1	collection_list	This isolate is also in the collections; ICMP 172, LMG 926, CFBP 7955	ICMP 172, LMG 926, CFBP 7955	0	69	758180	758278	parsed	low		
NCPPB 1438	2	isolated_by	This isolate was isolated by Z. Klement I. 608	Z. Klement I. 608	70	116	758282	758329	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1439	1	isolated_by	This isolate was isolated by Z. Klement E1299	Z. Klement E1299	0	45	761785	761859	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1447	1	donor_reference	The donor reference is 19	19	0	25	765009	765063	parsed	medium		
NCPPB 1447	2	isolated_by	This isolate was isolated by ex I. Lazar	ex I. Lazar	26	66	765067	765108	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1451	1	collection_list	This isolate is also in the collections; ICMP 5761, LMG 940	ICMP 5761, LMG 940	0	59	767505	767593	parsed	low		
NCPPB 1451	2	isolated_by	This isolate was isolated by ex A.C. Padhya	ex A.C. Padhya	60	103	767597	767641	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1452	1	collection_list	This isolate is also in the collections; ICMP 5852, LMG 872, ATCC 23577	ICMP 5852, LMG 872, ATCC 23577	0	71	770309	770409	parsed	low		
NCPPB 1452	2	isolated_by	This isolate was isolated by ex A.C. Padhya	ex A.C. Padhya	72	115	770413	770457	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1453	1	isolated_by	This isolate was isolated by ex M.C. Srinivasan	ex M.C. Srinivasan	0	47	772874	772950	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1454	1	collection_list	This isolate is also in the collections; ICMP 5753, LMG 873	ICMP 5753, LMG 873	0	59	775380	775468	parsed	low		
NCPPB 1454	2	isolated_by	This isolate was isolated by ex M.C. Srinivasan	ex M.C. Srinivasan	60	107	775472	775520	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1455	1	collection_list	This isolate is also in the collections; ICMP 5737, LMG 754	ICMP 5737, LMG 754	0	59	777930	778018	parsed	low		
NCPPB 1455	2	isolated_by	This isolate was isolated by ex M.C. Srinivasan	ex M.C. Srinivasan	60	107	778022	778070	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1457	1	isolated_by	This isolate was isolated by ex M.C. Srinivasan	ex M.C. Srinivasan	0	47	780484	780560	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1469	1	collection_list	This isolate is also in the collections; ICMP 5715, ATTCC 33239, VKM B-2165, DSMZ 3587, LMG 708, CFBP 2157	ICMP 5715, ATTCC 33239, VKM B-2165, DSMZ 3587, LMG 708, CFBP 2157	0	106	783577	783712	parsed	low		
NCPPB 1469	2	isolated_by	This isolate was isolated by B.W. Kennedy	B.W. Kennedy	107	148	783716	783758	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1471	1	isolated_by	This isolate was isolated by A.C. Hayward B1603	A.C. Hayward B1603	0	47	787155	787231	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1472	1	isolated_by	This isolate was isolated by A.C. Hayward B1601	A.C. Hayward B1601	0	47	790627	790703	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1473	1	isolated_by	This isolate was isolated by A.C. Hayward B1559	A.C. Hayward B1559	0	47	794133	794209	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1475	1	isolated_by	This isolate was isolated by A.C. Hayward B1479	A.C. Hayward B1479	0	47	797389	797465	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1482	1	isolated_by	This isolate was isolated by A.C. Hayward B1741	A.C. Hayward B1741	0	47	800971	801047	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1495	1	collection_list	This isolate is also in the collections; LMG 8017	LMG 8017	0	49	804722	804800	parsed	low		
NCPPB 1495	2	isolated_by	This isolate was isolated by G.E. Jones C398	G.E. Jones C398	50	94	804804	804849	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1560	1	isolated_by	This isolate was isolated by R.A. Lelliott 479	R.A. Lelliott 479	0	46	808151	808226	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1568	1	donor_reference	The donor reference is 1	1	0	24	810829	810882	parsed	medium		
NCPPB 1568	2	isolated_by	This isolate was isolated by ex K.S.S. Eswaran	ex K.S.S. Eswaran	25	71	810886	810933	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1585	1	collection_list	This isolate is also in the collections; ICPB XOlll, ICMP 5743, LMG 797, CFBP 2286, ATCC 49072	ICPB XOlll, ICMP 5743, LMG 797, CFBP 2286, ATCC 49072	0	94	814353	814476	parsed	low		
NCPPB 1585	2	isolated_by	This isolate was isolated by A.C. Hayward B2115	A.C. Hayward B2115	95	142	814480	814528	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1593	1	collection_list	This isolate is also in the collections; ICMP 1617, LMG 534	ICMP 1617, LMG 534	0	59	816955	817043	parsed	low		
NCPPB 1593	2	isolated_by	This isolate was isolated by ex M.C. Srinivasan	ex M.C. Srinivasan	60	107	817047	817095	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1594	1	isolated_by	This isolate was isolated by ex A.C. Padhya	ex A.C. Padhya	0	43	819793	819866	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1594	2	source_of_isolate	The source of this isolate was ex M.K. Patel	ex M.K. Patel	44	88	819870	819915	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1595	1	source_of_isolate	The source of this isolate was ex M.C. Srinivasan	ex M.C. Srinivasan	0	49	822339	822417	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1596	1	source_of_isolate	The source of this isolate was ex M.C. Srinivasan	ex M.C. Srinivasan	0	49	824834	824912	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1607	1	donor_reference	The donor reference is B2165	B2165	0	28	828050	828107	parsed	medium		
NCPPB 1607	2	isolated_by	This isolate was isolated by ex R.D. Pares	ex R.D. Pares	29	71	828111	828154	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1610	1	isolated_by	This isolate was isolated by R.A. Lelliott	R.A. Lelliott	0	42	831305	831376	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1612	1	isolated_by	This isolate was isolated by A.C. Hayward B2175	A.C. Hayward B2175	0	47	834317	834393	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1615	1	collection_list	This isolate is also in the collections; ICPB XPl99	ICPB XPl99	0	51	837544	837624	parsed	low		
NCPPB 1615	2	isolated_by	This isolate was isolated by R.A. Lelliott	R.A. Lelliott	52	94	837628	837671	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1616	1	isolated_by	This isolate was isolated by A.C. Hayward B2249F	A.C. Hayward B2249F	0	48	840338	840415	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1622	1	isolated_by	This isolate was isolated by D.C. Graham	D.C. Graham	0	40	843546	843615	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1628	1	collection_list	This isolate is also in the collections; ICPB XA132	ICPB XA132	0	51	846037	846117	parsed	low		
NCPPB 1628	2	isolated_by	This isolate was isolated by A.C. Padhya	A.C. Padhya	52	92	846121	846162	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1629	1	isolated_by	This isolate was isolated by ex A.C. Padhya	ex A.C. Padhya	0	43	849347	849419	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1630	1	isolated_by	This isolate was isolated by ex D.W. Dye ZZ24	ex D.W. Dye ZZ24	0	45	852573	852647	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1630	2	source_of_isolate	The source of this isolate was .	.	46	78	852651	852684	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1632	1	source_of_isolate	The source of this isolate was ex M. Goto B50	ex M. Goto B50	0	45	855389	855463	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1633	1	collection_list	This isolate is also in the collections; ICPB XSl, CFBP 7111	ICPB XSl, CFBP 7111	0	60	858381	858470	parsed	low		
NCPPB 1633	2	isolated_by	This isolate was isolated by ex W.H. Burkholder	ex W.H. Burkholder	61	108	858474	858522	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1633	3	source_of_isolate	The source of this isolate was ex R.S. Dickey	ex R.S. Dickey	109	154	858526	858572	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1638	1	isolated_by	This isolate was isolated by A.C. Hayward B2290	A.C. Hayward B2290	0	47	861806	861882	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1645	1	donor_reference	The donor reference is B2340	B2340	0	28	864804	864861	parsed	medium		
NCPPB 1645	2	isolated_by	This isolate was isolated by ex A.H. Ramos SAL/163/B	ex A.H. Ramos SAL/163/B	29	81	864865	864918	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1646	1	donor_reference	The donor reference is B2324A	B2324A	0	29	868352	868410	parsed	medium		
NCPPB 1646	2	isolated_by	This isolate was isolated by ex W.S. Sutton	ex W.S. Sutton	30	73	868414	868458	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1648	1	isolated_by	This isolate was isolated by A.C. Hayward B2305	A.C. Hayward B2305	0	47	871143	871219	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1654	1	donor_reference	The donor reference is B2330	B2330	0	28	874896	874953	parsed	medium		
NCPPB 1654	2	collection_list	This isolate is also in the collections; LMG 837	LMG 837	29	77	874957	875006	parsed	low		
NCPPB 1654	3	isolated_by	This isolate was isolated by ex B.H. Boelema F6	ex B.H. Boelema F6	78	125	875010	875058	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1659	1	isolated_by	This isolate was isolated by A.C. Hayward B2404	A.C. Hayward B2404	0	47	878203	878279	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1668	1	donor_reference	The donor reference is CS56-27	CS56-27	0	30	880974	881033	parsed	medium		
NCPPB 1671	1	isolated_by	This isolate was isolated by A.C. Hayward B2536	A.C. Hayward B2536	0	47	884223	884299	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1672	1	isolated_by	This isolate was isolated by A.C. Hayward B2540B	A.C. Hayward B2540B	0	48	887490	887567	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1680	1	collection_list	This isolate is also in the collections; ICPB XP200	ICPB XP200	0	51	890999	891079	parsed	low		
NCPPB 1680	2	isolated_by	This isolate was isolated by D.C. Graham	D.C. Graham	52	92	891083	891124	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1683	1	collection_list	This isolate is also in the collections; ATCC 19867, ICMP 3945	ATCC 19867, ICMP 3945	0	62	894222	894313	parsed	low		
NCPPB 1684	1	collection_list	This isolate is also in the collections; ICPB XR117	ICPB XR117	0	51	897740	897820	parsed	low		
NCPPB 1684	2	isolated_by	This isolate was isolated by A.C. Hayward B2602	A.C. Hayward B2602	52	99	897824	897872	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1685	1	donor_reference	The donor reference is B2631	B2631	0	28	900561	900618	parsed	medium		
NCPPB 1685	2	isolated_by	This isolate was isolated by ex H.L. Harvey WA134	ex H.L. Harvey WA134	29	78	900622	900672	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1697	1	isolated_by	This isolate was isolated by A.C. Hayward B2024	A.C. Hayward B2024	0	47	904194	904270	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1698	1	donor_reference	The donor reference is B650	B650	0	27	907782	907838	parsed	medium		
NCPPB 1698	2	collection_list	This isolate is also in the collections; ATCC 14985, LMG 7429	ATCC 14985, LMG 7429	28	89	907842	907904	parsed	low		
NCPPB 1698	3	isolated_by	This isolate was isolated by ex C. Logan XL59/10	ex C. Logan XL59/10	90	138	907908	907957	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1699	1	isolated_by	This isolate was isolated by A.C. Hayward B2019	A.C. Hayward B2019	0	47	911475	911551	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1700	1	donor_reference	The donor reference is B648	B648	0	27	915064	915120	parsed	medium		
NCPPB 1700	2	collection_list	This isolate is also in the collections; ATCC 14982	ATCC 14982	28	79	915124	915176	parsed	low		
NCPPB 1700	3	isolated_by	This isolate was isolated by ex C. Logan XL 59/6	ex C. Logan XL 59/6	80	128	915180	915229	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1701	1	collection_list	This isolate is also in the collections; ATCC 14983	ATCC 14983	0	51	918742	918822	parsed	low		
NCPPB 1701	2	isolated_by	This isolate was isolated by A.C. Hayward B649 ex C. Logan XL59/9	A.C. Hayward B649 ex C. Logan XL59/9	52	117	918826	918892	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1711	1	donor_reference	The donor reference is B1548	B1548	0	28	921802	921859	parsed	medium		
NCPPB 1711	2	isolated_by	This isolate was isolated by ex M.D. Sutton P125	ex M.D. Sutton P125	29	77	921863	921912	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1712	1	isolated_by	This isolate was isolated by A.C. Hayward B1334	A.C. Hayward B1334	0	47	925439	925515	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1713	1	isolated_by	This isolate was isolated by A.C. Hayward B912	A.C. Hayward B912	0	46	928982	929057	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1714	1	isolated_by	This isolate was isolated by A.C. Hayward B744	A.C. Hayward B744	0	46	932225	932300	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1715	1	isolated_by	This isolate was isolated by A.C. Hayward B1853	A.C. Hayward B1853	0	47	934689	934765	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1717	1	donor_reference	The donor reference is B913	B913	0	27	937930	937986	parsed	medium		
NCPPB 1737	1	isolated_by	This isolate was isolated by R.A. Lelliott X.a.7a	R.A. Lelliott X.a.7a	0	49	940617	940695	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1738	1	isolated_by	This isolate was isolated by R.A. Lelliott X.a.5	R.A. Lelliott X.a.5	0	48	943326	943403	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1754	1	donor_reference	The donor reference is HACC-179	HACC-179	0	31	946592	946652	parsed	medium		
NCPPB 1754	2	collection_list	This isolate is also in the collections; ATCC 17992	ATCC 17992	32	83	946656	946708	parsed	low		
NCPPB 1754	3	isolated_by	This isolate was isolated by ex M.C. Srinivasan	ex M.C. Srinivasan	84	131	946712	946760	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1755	1	donor_reference	The donor reference is HACC-180	HACC-180	0	31	949172	949232	parsed	medium		
NCPPB 1755	2	collection_list	This isolate is also in the collections; ATCC 17993	ATCC 17993	32	83	949236	949288	parsed	low		
NCPPB 1756	1	donor_reference	The donor reference is HACC-181	HACC-181	0	31	951714	951774	parsed	medium		
NCPPB 1756	2	collection_list	This isolate is also in the collections; ATCC 17994, ICMP 5746, LMG 846	ATCC 17994, ICMP 5746, LMG 846	32	103	951778	951850	parsed	low		
NCPPB 1757	1	donor_reference	The donor reference is HACC-182	HACC-182	0	31	954274	954334	parsed	medium		
NCPPB 1757	2	collection_list	This isolate is also in the collections; ATCC 17995, PDDCC 57 22, LMG 557, ICMP 5722	ATCC 17995, PDDCC 57 22, LMG 557, ICMP 5722	32	116	954338	954423	parsed	low		
NCPPB 1758	1	donor_reference	The donor reference is HACC-183	HACC-183	0	31	956838	956898	parsed	medium		
NCPPB 1758	2	collection_list	This isolate is also in the collections; ATCC 17996, ICMP 5725, LMG 867	ATCC 17996, ICMP 5725, LMG 867	32	103	956902	956974	parsed	low		
NCPPB 1759	1	isolated_by	This isolate was isolated by ex M.C. Srinivasan 1871	ex M.C. Srinivasan 1871	0	52	959868	959949	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1759	2	source_of_isolate	The source of this isolate was ex M.J. Thirumalachar HACC-184	ex M.J. Thirumalachar HACC-184	53	114	959953	960016	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1760	1	donor_reference	The donor reference is HACC-185	HACC-185	0	31	962433	962493	parsed	medium		
NCPPB 1760	2	collection_list	This isolate is also in the collections; ATCC 17998, ICMP 5751, LMG 868	ATCC 17998, ICMP 5751, LMG 868	32	103	962497	962569	parsed	low		
NCPPB 1765	1	isolated_by	This isolate was isolated by R.A. Skipp	R.A. Skipp	0	39	965720	965788	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1774	1	donor_reference	The donor reference is Pt3	Pt3	0	26	968584	968639	parsed	medium		
NCPPB 1785	1	isolated_by	This isolate was isolated by M. K. Patel	M. K. Patel	0	40	972147	972216	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1786	1	collection_list	This isolate is also in the collections; ICMP 5724, LMG 686	ICMP 5724, LMG 686	0	59	975415	975503	parsed	low		
NCPPB 1786	2	isolated_by	This isolate was isolated by ex S.G. Desai	ex S.G. Desai	60	102	975507	975550	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1787	1	collection_list	This isolate is also in the collections; ICMP 5758, LMG 9058	ICMP 5758, LMG 9058	0	60	977982	978071	parsed	low		
NCPPB 1787	2	isolated_by	This isolate was isolated by M.K. Patel	M.K. Patel	61	100	978075	978115	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1811	1	isolated_by	This isolate was isolated by D.C. Graham	D.C. Graham	0	40	981546	981615	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1821	1	collection_list	This isolate is also in the collections; CFBP 7120	CFBP 7120	0	50	984808	984887	parsed	low		
NCPPB 1821	2	isolated_by	This isolate was isolated by T. Tominaga	T. Tominaga	51	91	984891	984932	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1822	1	collection_list	This isolate is also in the collections; ICPB XF105	ICPB XF105	0	51	987957	988037	parsed	low		
NCPPB 1822	2	isolated_by	This isolate was isolated by R.A. Lelliott	R.A. Lelliott	52	94	988041	988084	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1826	1	isolated_by	This isolate was isolated by G.E. Jones C555	G.E. Jones C555	0	44	991404	991477	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1827	1	collection_list	This isolate is also in the collections; ICMP 5748, LMG 8021	ICMP 5748, LMG 8021	0	60	994696	994785	parsed	low		
NCPPB 1827	2	isolated_by	This isolate was isolated by K.A. Sabet Rhyn 1	K.A. Sabet Rhyn 1	61	107	994789	994836	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1828	1	collection_list	This isolate is also in the collections; ICMP 5730, LMG 863	ICMP 5730, LMG 863	0	59	997250	997338	parsed	low		
NCPPB 1828	2	isolated_by	This isolate was isolated by K.A. Sabet Euph 1	K.A. Sabet Euph 1	60	106	997342	997389	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1829	1	isolated_by	This isolate was isolated by K.A. Sabet Jat 100	K.A. Sabet Jat 100	0	47	1000710	1000786	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1830	1	source_of_isolate	The source of this isolate was ex H. Koike 310	ex H. Koike 310	0	46	1003415	1003490	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1832	1	collection_list	This isolate is also in the collections; ATCC 19045, ICMP 1488, LMG 677	ATCC 19045, ICMP 1488, LMG 677	0	71	1006643	1006743	parsed	low		
NCPPB 1832	2	isolated_by	This isolate was isolated by ex D.W. Dye ZZ28	ex D.W. Dye ZZ28	72	117	1006747	1006793	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 1833	1	collection_list	This isolate is also in the collections; ICMP 5727, LMG 695	ICMP 5727, LMG 695	0	59	1010017	1010105	parsed	low		
NCPPB 1833	2	isolated_by	This isolate was isolated by ex C.F. Robbs ENA-350	ex C.F. Robbs ENA-350	60	110	1010109	1010160	parsed	medium	person_or_source_text_not_automatically_an_identifier	
