review_priority	ncppb_number	ncppb_current_name	current_accepted_biosamples	review_candidate_biosamples	candidate_organisms	matched_identifiers	matched_identifier_types	matched_fields	evidence_classes	taxonomy_statuses	review_reasons	discovery_tracks	biosample_urls	review_question	reviewer_decision	reviewer_notes
P2	NCPPB 4322	Xanthomonas euvesicatoria pv. perforans (Jones et al. 2006) Constantin et al. 2016 comb. nov.		SAMN23026091	Xanthomonas perforans	XV1220	donor_reference	strain	structured_exact_identifier	compatible_synonym	medium_identifier_requires_corroboration	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN23026091	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4346	Xanthomonas campestris pv. leersiae (ex Fang et al. 1957) Young et al. 1991	SAMN10956069; SAMN03862116	SAMN10956069; SAMN03862116	Xanthomonas oryzae	NCPPB 4346	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN10956069; https://www.ncbi.nlm.nih.gov/biosample/SAMN03862116	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 4393	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN42486834; SAMN02471171; SAMN00752561	SAMN02471171; SAMN00752561	Xanthomonas sacchari NCPPB 4393	NCPPB 4393	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN02471171; https://www.ncbi.nlm.nih.gov/biosample/SAMN00752561	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 4410	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995		SAMN40354567	Xanthomonas sp. WHRI 8356	8356	donor_reference	strain	structured_exact_identifier	same_genus_different_species	medium_identifier_requires_corroboration; same_genus_different_species	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN40354567	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4594	Xanthomonas sp. Dowson 1939	SAMN56511377	SAMN56511377	Xanthomonas cannabis pv. phaseoli	NCPPB 4594	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511377	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 4614	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357968	SAMN36357978	Xanthomonas vasicola	SAM119	donor_reference	strain	structured_exact_identifier	same_name	medium_identifier_requires_corroboration	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN36357978	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4615	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939		SAMN25050887	Xanthomonas campestris	B100	donor_reference	title	unstructured_exact_identifier	same_name	exact_identifier_only_in_title	historical_v1_recheck	https://www.ncbi.nlm.nih.gov/biosample/SAMN25050887	Is the title-only exact identifier sufficient when structured identity fields are incomplete?		
P2	NCPPB 4678	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN56511383; SAMN43286080	SAMN49888164	Xanthomonas campestris pv. campestris	NCPPB 4678	ncppb_number	title	unstructured_exact_identifier	same_name	exact_identifier_only_in_title	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN49888164	Is the title-only exact identifier sufficient when structured identity fields are incomplete?		
P2	NCPPB 4679	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN56511384	SAMN49888165	Xanthomonas campestris pv. campestris	NCPPB 4679	ncppb_number	title	unstructured_exact_identifier	same_name	exact_identifier_only_in_title	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN49888165	Is the title-only exact identifier sufficient when structured identity fields are incomplete?		
P2	NCPPB 4681	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN56511386	SAMN17198917; SAMN17198916; SAMN17198915	Xanthomonas campestris pv. campestris	Xc27	donor_reference	identifiers	structured_exact_identifier	same_name	medium_identifier_requires_corroboration	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN17198917; https://www.ncbi.nlm.nih.gov/biosample/SAMN17198916; https://www.ncbi.nlm.nih.gov/biosample/SAMN17198915	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4704	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017		SAMN36357988	Xanthomonas vasicola	Co-126-2	donor_reference	strain	structured_exact_identifier	same_name	medium_identifier_requires_corroboration	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN36357988	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4705	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017		SAMN36357994; SAMN07735936	Xanthomonas vasicola; Xanthomonas vasicola pv. vasculorum	Arg-1A	donor_reference	strain	structured_exact_identifier	same_name	medium_identifier_requires_corroboration	historical_v1_recheck	https://www.ncbi.nlm.nih.gov/biosample/SAMN36357994; https://www.ncbi.nlm.nih.gov/biosample/SAMN07735936	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4707	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017		SAMN36357996	Xanthomonas vasicola	ARG-3A	donor_reference	strain	structured_exact_identifier	same_name	medium_identifier_requires_corroboration	historical_v1_recheck	https://www.ncbi.nlm.nih.gov/biosample/SAMN36357996	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4709	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995		SAMN36358007	Xanthomonas vasicola	NE-18 Xvh	donor_reference	strain	structured_exact_identifier	same_name	medium_identifier_requires_corroboration	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN36358007	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4710	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017		SAMN36701295; SAMN36357995; SAMN08773711	Xanthomonas vasicola pv. vasculorum; Xanthomonas vasicola	Arg-2B	donor_reference	strain	structured_exact_identifier	same_name	medium_identifier_requires_corroboration	historical_v1_recheck	https://www.ncbi.nlm.nih.gov/biosample/SAMN36701295; https://www.ncbi.nlm.nih.gov/biosample/SAMN36357995; https://www.ncbi.nlm.nih.gov/biosample/SAMN08773711	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4712	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017		SAMN36701296; SAMN36357998; SAMN08773805	Xanthomonas vasicola pv. vasculorum; Xanthomonas vasicola	ARG-6B	donor_reference	strain	structured_exact_identifier	same_name	medium_identifier_requires_corroboration	historical_v1_recheck	https://www.ncbi.nlm.nih.gov/biosample/SAMN36701296; https://www.ncbi.nlm.nih.gov/biosample/SAMN36357998; https://www.ncbi.nlm.nih.gov/biosample/SAMN08773805	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4714	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017		SAMN36357997	Xanthomonas vasicola	ARG 4B	donor_reference	strain	structured_exact_identifier	same_name	medium_identifier_requires_corroboration	historical_v1_recheck	https://www.ncbi.nlm.nih.gov/biosample/SAMN36357997	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4716	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017		SAMN36357991	Xanthomonas vasicola	NE-16	donor_reference	strain	structured_exact_identifier	same_name	medium_identifier_requires_corroboration	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN36357991	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4771	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939		SAMN53688592	Xanthomonas campestris	2023027163	donor_reference	identifiers	structured_exact_identifier	same_name	medium_identifier_requires_corroboration	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN53688592	Does the structured evidence support retaining this BioSample as a strain-level match?		
