ncppb_number	ncppb_current_name	snapshot_status	all_searchable_identifiers	confirmed_biosample_accessions	provisional_biosample_accessions	ncppb_track_biosample_accessions	other_references_track_biosample_accessions	historical_v1_recheck_biosample_accessions	assembly_accessions	assembly_levels	sra_run_accessions	bioproject_accessions	provisional_assembly_accessions	provisional_sra_run_accessions	provisional_bioproject_accessions	sequence_availability_category	identity_match_status	taxonomy_consistency_status	taxonomy_review_required	manual_review_required	review_reason	accepted_candidate_count	review_candidate_count	rejected_candidate_count
NCPPB 1585	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	present_in_v2_snapshot	NCPPB 1585; LMG 797; CFBP 2286; B2115	SAMN40354542; SAMN08729510; SAMN03612252		SAMN40354542; SAMN08729510	SAMN03612252		GCF_040202085.2; GCF_003064145.1; GCF_001042735.1	Complete Genome; Scaffold	SRR28281450; SRR30284786; SRR2033534; SRR2047367; SRR2047368; SRR2047369; SRR2047370; SRR2047371	PRJNA991976; PRJNA438823; PRJNA280380; PRJNA283315				complete_genome_available	confirmed_exact_ncppb_identifier; confirmed_exact_collection_identifier	same_name	no	no		3	0	0
NCPPB 1593	Xanthomonas euvesicatoria pv. argemones (Srinivasan et al. 1961) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1593; ICMP 1617; LMG 534													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1594	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 1594	SAMN56511363		SAMN56511363			GCF_056612795.1	Complete Genome	SRR37629062; SRR37789879	PRJNA1437458				complete_genome_available	confirmed_exact_ncppb_identifier	same_name	no	no		1	0	0
NCPPB 1595	Xanthomonas euvesicatoria pv. physalidis (Srinivasan et al. 1962) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1595													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1596	Xanthomonas euvesicatoria pv. spermacoces (Srinivasan & Patel 1956) Harrison et al. 2023	present_in_v2_snapshot	NCPPB 1596													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1607	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 1607; B2165		SAMEA104068692								GCF_900183975.1		PRJEB20805	ambiguous_needs_review	conflicting_exact_identifier	same_genus_different_species	yes	yes	conflicting_ncppb_identifier	0	1	0
NCPPB 1610	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 1610													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1612	Xanthomonas euvesicatoria pv. blepharidis (Srinivasan & Patel 1956) Harrison et al. 2023	present_in_v2_snapshot	NCPPB 1612; B2175													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1615	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 1615; ICPB XPl99													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1616	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 1616; B2249F													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1622	Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 1622													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1628	Xanthomonas euvesicatoria pv. alangii (Padhya & Patel 1962) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1628; ICPB XA132													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
