ncppb_number	other_references
NCPPB 1942	The source of this isolate was ex D.W. Dye ZQ1 ex W.J. Dowson 175 ex R.M, Natrass
NCPPB 1943	This isolate is also in the collections; ICMP1409 The source of this isolate was ex J.R. Wallin 20
NCPPB 1944	The donor reference is ICPB XT15 This isolate is also in the collections; ICMP 1409, LMG 679, CFBP 2541 The source of this isolate was ex J.R. Wallin 60-1
NCPPB 1945	The source of this isolate was ex W.A.F. Hagborg 1910
NCPPB 1946	This isolate is also in the collections; ICMP 1404, LMG 860, ATCC 49079 The source of this isolate was ex R. Lincoln Lll
NCPPB 1974	This isolate is also in the collections; ATCC 13637; CCM 1640; NCTC 10275; NCIMB 9203; NCIMB 9203; DSM 50170; NCPPB 1974;
NCPPB 1975	
NCPPB 1981	The donor reference is 332 This isolate was isolated by ex E. Billing W135
NCPPB 2005	The donor reference is B3100 This isolate is also in the collections; ICPB XM130, ICMP 2870, CFBP 7123, DSM 24447, LMG 785, ATCC 49084 This isolate was isolated by ex D. Yirgou
NCPPB 2011	This isolate was isolated by F.W. Catton C596
NCPPB 2016	This isolate was isolated by J. Oxtoby X.H.l
NCPPB 2031	The donor reference is XCB-2
NCPPB 2044	The donor reference is 15984
NCPPB 2057	The donor reference is Hel 1 This isolate is also in the collections; ICMP 5778, LMG 735
NCPPB 2058	This isolate is also in the collections; ICMP 5159 This isolate was isolated by K.A. Sabet Phas 2
NCPPB 2059	This isolate was isolated by K.A. Sabet Vig 1
NCPPB 2060	This isolate was isolated by K.A. Sabet Rhyn 2
NCPPB 2061	This isolate is also in the collections; CFBP 7113 This isolate was isolated by K.A. Sabet Vig 3
NCPPB 2062	This isolate is also in the collections; ICMP 5718, LMG 497 This isolate was isolated by K.A. Sabet Alf 1
NCPPB 2063	This isolate was isolated by K.A. Sabet Caj 1
NCPPB 2064	This isolate was isolated by K.A. Sabet Dol 3
NCPPB 2066	This isolate is also in the collections; ICMP 5745, LMG 844 This isolate was isolated by K.A. Sabet Phyl 1
NCPPB 2067	This isolate was isolated by K.A. Sabet Euph 3
NCPPB 2095	This isolate was isolated by D.C. Graham
NCPPB 2097	
NCPPB 2099	
NCPPB 2147	This isolate was isolated by L. Behr 1
NCPPB 2181	This isolate was isolated by T. Tominaga X1-11-2
NCPPB 2182	This isolate is also in the collections; ICMP 5780, LMG 732 This isolate was isolated by ex W. Kamerman S131-84
NCPPB 2183	This isolate was isolated by ex W. Kamerman S148-81
NCPPB 2190	This isolate is also in the collections; ICMP 5729, LMG 699 This isolate was isolated by C. F. Robbs ENA-568
NCPPB 2217	This isolate is also in the collections; ATCC 33914;CECT 7646;CNBP 1192;DSM 7250;ICMP 4298;ICPB XA138;LMG 5856 This isolate was isolated by C.G. Panagopoulos 48
NCPPB 2218	This isolate is also in the collections; ICPB XA139 This isolate was isolated by C.G. Panagopoulos 75
NCPPB 2226	This isolate was isolated by D.C. Graham
NCPPB 2228	This isolate is also in the collections; ICPB XB117, ICMP 2780, LMG 556 This isolate was isolated by A.M. Patel
NCPPB 2229	This isolate is also in the collections; ICPB XL107, ICMP 5738, LMG 9048 This isolate was isolated by A.M. Patel
NCPPB 2230	This isolate is also in the collections; ICPB XN105, ICMP 5731, LMG 9047 This isolate was isolated by A.M. Patel
NCPPB 2247	This isolate was isolated by J.F. Bradbury B3596
NCPPB 2248	The donor reference is B3005 This isolate was isolated by ex R.A. Bailey MR20213
NCPPB 2249	This isolate was isolated by J.F. Bradbury B3891
NCPPB 2250	The donor reference is Dowson 1939 This isolate was isolated by J.F. Bradbury B3516a
NCPPB 2251	The donor reference is B3645 This isolate is also in the collections; CFBP 7122 This isolate was isolated by ex D. Yirgou
NCPPB 2255	The donor reference is 068-1406
NCPPB 2257	The donor reference is X32
NCPPB 2258	The donor reference is X42
NCPPB 2269	This isolate was isolated by M.J. Dervish 1356/2
NCPPB 2297	This isolate was isolated by F.W. Catton 85/68
NCPPB 2336	This isolate was isolated by F.W. Catton C721
NCPPB 2337	The donor reference is B63 This isolate is also in the collections; ICPB XE104, ICMP 5382, CFBP 7270, LMG 700
NCPPB 2338	The donor reference is B99 This isolate is also in the collections; ICPB XE105
NCPPB 2345	This isolate was isolated by J. Oxtoby A218
NCPPB 2346	This isolate is also in the collections; ICMP 3151, LMG 810 This isolate was isolated by A.L.G. Pereira SBF-813
NCPPB 2352	This isolate was isolated by J.W. Miller 069-3050
NCPPB 2368	The donor reference is XPEl This isolate is also in the collections; ICMP 3030, LMG 812 This isolate was isolated by ex J.K. Jindal
NCPPB 2369	The donor reference is XRI This isolate was isolated by ex J.K. Jindal
NCPPB 2370	The donor reference is XH1 This isolate was isolated by ex J.K. Jindal
NCPPB 2371	The donor reference is Xal This isolate is also in the collections; ICMP 3033, LMG 499 This isolate was isolated by ex J.K. Jindal
NCPPB 2372	The donor reference is XFl This isolate is also in the collections; ICMP 3036, LMG 701 This isolate was isolated by ex J.K. Jindal
NCPPB 2373	The donor reference is XCl This isolate is also in the collections; ICMP 3034, LMG 669 This isolate was isolated by ex J.K. Jindal
NCPPB 2374	The donor reference is XC2 This isolate was isolated by ex J.K. Jindal
NCPPB 2375	This isolate is also in the collections; W.J. Dowson 265 This isolate was isolated by ex M.P. Starr XA113
NCPPB 2376	This isolate is also in the collections; W.J. Dowson 266 This isolate was isolated by ex M.P. Starr XA115
NCPPB 2387	The donor reference is PM This isolate was isolated by ex G.S. Shekhawat
NCPPB 2388	The donor reference is PA This isolate is also in the collections; ICMP 3102, LMG 543 This isolate was isolated by ex J.K. Jindal
NCPPB 2389	The donor reference is B5 This isolate is also in the collections; ICMP 5735 This isolate was isolated by ex G.S. Shekhawat
NCPPB 2393	This isolate was isolated by T. Tominaga Xl-6-1
NCPPB 2417	The donor reference is YW5 This isolate is also in the collections; ICMP 3103, LMG 736, CFBP 2543 This isolate was isolated by ex D.R.W. Watson
NCPPB 2436	The donor reference is VMl This isolate is also in the collections; ICMP 3518, LMG 536 This isolate was isolated by ex A.L.G. Pereira SBF-913
NCPPB 2438	This isolate was isolated by N.M. Viljoen 2UP87
NCPPB 2439	This isolate is also in the collections; ICMP 5762, LMG 8692 This isolate was isolated by A.C. Hayward 0365
NCPPB 2443	This isolate was isolated by J.C. Lozano 23L
NCPPB 2444	This isolate was isolated by J.C. Lozano 30L
NCPPB 2446	The donor reference is B5000 This isolate was isolated by ex S. Yoshimura The source of this isolate was ex R.T.V. Fox ex Mizukami H5809
NCPPB 2475	This isolate is also in the collections; ICMP 3867, LMG 965 This isolate was isolated by M.V. Nayudu 0307
NCPPB 2490	The donor reference is B4929 This isolate was isolated by ex J. Subbayya
NCPPB 2492	This isolate was isolated by J.F. Bradbury B4568b
NCPPB 2493	This isolate was isolated by J.F. Bradbury B4487
NCPPB 2494	The donor reference is B5017 The source of this isolate was ex S.V. Hegde Guar 1
NCPPB 2495	This isolate was isolated by J.F. Bradbury B4687
NCPPB 2496	The donor reference is B5078 The source of this isolate was ex H.K. Saksena
NCPPB 2497	The donor reference is B4539 The source of this isolate was ex V.P. Rao ex M.J. Chacko
NCPPB 2498	This isolate is also in the collections; ICMP 5380, LMG 685 This isolate was isolated by J.F. Bradbury B5081
NCPPB 2499	This isolate was isolated by J.F. Bradbury B4542
NCPPB 2503	This isolate was isolated by ex J.A. Spence The source of this isolate was ex A. Hayward
NCPPB 2517	This isolate was isolated by L.A.E. Baker 507
NCPPB 2550	The donor reference is IBSP-124
NCPPB 2567	This isolate is also in the collections; ICMP 203, LMG 7479, ATCC 23378 This isolate was isolated by M. K. Bryan The source of this isolate was ex ICPB XC6 ex P.R. Burkholder ex M.K. Bryan 46
NCPPB 2572	The donor reference is 555 This isolate was isolated by ex R.E. Stall XV-69-1 The source of this isolate was ex T. Egli
NCPPB 2573	The donor reference is 557 This isolate is also in the collections; LMG 929 This isolate was isolated by ex R.E. Stall XV-69-10 The source of this isolate was ex T. Egli
NCPPB 2574	The donor reference is 558 This isolate is also in the collections; LMG 930 This isolate was isolated by ex R.E. Stall XV-69-23 The source of this isolate was ex T. Egli
NCPPB 2575	The donor reference is 560 This isolate is also in the collections; LMG 931 This isolate was isolated by ex R.E. Stall XV-69-13 The source of this isolate was ex T. Egli
NCPPB 2576	The donor reference is 561 This isolate was isolated by ex R.E. Stall XV-E-3 The source of this isolate was ex T. Egli
NCPPB 2586	This isolate was isolated by S. Vir
NCPPB 2587	This isolate was isolated by F.N. Matthee;
NCPPB 2588	This isolate was isolated by F.N. Matthee
NCPPB 2592	The donor reference is ENA-2078 This isolate is also in the collections; ICMP 8917, LMG 9040
NCPPB 2593	This isolate is also in the collections; LMG 932 This isolate was isolated by C.F. Robbs ENA-804 The source of this isolate was ex O. Kimura
NCPPB 2594	This isolate is also in the collections; LMG 933 This isolate was isolated by C.F. Robbs ENA-734 The source of this isolate was ex O. Kimura
NCPPB 2595	This isolate was isolated by C.F. Robbs ENA-76
NCPPB 2597	This isolate is also in the collections; ICMP 2299, LMG 690, DSM 18957, CFBP 2542 This isolate was isolated by D.R.W. Watson E78
NCPPB 2605	This isolate was isolated by P. Roberts A493
NCPPB 2614	The donor reference is NU2 This isolate was isolated by ex M.V. Nayudu 0302 The source of this isolate was ex ICMP 3865
NCPPB 2615	The donor reference is NU3 This isolate was isolated by ex M.V. Nyaudu 0305
NCPPB 2616	The donor reference is NU5 This isolate was isolated by ex M.V. Nayaudu 0309
NCPPB 2632	This isolate was isolated by B. Austin D119
NCPPB 2649	This isolate is also in the collections; ICMP 5719, LMG 533 This isolate was isolated by S.K. Mohan
NCPPB 2654	This isolate was isolated by F.W. Catton C783
NCPPB 2665	The donor reference is IPV-BO 193 This isolate is also in the collections; LMG 841 The source of this isolate was ex D. Alberto IPV BO 193
NCPPB 2695	This isolate was isolated by ex D. Schmidt
NCPPB 2696	This isolate was isolated by T. Egli 702
NCPPB 2697	This isolate was isolated by T. Egli 703
NCPPB 2698	This isolate was isolated by T. Egli 704
NCPPB 2699	This isolate was isolated by T. Egli 705
NCPPB 2700	This isolate is also in the collections; ICMP 5733, LMG 726, ATCC 29091, CFBP 2053 This isolate was isolated by T. Egli 706
NCPPB 2701	This isolate was isolated by T. Egli 707
NCPPB 2817	The donor reference is 4081
NCPPB 2819	The donor reference is 4230
NCPPB 2820	The donor reference is 5262
NCPPB 2821	The donor reference is 5523 This isolate is also in the collections; ICMP 5755, LMG 892, ATCC 35935, CFBP 2055
NCPPB 2822	The donor reference is 5558 This isolate is also in the collections; ICMP 5749, LMG 883, CFBP 2539
NCPPB 2825	The donor reference is 5670
NCPPB 2826	The donor reference is 5673
NCPPB 2827	The donor reference is 5690
NCPPB 2828	The donor reference is 5777
NCPPB 2829	The donor reference is 5781
NCPPB 2831	The donor reference is 5897
NCPPB 2832	This isolate is also in the collections; ICMP 5381, LMG 532 This isolate was isolated by ex M. Beramis
NCPPB 2834	The donor reference is UKP 33 The source of this isolate was ex S.J. Brown
NCPPB 2835	The donor reference is UKP 37 The source of this isolate was ex S.J. Brown
NCPPB 2836	
NCPPB 2837	The donor reference is UKP 783 This isolate was isolated by ex D.L. Ebbels
NCPPB 2838	The donor reference is UKP 765 This isolate was isolated by ex D.L. Ebbels
NCPPB 2839	The donor reference is UKP 784 This isolate was isolated by ex D.L. Ebbels
NCPPB 2840	The donor reference is UKP 852
NCPPB 2856	This isolate was isolated by F.W. Catton C798
NCPPB 2857	This isolate was isolated by W.F. Catton C799
NCPPB 2859	The source of this isolate was ex D. Massfeller ex R. Hazneci
NCPPB 2864	This isolate was isolated by F.W. Catton 211/75/2
NCPPB 2865	This isolate was isolated by F.W. Catton 212/75/1
NCPPB 2866	This isolate was isolated by F.W. Catton 212/75/6
NCPPB 2876	This isolate was isolated by V. Severin XC7
NCPPB 2877	This isolate is also in the collections; ICMP 6570, LMG 9042, CCUG 28779, DSMZ 44278, ATCC 49725 This isolate was isolated by V. Severin XC8
NCPPB 2879	This isolate was isolated by V. Severin XC12
NCPPB 2885	This isolate was isolated by ex J.G. Luisetti G21.5
NCPPB 2894	This isolate was isolated by M.L. Moffett 0238
NCPPB 2896	The donor reference is 164/7
NCPPB 2898	This isolate is also in the collections; ICMP 7080 This isolate was isolated by P. Roberts A724A
NCPPB 2904	This isolate was isolated by P. Roberts A736
NCPPB 2910	The donor reference is B5271 This isolate was isolated by ex R.W. Schneider 1186
NCPPB 2914	The donor reference is B5300 The source of this isolate was ex D. Norse 507
NCPPB 2918	The donor reference is BS469 This isolate was isolated by J.F. Bradbury BS469
NCPPB 2919	The donor reference is B5530 This isolate was isolated by ex R.J. Williams CBZII 5972
NCPPB 2920	This isolate was isolated by J.F. Bradbury B5562
NCPPB 2921	The donor reference is B5566 This isolate was isolated by ex P.S.W. Lin PP1312/60
NCPPB 2922	The donor reference is B5577 This isolate was isolated by J.F. Bradbury
NCPPB 2925	The donor reference is B5582 This isolate was isolated by ex C. Nwigwe YI
NCPPB 2927	This isolate was isolated by J.F. Bradbury B5632
NCPPB 2928	The donor reference is B5643 This isolate was isolated by ex B.P.Chakravarti N318
NCPPB 2930	The donor reference is B5806 This isolate was isolated by ex G. Jackson PP223
NCPPB 2931	This isolate was isolated by J.F. Bradbury B5830
NCPPB 2932	The donor reference is B5480 This isolate was isolated by ex B.S. Siradhana
NCPPB 2933	The donor reference is B6132 This isolate was isolated by J.F. Bradbury B6132
NCPPB 2934	The donor reference is B6141 This isolate was isolated by ex P.S. Shekhawat XWl
NCPPB 2935	The donor reference is B6144 This isolate was isolated by ex P.S. Shekhawat D42
NCPPB 2936	The donor reference is B 6149 This isolate was isolated by ex P.S. Shekhawat XA1
NCPPB 2938	The donor reference is B6617 This isolate was isolated by ex Hasanuddin
NCPPB 2949	The donor reference is DAR 26146 This isolate was isolated by ex J. McGeghan The source of this isolate was ex N.S.W. Dept. of Agri.
NCPPB 2953	The donor reference is Tri lb This isolate is also in the collections; ICPB XP228
NCPPB 2955	The donor reference is Bt3 This isolate is also in the collections; ICPB XP230
NCPPB 2959	The donor reference is Reg This isolate is also in the collections; ICMP 5816, ICPB XP231, ATCC 51165, CFBP 1817, LMG 5743
NCPPB 2960	The donor reference is BII This isolate is also in the collections; ICPB XP232
NCPPB 2963	The donor reference is S62b This isolate is also in the collections; ICPB XP235
NCPPB 2965	The donor reference is IBBF-105 This isolate was isolated by ex J.R. Neto
NCPPB 2967	The donor reference is IBBF-165 This isolate was isolated by ex A.G. Zagatto
NCPPB 2968	This isolate is also in the collections; ATCC 11633, DSM 19128, CFBP 6864, LMG 27970 This isolate was isolated by ex W.H. Burkholder XV25 The source of this isolate was ex D.W. Dye X12
NCPPB 2969	This isolate is also in the collections; ATCC 33915, CFBP 2523, ICMP 196, LMG 494, DSMZ 3583 This isolate was isolated by ex D.W. Dye ZA6
NCPPB 2970	This isolate is also in the collections; ATCC 14179, ICMP 220, LMG 809 This isolate was isolated by ex M.K. Bryan 47 The source of this isolate was ex D.W. Dye ZI 2 ex ICPB XP5
NCPPB 2973	This isolate is also in the collections; ATCC 11638, ICPB XC112, M.K. Patel 6, ICMP 358, LMG 675, CFBP 2973 This isolate was isolated by M.K. Patel The source of this isolate was ex D.W. Dye YD2 ex W.H. Burkholder XC18
NCPPB 2977	This isolate is also in the collections; ATCC 23577, LMG 872, ICMP 5852 This isolate was isolated by M.K. Patel The source of this isolate was ex D.W. Dye WK2 ex M.J. Thirumalachar
NCPPB 2978	This isolate is also in the collections; ICMP 2372, LMG 9059 The source of this isolate was ex D.W. Dye VNI ex J.J. Joubert Arum 3
NCPPB 2982	This isolate is also in the collections; ICMP 8561, LMG 2167, ATCC 33616, CFBP 2432 This isolate was isolated by ex M. Goto PC1
NCPPB 2983	This isolate is also in the collections; ICMP 4294, LMG 702 This isolate was isolated by ex M. Goto XPl
NCPPB 2985	This isolate is also in the collections; CFBP 2533, ICMP 4321, LMG 7314 The source of this isolate was ex D.W. Dye ZJ12 ex W.J. Kemp 41
NCPPB 2986	This isolate is also in the collections; ICMP 4805, LMG 9037 This isolate was isolated by ex M.L. Moffett 0406
NCPPB 2987	This isolate is also in the collections; ICPB XP 237 This isolate was isolated by ex D.A. Burdekin
NCPPB 2997	This isolate was isolated by ex R.G. Orellana 14
NCPPB 2998	This isolate was isolated by ex R.G. Orellana 19
NCPPB 3002	This isolate is also in the collections; ATCC 35933, ICMP 3125, LMG 5047, CFBP 2532 This isolate was isolated by ex Y.P. Rao
NCPPB 3003	This isolate is also in the collections; ICPB XB110, NZRCC 10031, CFBP 2524, ICMP 194, ATCC 49082, LMG 7303 This isolate was isolated by ex D.W. Dye Z4
NCPPB 3005	This isolate was isolated by ex C.F. Robbs IBSP XM1
NCPPB 3020	The donor reference is 426 & 427
NCPPB 3022	This isolate was isolated by J.C. Lozano CIAT 1185
NCPPB 3024	This isolate was isolated by D.L. Strider NC334
NCPPB 3026	This isolate was isolated by S. Grasso 3
NCPPB 3027	This isolate was isolated by S. Grasso 6
NCPPB 3028	This isolate was isolated by J.R. Neto X-84
NCPPB 3035	This isolate is also in the collections; CFBP 2534, ICMP 5834, ATCC 9563, The source of this isolate was ex ATCC 9563 ex W.H. Burkholder XP20
NCPPB 3040	This isolate was isolated by J.E. Sellwood A895
NCPPB 3041	This isolate was isolated by P. Roberts A905
NCPPB 3058	
NCPPB 3059	This isolate was isolated by H. Maraite Z291
NCPPB 3060	This isolate was isolated by H. Maraite N578
NCPPB 3061	This isolate is also in the collections; ICMP 8816, LMG 671 This isolate was isolated by M. Maraite R662
NCPPB 3062	This isolate is also in the collections; LMG 672 This isolate was isolated by M. Maraite R704
NCPPB 3066	This isolate was isolated by J.E. Sellwood A960
NCPPB 3078	The donor reference is ENA503 This isolate was isolated by ex A. Frenhani
NCPPB 3079	This isolate is also in the collections; ICMP 8919, LMG 9053 This isolate was isolated by C.F. Robbs ENA 2154
NCPPB 3082	This isolate was isolated by C.F. Robbs ENA 2564
NCPPB 3086	This isolate is also in the collections; ICMP 6502, LMG 9046 The source of this isolate was ex ITCC 29 ex N.M. Pant
NCPPB 3092	The donor reference is B7090 This isolate is also in the collections; ICMP 6574, LMG 9045 This isolate was isolated by ex Y.S. Kulkarni
NCPPB 3110	This isolate was isolated by C.F. Robbs ENA 2530
NCPPB 3114	This isolate is also in the collections; ICMP 6747, LMG 9051 This isolate was isolated by ex N.M. Pant P30 The source of this isolate was ex ITCC
NCPPB 3119	This isolate was isolated by ex J. Mahillon
NCPPB 3125	This isolate was isolated by M.L. Moffett 0839
NCPPB 3135	
NCPPB 3136	This isolate was isolated by J.R. Neto 246
NCPPB 3140	The donor reference is 120
NCPPB 3155	This isolate was isolated by C. Bazzi 1192-IPV-BO
NCPPB 3156	This isolate was isolated by U. Mazzucchi 1236 IPV-BO
NCPPB 3161	The donor reference is B6812 This isolate was isolated by ex G. Persley C6
NCPPB 3162	This isolate was isolated by J.F. Bradbury B6892b
NCPPB 3168	The donor reference is B7147
NCPPB 3169	This isolate is also in the collections; CFBP 7114 This isolate was isolated by J.F. Bradbury B 7166
NCPPB 3170	This isolate was isolated by J.F. Bradbury B7205
NCPPB 3172	The donor reference is B7299 This isolate was isolated by ex G. Persley 1
NCPPB 3173	This isolate was isolated by J.F. Bradbury B7343
NCPPB 3174	The donor reference is B7344b This isolate was isolated by J.f. Bradbury
NCPPB 3176	This isolate was isolated by J.F. Bradbury B7380
NCPPB 3177	The donor reference is B7385 This isolate was isolated by ex N.M. Kalyni No3
NCPPB 3178	This isolate was isolated by J.F. Bradbury B7440a
NCPPB 3182	This isolate was isolated by J.F. Bradbury B 7567
NCPPB 3187	This isolate is also in the collections; CFBP 7115 This isolate was isolated by J.F. Bradbury B 7613a
NCPPB 3191	The donor reference is B7790 This isolate was isolated by ex A.L.G. Pereira BM12 The source of this isolate was ex H. Maraite
NCPPB 3192	The donor reference is B7791 This isolate is also in the collections; NCPPB 3061 This isolate was isolated by ex M. Maraite R662
NCPPB 3194	This isolate was isolated by J.F. Bradbury B7797
NCPPB 3200	The donor reference is B8059 This isolate was isolated by J.F. Bradbury
NCPPB 3204	The donor reference is B8327 This isolate was isolated by ex R. Billington
NCPPB 3207	This isolate was isolated by J.F. Bradbury B8511
NCPPB 3212	This isolate was isolated by J.F. Bradbury B 8597
NCPPB 3213	The donor reference is B 8600 This isolate is also in the collections; ICMP 8918 This isolate was isolated by ex B.P. Chakravarti BlP
NCPPB 3215	The donor reference is B8613 This isolate was isolated by ex R. Raemakers 4
NCPPB 3218	The donor reference is B8718 This isolate was isolated by C.P. Bennett Y3
NCPPB 3229	The donor reference is Xg 719 This isolate is also in the collections; ICMP 7727, LMG 727, CFBP 2056, ATCC 33803 This isolate was isolated by ex J. Herzog Xg 102
NCPPB 3230	The donor reference is 724 This isolate is also in the collections; ICMP 7726, LMG 728, CFBP 2057, ATCC 33804 This isolate was isolated by ex J. Herzog Xg 122
NCPPB 3231	The donor reference is Xg 729 This isolate is also in the collections; ICMP 7725, LMG 730, CFBP 2062, ATCC 33805 This isolate was isolated by ex D. Schmidt Xg 135
NCPPB 3232	The donor reference is XC59 This isolate was isolated by ex V. Rossetti IBSP-164
NCPPB 3233	The donor reference is XC70 This isolate is also in the collections; LMG 9181, CIVEROLO XC70 This isolate was isolated by ex V. Rossetti The source of this isolate was ex J.W. Miller IBSF 512 'C' type 1
NCPPB 3234	The donor reference is XC62 This isolate was isolated by ex M. Koizumi 6501S
NCPPB 3235	The donor reference is XC63 This isolate was isolated by ex M. Koizumi 7801
NCPPB 3236	The donor reference is XC64 This isolate is also in the collections; ICMP 15806, LMG 9179, CFBP 2901, CIVEROLO XC64 The source of this isolate was ex M. Goto B-4
NCPPB 3237	The donor reference is XC69 The source of this isolate was ex J.W. Miller XCll 'B' type 4
NCPPB 3240	This isolate was isolated by M. Lopez 42-11
NCPPB 3241	This isolate was isolated by M. Lopez 67-2a
NCPPB 3242	This isolate was isolated by J.D. Janse PD28
NCPPB 3245	This isolate was isolated by ex S.R. Basnyat; The source of this isolate was ex ITCC P32
NCPPB 3290	This isolate was isolated by M. Pesti 0103
NCPPB 3291	
NCPPB 3292	This isolate was isolated by M. Pesti 0105
NCPPB 3301	The donor reference is PX061 The source of this isolate was ex T.W. Mew PX061
NCPPB 3303	The donor reference is PX079 The source of this isolate was ex T.W. Mew
NCPPB 3304	The donor reference is PXO86 The source of this isolate was ex T.W. Mew
NCPPB 3311	The source of this isolate was .
NCPPB 3312	The donor reference is 100
NCPPB 3313	This isolate was isolated by M. Pesti 0102
NCPPB 3314	The donor reference is 109
NCPPB 3315	The donor reference is 100
NCPPB 3329	The donor reference is A2087B This isolate was isolated by ex M. Fenton 3315 lB
NCPPB 3330	The donor reference is A2087C This isolate was isolated by ex M. Fenton 3315 lC
NCPPB 3361	The donor reference is OS-901
NCPPB 3363	The donor reference is OS-14
NCPPB 3380	This isolate was isolated by D. Stead A2192
NCPPB 3381	This isolate was isolated by J.E. Sellwood A2222
NCPPB 3382	This isolate was isolated by J.E. Sellwood A2184
NCPPB 3426	The source of this isolate was ex M. de Kam 90
NCPPB 3434	This isolate is also in the collections; ICMP 8682, LMG 8670, NETO 68 This isolate was isolated by J.R. Neto IBSBF 68
NCPPB 3435	This isolate is also in the collections; ICMP 8688, LMG 8673, NETO 250 This isolate was isolated by J.R. Neto IBSBF 250
NCPPB 3437	This isolate is also in the collections; ICMP 8046
NCPPB 3438	This isolate is also in the collections; ICMP 8045 This isolate was isolated by J.R. Neto IBSBF 444
NCPPB 3440	The donor reference is IBSBF 368 This isolate is also in the collections; ICMP 7499 This isolate was isolated by ex A. Takatsu UnB 46
NCPPB 3441	This isolate was isolated by J.R. Neto IBSBF 511
NCPPB 3442	The donor reference is IBSBF 506 This isolate is also in the collections; ICMP 8925 This isolate was isolated by ex C.F. Robbs ENA 3123
NCPPB 3443	The donor reference is IBSBF 505 This isolate was isolated by ex C.F. Robbs ENA 3045
NCPPB 3456	This isolate was isolated by J. Nemeth M192;
NCPPB 3457	This isolate was isolated by J. Nemeth M21
NCPPB 3479	This isolate was isolated by D.L. Tomlinson PNG11779
NCPPB 3484	This isolate was isolated by M. Cugnsi 2
NCPPB 3559	The donor reference is 507
NCPPB 3560	The donor reference is IBSBF 575 This isolate is also in the collections; ICMP 9261
NCPPB 3561	The donor reference is IBSBF 576
NCPPB 3562	This isolate was isolated by Ramesh Chand IIH-Xcc5
NCPPB 3563	This isolate was isolated by Ramesh Chand IIH-Xcp1
NCPPB 3566	The donor reference is IIHXCCRI
NCPPB 3567	The donor reference is IIHXCCL
NCPPB 3568	The donor reference is IIHXCCCN
NCPPB 3569	The donor reference is 1
NCPPB 3570	The donor reference is 2
NCPPB 3573	The donor reference is X2G2
NCPPB 3582	This isolate was isolated by A.R. Chase X144
NCPPB 3583	This isolate was isolated by A R. Chase X 154
NCPPB 3586	This isolate is also in the collections; CVCPB 1806, ICMP 9154, LMG 9055 This isolate was isolated by C.H. Zumoff L-212
NCPPB 3587	This isolate is also in the collections; CVCPB 1696 This isolate was isolated by C H. Zumoff LX105
NCPPB 3588	The donor reference is X24 This isolate was isolated by ex D.D. Brunk PDD-659-82
NCPPB 3589	The donor reference is X37 This isolate was isolated by ex J.W. Miller
NCPPB 3592	The donor reference is A4102a The source of this isolate was ex J. Cooper 2132A
NCPPB 3593	The donor reference is A4102b The source of this isolate was ex J. Cooper 2132B
NCPPB 3595	This isolate was isolated by R. Kishun 11H XCP1
NCPPB 3596	This isolate was isolated by R. Kishun 11HXCM1
NCPPB 3607	This isolate was isolated by R. Chand IIH XCCI
NCPPB 3608	This isolate was isolated by R. Chand IIHXCC2
NCPPB 3609	This isolate was isolated by R. Chand IIHXCC4
NCPPB 3611	This isolate was isolated by R. Chand IIH Xcgla
NCPPB 3612	The donor reference is IIH XCC7
NCPPB 3614	The donor reference is 11H XCVe1
NCPPB 3615	The donor reference is 11H XCC3
NCPPB 3638	The donor reference is RCIIHXCP1 This isolate was isolated by R. Chand
NCPPB 3639	The donor reference is RCIIHXCP2 This isolate was isolated by R. Chand
NCPPB 3640	The donor reference is XCP3 This isolate was isolated by R. Chand
NCPPB 3641	The donor reference is XCP4 This isolate was isolated by R. Chand
NCPPB 3642	The donor reference is IIHXCg3 This isolate was isolated by R. Chand
NCPPB 3646	The donor reference is ISBF 272 The source of this isolate was ex O. Kimura ex J.C. Lozano CIAT 1164
NCPPB 3647	The donor reference is ISBF 273 The source of this isolate was ex O. Kimura ex J.C. Lozano CIAT 1195
NCPPB 3651	The donor reference is ISBF 366 This isolate is also in the collections; ICMP 7497 The source of this isolate was ex A. Takatsu UnB-45
NCPPB 3652	The donor reference is ISBF 367 This isolate is also in the collections; ICMP 7498 The source of this isolate was ex A. Takatsu UnB-47
NCPPB 3653	The donor reference is ISBF 353
NCPPB 3654	The donor reference is ISBF 380
NCPPB 3655	The donor reference is ISBF 381 This isolate is also in the collections; ICMP 8432
NCPPB 3656	The donor reference is ISBF 255 The source of this isolate was ex M.H. Sugimori Fito CIA 2836
NCPPB 3657	The donor reference is ISBF 269
NCPPB 3658	The donor reference is ISBF 327 This isolate is also in the collections; CFBP 7119
NCPPB 3659	The donor reference is ISBF 333
NCPPB 3660	The donor reference is ISBF 253
NCPPB 3661	The donor reference is ISBF 443
NCPPB 3662	The donor reference is ISBF 159 This isolate is also in the collections; ICMP 7462
NCPPB 3663	The donor reference is ISBF 473
NCPPB 3705	This isolate was isolated by A. Sletten 80-27
NCPPB 3706	This isolate was isolated by A. Sletten 85-37
NCPPB 3709	This isolate was isolated by A. Sletten 78-37
NCPPB 3711	This isolate was isolated by A. Sletten 78-41
NCPPB 3712	This isolate was isolated by A. Sletten 78-44
NCPPB 3713	This isolate was isolated by A. Sletten 78-46
NCPPB 3714	This isolate was isolated by A. Sletten 78-47
NCPPB 3716	This isolate was isolated by A. Sletten 80-9
