ncppb_number,term_type,search_term
NCPPB 185,received_name_plus_number,"""Xanthomonas vasculorum (Cobb 1893) Dowson 1939"" ""NCPPB 185"""
NCPPB 185,alternative_name_plus_number,"""Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978"" ""NCPPB 185"""
NCPPB 186,ncppb_number,NCPPB 186
NCPPB 186,ncppb_number_compact,NCPPB186
NCPPB 186,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 186"
NCPPB 186,current_name_plus_number,"""Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995"" ""NCPPB 186"""
NCPPB 186,received_name_plus_number,"""Xanthomonas vasculorum (Cobb 1893) Dowson 1939"" ""NCPPB 186"""
NCPPB 186,alternative_name_plus_number,"""Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas thysanolaenae"" ""NCPPB 186"""
NCPPB 187,ncppb_number,NCPPB 187
NCPPB 187,ncppb_number_compact,NCPPB187
NCPPB 187,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 187"
NCPPB 187,current_name_plus_number,"""Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995"" ""NCPPB 187"""
NCPPB 187,received_name_plus_number,"""Xanthomonas vasculorum (Cobb 1893) Dowson 1939"" ""NCPPB 187"""
NCPPB 187,alternative_name_plus_number,"""Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978"" ""NCPPB 187"""
NCPPB 195,ncppb_number,NCPPB 195
NCPPB 195,ncppb_number_compact,NCPPB195
NCPPB 195,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 195"
NCPPB 195,current_name_plus_number,"""Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995"" ""NCPPB 195"""
NCPPB 195,received_name_plus_number,"""Xanthomonas vesicatoria (Doidge 1920) Dowson 1939"" ""NCPPB 195"""
NCPPB 196,ncppb_number,NCPPB 196
NCPPB 196,ncppb_number_compact,NCPPB196
NCPPB 196,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 196"
NCPPB 196,current_name_plus_number,"""Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939"" ""NCPPB 196"""
NCPPB 196,received_name_plus_number,"""Xanthomonas campestris (Pammel 1895) Dowson 1939"" ""NCPPB 196"""
NCPPB 200,ncppb_number,NCPPB 200
NCPPB 200,ncppb_number_compact,NCPPB200
NCPPB 200,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 200"
NCPPB 200,current_name_plus_number,"""Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov."" ""NCPPB 200"""
NCPPB 200,received_name_plus_number,"""Xanthomonas malvacearum (Smith 1901) Dowson 1939"" ""NCPPB 200"""
NCPPB 200,alternative_name_plus_number,"""Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978"" ""NCPPB 200"""
NCPPB 205,ncppb_number,NCPPB 205
NCPPB 205,ncppb_number_compact,NCPPB205
NCPPB 205,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 205"
NCPPB 205,current_name_plus_number,"""Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995"" ""NCPPB 205"""
NCPPB 205,received_name_plus_number,"""Xanthomonas hyacinthi"" ""NCPPB 205"""
NCPPB 205,alternative_name_plus_number,"""Xanthomonas campestris pv. hyacinthi (Wakker 1883) Dye 1978"" ""NCPPB 205"""
NCPPB 206,ncppb_number,NCPPB 206
NCPPB 206,ncppb_number_compact,NCPPB206
NCPPB 206,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 206"
NCPPB 206,current_name_plus_number,"""Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017"" ""NCPPB 206"""
NCPPB 206,received_name_plus_number,"""Xanthomonas vasculorum (Cobb 1893) Dowson 1939"" ""NCPPB 206"""
NCPPB 206,alternative_name_plus_number,"""Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas vasicola"" ""NCPPB 206"""
NCPPB 206,other_collection_number,ICMP 326
NCPPB 206,other_collection_number,LMG 8284
NCPPB 206,other_collection_number,CFBP 7162
NCPPB 208,ncppb_number,NCPPB 208
NCPPB 208,ncppb_number_compact,NCPPB208
NCPPB 208,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 208"
NCPPB 208,current_name_plus_number,"""Xanthomonas albilineans (Ashby 1929) Dowson 1943"" ""NCPPB 208"""
NCPPB 208,received_name_plus_number,"""X. albilineans var. paspali. See Orian (1962)"" ""NCPPB 208"""
NCPPB 210,ncppb_number,NCPPB 210
NCPPB 210,ncppb_number_compact,NCPPB210
NCPPB 210,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 210"
NCPPB 210,current_name_plus_number,"""Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov."" ""NCPPB 210"""
