ncppb_number,term_type,search_term
NCPPB 577,alternative_name_plus_number,"""Xanthomonas campestris pv. desmodiigangetici ( Patel & Moniz 1948) Dye 1978"" ""NCPPB 577"""
NCPPB 577,other_collection_number,ATCC 11671
NCPPB 577,other_collection_number,ICMP 577
NCPPB 577,other_collection_number,LMG 693
NCPPB 578,ncppb_number,NCPPB 578
NCPPB 578,ncppb_number_compact,NCPPB578
NCPPB 578,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 578"
NCPPB 578,current_name_plus_number,"""Xanthomonas euvesicatoria pv. erythrinae (Patel et al. 1952) Constantin et al. 2016 comb. nov."" ""NCPPB 578"""
NCPPB 578,received_name_plus_number,"""Xanthomonas erythrinae"" ""NCPPB 578"""
NCPPB 578,alternative_name_plus_number,"""Xanthomonas campestris pv. erythrinae (Patel et al. 1952) Dye 1978"" ""NCPPB 578"""
NCPPB 578,other_collection_number,ATCC 11679
NCPPB 578,other_collection_number,ICMP 446
NCPPB 578,other_collection_number,LMG 698
NCPPB 579,ncppb_number,NCPPB 579
NCPPB 579,ncppb_number_compact,NCPPB579
NCPPB 579,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 579"
NCPPB 579,current_name_plus_number,"""Xanthomonas euvesicatoria pv. lawsoniae (Patel et al. 1951) Harrison et al. 2023"" ""NCPPB 579"""
NCPPB 579,other_collection_number,ATCC 11674
NCPPB 579,other_collection_number,ICMP 319
NCPPB 579,other_collection_number,LMG 756
NCPPB 581,ncppb_number,NCPPB 581
NCPPB 581,ncppb_number_compact,NCPPB581
NCPPB 581,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 581"
NCPPB 581,current_name_plus_number,"""Xanthomonas axonopodis pv. poinsettiicola (Patel et al. 1951) Vauterin et al. 1995"" ""NCPPB 581"""
NCPPB 581,received_name_plus_number,"""Xanthomonas poinsettiicola Patel et al. 1951"" ""NCPPB 581"""
NCPPB 581,alternative_name_plus_number,"""Xanthomonas campestris pv. poinsettiicola (Patel et al. 1951) Dye 1978"" ""NCPPB 581"""
NCPPB 581,other_collection_number,ATCC 11643
NCPPB 581,other_collection_number,ICMP 5779
NCPPB 581,other_collection_number,LMG 849
NCPPB 581,other_collection_number,CFBP 7277
NCPPB 582,ncppb_number,NCPPB 582
NCPPB 582,ncppb_number_compact,NCPPB582
NCPPB 582,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 582"
NCPPB 582,current_name_plus_number,"""Xanthomonas citri pv. sesbaniae (Patel et al. 1952) Constantin et al. 2016 comb. nov."" ""NCPPB 582"""
NCPPB 582,received_name_plus_number,"""Xanthomonas sesbaniae Patel et al. 1952"" ""NCPPB 582"""
NCPPB 582,alternative_name_plus_number,"""Xanthomonas campestris pv. sesbaniae (Patel et al. 1952) Dye 1978"" ""NCPPB 582"""
NCPPB 582,other_collection_number,ATCC 11675
NCPPB 582,other_collection_number,ICMP 367
NCPPB 582,other_collection_number,LMG 867
NCPPB 584,ncppb_number,NCPPB 584
NCPPB 584,ncppb_number_compact,NCPPB584
NCPPB 584,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 584"
NCPPB 584,current_name_plus_number,"""Xanthomonas axonopodis pv. tamarindi (Patel et al. 1951) Vauterin et al. 1995"" ""NCPPB 584"""
NCPPB 584,received_name_plus_number,"""Xanthomonas tamarindi Patel et al. 1951"" ""NCPPB 584"""
NCPPB 584,alternative_name_plus_number,"""Xanthomonas campestris pv. tamarindi (Patel et al. 1951) Dye 1978"" ""NCPPB 584"""
NCPPB 584,other_collection_number,ATCC 11673
NCPPB 584,other_collection_number,ICMP 572
NCPPB 584,other_collection_number,LMG 995
NCPPB 584,other_collection_number,CCUG 15850
NCPPB 585,ncppb_number,NCPPB 585
NCPPB 585,ncppb_number_compact,NCPPB585
NCPPB 585,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 585"
NCPPB 585,current_name_plus_number,"""Xanthomonas citri pv. trichodesmae (Patel et al.1952) Harrison et al. 2023"" ""NCPPB 585"""
NCPPB 585,other_collection_number,ATCC 11678
NCPPB 585,other_collection_number,ICMP 5754
NCPPB 585,other_collection_number,LMG 874
NCPPB 586,ncppb_number,NCPPB 586
NCPPB 586,ncppb_number_compact,NCPPB586
NCPPB 586,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 586"
NCPPB 586,current_name_plus_number,"""Xanthomonas euvesicatoria pv. uppalii (Patel 1948) Harrison et al. 2023"" ""NCPPB 586"""
NCPPB 586,other_collection_number,ATCC 11641
NCPPB 586,other_collection_number,ICMP 5756
NCPPB 586,other_collection_number,LMG 893
NCPPB 599,ncppb_number,NCPPB 599
NCPPB 599,ncppb_number_compact,NCPPB599
NCPPB 599,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 599"
NCPPB 599,current_name_plus_number,"""Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995"" ""NCPPB 599"""
NCPPB 599,received_name_plus_number,"""Xanthomonas hyacinthi"" ""NCPPB 599"""
NCPPB 599,alternative_name_plus_number,"""Xanthomonas campestris pv. hyacinthi (Wakker 1883) Dye 1978"" ""NCPPB 599"""
NCPPB 599,other_collection_number,ATCC 193314
NCPPB 599,other_collection_number,ICMP 189
NCPPB 599,other_collection_number,DSM 19077
NCPPB 599,other_collection_number,CFBP 1156
NCPPB 599,other_collection_number,LMG 739
NCPPB 614,ncppb_number,NCPPB 614
NCPPB 614,ncppb_number_compact,NCPPB614
NCPPB 614,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 614"
NCPPB 614,current_name_plus_number,"""Xanthomonas citri pv. malvacearum (Smith 1901) Schaad et al. 2007"" ""NCPPB 614"""
NCPPB 614,received_name_plus_number,"""Xanthomonas malvacearum (Smith 1901) Dowson 1939"" ""NCPPB 614"""
NCPPB 614,alternative_name_plus_number,"""Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978"" ""NCPPB 614"""
NCPPB 631,ncppb_number,NCPPB 631
NCPPB 631,ncppb_number_compact,NCPPB631
NCPPB 631,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 631"
NCPPB 631,current_name_plus_number,"""Xanthomonas euvesicatoria pv. sesami (Sabet & Dowson 1960) Constantin et al. 2016 comb. nov."" ""NCPPB 631"""
NCPPB 631,other_collection_number,ICMP 621
NCPPB 631,other_collection_number,LMG 865
NCPPB 633,ncppb_number,NCPPB 633
NCPPB 633,ncppb_number_compact,NCPPB633
NCPPB 633,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 633"
NCPPB 633,current_name_plus_number,"""Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov."" ""NCPPB 633"""
NCPPB 633,received_name_plus_number,"""Xanthomonas malvacearum (Smith 1901) Dowson 1939"" ""NCPPB 633"""
NCPPB 633,alternative_name_plus_number,"""Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978"" ""NCPPB 633"""
NCPPB 633,other_collection_number,ICMP 5739
NCPPB 633,other_collection_number,LMG 761
NCPPB 633,other_collection_number,CFBP 2530
NCPPB 634,ncppb_number,NCPPB 634
NCPPB 634,ncppb_number_compact,NCPPB634
NCPPB 634,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 634"
NCPPB 634,current_name_plus_number,"""Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov."" ""NCPPB 634"""
NCPPB 634,received_name_plus_number,"""Xanthomonas malvacearum (Smith 1901) Dowson 1939"" ""NCPPB 634"""
NCPPB 634,alternative_name_plus_number,"""Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978"" ""NCPPB 634"""
NCPPB 637,ncppb_number,NCPPB 637
NCPPB 637,ncppb_number_compact,NCPPB637
NCPPB 637,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 637"
NCPPB 637,current_name_plus_number,"""Xanthomonas axonopodis pv. cyamopsidis (Patel et al.1953) Vauterin et al. 1995"" ""NCPPB 637"""
NCPPB 637,received_name_plus_number,"""X. cyamophagus"" ""NCPPB 637"""
NCPPB 637,alternative_name_plus_number,"""Xanthomonas campestris pv. cyamopsidis (Patel et al.1953) Dye 1978"" ""NCPPB 637"""
NCPPB 637,other_collection_number,ICMP 616
NCPPB 637,other_collection_number,LMG 691
NCPPB 638,ncppb_number,NCPPB 638
NCPPB 638,ncppb_number_compact,NCPPB638
NCPPB 638,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 638"
NCPPB 638,current_name_plus_number,"""Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov."" ""NCPPB 638"""
NCPPB 638,received_name_plus_number,"""X. vignicola. Burkholder 1944"" ""NCPPB 638"""
NCPPB 638,alternative_name_plus_number,"""Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978"" ""NCPPB 638"""
NCPPB 638,other_collection_number,CFBP 7110
NCPPB 642,ncppb_number,NCPPB 642
NCPPB 642,ncppb_number_compact,NCPPB642
NCPPB 642,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 642"
NCPPB 642,current_name_plus_number,"""Xanthomonas hortorum pv. hederae (Arnaud 1920) Vauterin et al. 1995"" ""NCPPB 642"""
NCPPB 642,received_name_plus_number,"""Xanthomonas hederae"" ""NCPPB 642"""
NCPPB 642,alternative_name_plus_number,"""Xanthomonas campestris pv. hederae (Arnaud 1920) Dye 1978"" ""NCPPB 642"""
NCPPB 645,ncppb_number,NCPPB 645
NCPPB 645,ncppb_number_compact,NCPPB645
NCPPB 645,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 645"
NCPPB 645,current_name_plus_number,"""Xanthomonas axonopodis pv. cassiae (Kulkarni et al. 1951) Vauterin et al. 1995"" ""NCPPB 645"""
NCPPB 645,received_name_plus_number,"""Xanthomonas cassiae"" ""NCPPB 645"""
NCPPB 645,alternative_name_plus_number,"""Xanthomonas campestris pv. cassiae (Kulkarni et al. 1951) Dye 1978"" ""NCPPB 645"""
NCPPB 646,ncppb_number,NCPPB 646
NCPPB 646,ncppb_number_compact,NCPPB646
NCPPB 646,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 646"
NCPPB 646,current_name_plus_number,"""Xanthomonas axonopodis pv. khayae (Sabet 1959) Vauterin et al. 1995"" ""NCPPB 646"""
NCPPB 646,received_name_plus_number,"""Xanthomonas khayae Sabet 1959"" ""NCPPB 646"""
NCPPB 646,alternative_name_plus_number,"""Xanthomonas campestris pv. khayae (Sabet 1959) Dye 1978"" ""NCPPB 646"""
NCPPB 647,ncppb_number,NCPPB 647
NCPPB 647,ncppb_number_compact,NCPPB647
NCPPB 647,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 647"
NCPPB 647,current_name_plus_number,"""Xanthomonas euvesicatoria pv. sesami (Sabet & Dowson 1960) Constantin et al. 2016 comb. nov."" ""NCPPB 647"""
NCPPB 648,ncppb_number,NCPPB 648
NCPPB 648,ncppb_number_compact,NCPPB648
NCPPB 648,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 648"
NCPPB 648,current_name_plus_number,"""Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov."" ""NCPPB 648"""
NCPPB 648,received_name_plus_number,"""Xanthomonas alfalfae"" ""NCPPB 648"""
NCPPB 648,alternative_name_plus_number,"""Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978"" ""NCPPB 648"""
NCPPB 670,ncppb_number,NCPPB 670
NCPPB 670,ncppb_number_compact,NCPPB670
NCPPB 670,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 670"
NCPPB 670,current_name_plus_number,"""Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov."" ""NCPPB 670"""
NCPPB 670,received_name_plus_number,"""Xanthomonas phaseoli (Smith 1897) Dowson 1939"" ""NCPPB 670"""
NCPPB 670,alternative_name_plus_number,"""Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978"" ""NCPPB 670"""
NCPPB 701,ncppb_number,NCPPB 701
NCPPB 701,ncppb_number_compact,NCPPB701
NCPPB 701,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 701"
NCPPB 701,current_name_plus_number,"""Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995"" ""NCPPB 701"""
NCPPB 701,received_name_plus_number,"""Xanthomonas vesicatoria (Doidge 1920) Dowson 1939"" ""NCPPB 701"""
NCPPB 701,alternative_name_plus_number,"""Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978"" ""NCPPB 701"""
NCPPB 701,other_collection_number,LMG 920
NCPPB 702,ncppb_number,NCPPB 702
NCPPB 702,ncppb_number_compact,NCPPB702
NCPPB 702,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 702"
NCPPB 702,current_name_plus_number,"""Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017"" ""NCPPB 702"""
NCPPB 702,received_name_plus_number,"""Xanthomonas vasculorum (Cobb 1893) Dowson 1939"" ""NCPPB 702"""
NCPPB 702,alternative_name_plus_number,"""Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978"" ""NCPPB 702"""
NCPPB 702,other_collection_number,LMG 8710
NCPPB 702,other_collection_number,CFBP 7163
NCPPB 761,ncppb_number,NCPPB 761
NCPPB 761,ncppb_number_compact,NCPPB761
NCPPB 761,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 761"
NCPPB 761,current_name_plus_number,"""Xanthomonas euvesicatoria pv. physalidicola (Goto & Okabe 1958) Constantin et al. 2016 comb. nov."" ""NCPPB 761"""
NCPPB 761,received_name_plus_number,"""Xanthomonas physalidicola Goto & Okabe 1958"" ""NCPPB 761"""
NCPPB 761,alternative_name_plus_number,"""Xanthomonas campestris pv. physalidicola (Goto & Okabe 1958) Dye 1978"" ""NCPPB 761"""
NCPPB 761,other_collection_number,ICMP 586
NCPPB 761,other_collection_number,LMG 845
NCPPB 761,other_collection_number,ATCC 49077
NCPPB 762,ncppb_number,NCPPB 762
NCPPB 762,ncppb_number_compact,NCPPB762
NCPPB 762,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 762"
NCPPB 762,current_name_plus_number,"""Xanthomonas pisi (ex Goto & Okabe 1958) Vauterin et al. 1995"" ""NCPPB 762"""
NCPPB 762,received_name_plus_number,"""Xanthomonas pisi Goto & Okabe 1958"" ""NCPPB 762"""
NCPPB 762,alternative_name_plus_number,"""Xanthomonas campestris pv. pisi (Goto & Okabe 1958) Dye 1978"" ""NCPPB 762"""
NCPPB 762,other_collection_number,ICMP 570
NCPPB 762,other_collection_number,LMG 847
NCPPB 762,other_collection_number,DSM 18956
NCPPB 762,other_collection_number,ATCC 35936
NCPPB 793,ncppb_number,NCPPB 793
NCPPB 793,ncppb_number_compact,NCPPB793
NCPPB 793,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 793"
NCPPB 793,current_name_plus_number,"""Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990"" ""NCPPB 793"""
NCPPB 793,received_name_plus_number,"""Xanthomonas oryzae"" ""NCPPB 793"""
NCPPB 793,alternative_name_plus_number,"""Xanthomonas campestris pv. oryzae (Ishyama 1922) Dye 1978"" ""NCPPB 793"""
NCPPB 795,ncppb_number,NCPPB 795
NCPPB 795,ncppb_number_compact,NCPPB795
NCPPB 795,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 795"
NCPPB 795,current_name_plus_number,"""Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017"" ""NCPPB 795"""
NCPPB 795,received_name_plus_number,"""Xanthomonas vasculorum (Cobb 1893) Dowson 1939"" ""NCPPB 795"""
NCPPB 795,alternative_name_plus_number,"""Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978"" ""NCPPB 795"""
NCPPB 795,other_collection_number,LMG 900
NCPPB 840,ncppb_number,NCPPB 840
NCPPB 840,ncppb_number_compact,NCPPB840
NCPPB 840,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 840"
NCPPB 840,current_name_plus_number,"""Xanthomonas axonopodis pv. patelii (Desai & Shah 1959) Vauterin et al. 1995"" ""NCPPB 840"""
NCPPB 840,received_name_plus_number,"""Xanthomonas patelii Desai & Shah 1959"" ""NCPPB 840"""
NCPPB 840,alternative_name_plus_number,"""Xanthomonas campestris pv. patelii (Desai & Shah 1959) Dye 1978"" ""NCPPB 840"""
NCPPB 840,other_collection_number,ICMP 167
NCPPB 840,other_collection_number,LMG 811
NCPPB 875,ncppb_number,NCPPB 875
NCPPB 875,ncppb_number_compact,NCPPB875
NCPPB 875,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 875"
NCPPB 875,current_name_plus_number,"""Xanthomonas campestris pv. aberrans (Knosel 1961) Dye 1978"" ""NCPPB 875"""
NCPPB 875,received_name_plus_number,"""Xanthomonas campestris var. aberrans Knosel 1961"" ""NCPPB 875"""
NCPPB 881,ncppb_number,NCPPB 881
NCPPB 881,ncppb_number_compact,NCPPB881
NCPPB 881,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 881"
NCPPB 881,current_name_plus_number,"""Xanthomonas hortorum pv. gardneri Morinière et al. (2020)"" ""NCPPB 881"""
NCPPB 881,received_name_plus_number,"""Pseudomonas gardneri Sutic 1957"" ""NCPPB 881"""
NCPPB 881,alternative_name_plus_number,"""Xanthomonas gardneri Not yet published"" ""NCPPB 881"""
NCPPB 881,other_collection_number,ATCC 19865
NCPPB 881,other_collection_number,DSM 19127
NCPPB 884,ncppb_number,NCPPB 884
NCPPB 884,ncppb_number_compact,NCPPB884
NCPPB 884,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 884"
NCPPB 884,current_name_plus_number,"""Xanthomonas axonopodis pv. patelii (Desai & Shah 1959) Vauterin et al. 1995"" ""NCPPB 884"""
NCPPB 884,received_name_plus_number,"""Xanthomonas patelii Desai & Shah 1959"" ""NCPPB 884"""
NCPPB 884,alternative_name_plus_number,"""Xanthomonas campestris pv. patelii (Desai & Shah 1959) Dye 1978"" ""NCPPB 884"""
NCPPB 885,ncppb_number,NCPPB 885
NCPPB 885,ncppb_number_compact,NCPPB885
NCPPB 885,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 885"
NCPPB 885,current_name_plus_number,"""Xanthomonas axonopodis pv. desmodiirotundifolii (Desai & Shah 1960) Vauterin et al. 1995"" ""NCPPB 885"""
NCPPB 885,received_name_plus_number,"""Xanthomonas desmodiirotundifolii Desai & Shah 1960"" ""NCPPB 885"""
NCPPB 885,alternative_name_plus_number,"""Xanthomonas campestris pv. desmodiirotundifolii (Desai & Shah 1960) Dye 1978"" ""NCPPB 885"""
NCPPB 885,other_collection_number,ICMP 168
NCPPB 885,other_collection_number,LMG 694
NCPPB 887,ncppb_number,NCPPB 887
NCPPB 887,ncppb_number_compact,NCPPB887
NCPPB 887,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 887"
NCPPB 887,current_name_plus_number,"""Xanthomonas albilineans (Ashby 1929) Dowson 1943"" ""NCPPB 887"""
NCPPB 887,received_name_plus_number,"""Xanthomonas albilineans"" ""NCPPB 887"""
NCPPB 887,other_collection_number,ATCC 33195
NCPPB 888,ncppb_number,NCPPB 888
NCPPB 888,ncppb_number_compact,NCPPB888
NCPPB 888,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 888"
NCPPB 888,current_name_plus_number,"""Xanthomonas sp. Dowson 1939"" ""NCPPB 888"""
NCPPB 888,alternative_name_plus_number,"""Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995"" ""NCPPB 888"""
NCPPB 889,ncppb_number,NCPPB 889
NCPPB 889,ncppb_number_compact,NCPPB889
NCPPB 889,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 889"
NCPPB 889,current_name_plus_number,"""Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017"" ""NCPPB 889"""
NCPPB 889,received_name_plus_number,"""Xanthomonas vasculorum (Cobb 1893) Dowson 1939"" ""NCPPB 889"""
NCPPB 889,alternative_name_plus_number,"""Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978"" ""NCPPB 889"""
NCPPB 889,other_collection_number,LMG 902
NCPPB 889,other_collection_number,CFBP 5831
NCPPB 891,ncppb_number,NCPPB 891
NCPPB 891,ncppb_number_compact,NCPPB891
NCPPB 891,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 891"
NCPPB 891,current_name_plus_number,"""Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995"" ""NCPPB 891"""
NCPPB 891,received_name_plus_number,"""Xanthomonas vasculorum (Cobb 1893) Dowson 1939"" ""NCPPB 891"""
NCPPB 891,alternative_name_plus_number,"""Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas thysanolaenae"" ""NCPPB 891"""
NCPPB 892,ncppb_number,NCPPB 892
NCPPB 892,ncppb_number_compact,NCPPB892
NCPPB 892,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 892"
NCPPB 892,current_name_plus_number,"""Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995"" ""NCPPB 892"""
NCPPB 892,received_name_plus_number,"""Xanthomonas vasculorum (Cobb 1893) Dowson 1939"" ""NCPPB 892"""
NCPPB 892,alternative_name_plus_number,"""Xanthomonas thysanolaenae Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978"" ""NCPPB 892"""
NCPPB 893,ncppb_number,NCPPB 893
NCPPB 893,ncppb_number_compact,NCPPB893
NCPPB 893,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 893"
NCPPB 893,current_name_plus_number,"""Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995"" ""NCPPB 893"""
NCPPB 893,received_name_plus_number,"""Xanthomonas vasculorum (Cobb 1893) Dowson 1939"" ""NCPPB 893"""
NCPPB 893,alternative_name_plus_number,"""Xanthomonas thysanolaenae Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978"" ""NCPPB 893"""
NCPPB 895,ncppb_number,NCPPB 895
NCPPB 895,ncppb_number_compact,NCPPB895
NCPPB 895,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 895"
NCPPB 895,current_name_plus_number,"""Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017"" ""NCPPB 895"""
NCPPB 895,received_name_plus_number,"""Xanthomonas vasculorum (Cobb 1893) Dowson 1939"" ""NCPPB 895"""
NCPPB 895,alternative_name_plus_number,"""Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978"" ""NCPPB 895"""
NCPPB 895,other_collection_number,LMG 8714
NCPPB 896,ncppb_number,NCPPB 896
NCPPB 896,ncppb_number_compact,NCPPB896
NCPPB 896,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 896"
NCPPB 896,current_name_plus_number,"""Xanthomonas albilineans (Ashby 1929) Dowson 1943"" ""NCPPB 896"""
NCPPB 896,received_name_plus_number,"""Xanthomonas albilineans"" ""NCPPB 896"""
NCPPB 896,other_collection_number,ATCC 33196
NCPPB 896,other_collection_number,LMG 483
NCPPB 897,ncppb_number,NCPPB 897
NCPPB 897,ncppb_number_compact,NCPPB897
NCPPB 897,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 897"
NCPPB 897,current_name_plus_number,"""Xanthomonas albilineans (Ashby 1929) Dowson 1943"" ""NCPPB 897"""
NCPPB 897,received_name_plus_number,"""Xanthomonas albilineans"" ""NCPPB 897"""
NCPPB 899,ncppb_number,NCPPB 899
NCPPB 899,ncppb_number_compact,NCPPB899
NCPPB 899,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 899"
NCPPB 899,current_name_plus_number,"""Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995"" ""NCPPB 899"""
NCPPB 899,received_name_plus_number,"""Xanthomonas vasculorum (Cobb 1893) Dowson 1939"" ""NCPPB 899"""
NCPPB 899,alternative_name_plus_number,"""Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995 Type D"" ""NCPPB 899"""
NCPPB 900,ncppb_number,NCPPB 900
NCPPB 900,ncppb_number_compact,NCPPB900
NCPPB 900,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 900"
NCPPB 900,current_name_plus_number,"""Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995"" ""NCPPB 900"""
NCPPB 900,received_name_plus_number,"""Xanthomonas vasculorum (Cobb 1893) Dowson 1939"" ""NCPPB 900"""
NCPPB 900,alternative_name_plus_number,"""Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995 Type D Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978"" ""NCPPB 900"""
NCPPB 901,ncppb_number,NCPPB 901
NCPPB 901,ncppb_number_compact,NCPPB901
NCPPB 901,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 901"
NCPPB 901,current_name_plus_number,"""Xanthomonas sp. Dowson 1939"" ""NCPPB 901"""
NCPPB 901,received_name_plus_number,"""Xanthomonas malvacearum (Smith 1901) Dowson 1939"" ""NCPPB 901"""
NCPPB 901,alternative_name_plus_number,"""Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978"" ""NCPPB 901"""
NCPPB 902,ncppb_number,NCPPB 902
NCPPB 902,ncppb_number_compact,NCPPB902
NCPPB 902,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 902"
NCPPB 902,current_name_plus_number,"""Xanthomonas vasicola Vauterin et al. 1995"" ""NCPPB 902"""
NCPPB 902,alternative_name_plus_number,"""Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995"" ""NCPPB 902"""
NCPPB 916,ncppb_number,NCPPB 916
NCPPB 916,ncppb_number_compact,NCPPB916
NCPPB 916,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 916"
NCPPB 916,current_name_plus_number,"""Xanthomonas sp. Dowson 1939"" ""NCPPB 916"""
NCPPB 916,alternative_name_plus_number,"""Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995"" ""NCPPB 916"""
NCPPB 917,ncppb_number,NCPPB 917
NCPPB 917,ncppb_number_compact,NCPPB917
NCPPB 917,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 917"
NCPPB 917,current_name_plus_number,"""Xanthomonas sp. Dowson 1939"" ""NCPPB 917"""
NCPPB 917,alternative_name_plus_number,"""Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995"" ""NCPPB 917"""
NCPPB 918,ncppb_number,NCPPB 918
NCPPB 918,ncppb_number_compact,NCPPB918
NCPPB 918,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 918"
NCPPB 918,current_name_plus_number,"""Xanthomonas albilineans (Ashby 1929) Dowson 1943"" ""NCPPB 918"""
NCPPB 918,received_name_plus_number,"""Xanthomonas albilineans"" ""NCPPB 918"""
NCPPB 922,ncppb_number,NCPPB 922
NCPPB 922,ncppb_number_compact,NCPPB922
NCPPB 922,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 922"
