metadata_field	rows	unique_strains	unique_accessions	prior_accepted_rows	non_accepted_rows	non_target_rows	target_rows	clear_noise_rows	supports_review_rows	possible_rescue_rows	query_no_hit_rows	conflict_rows	taxon_only_rows	query_terms_only_rows	prefix_only_rows	suffix_only_rows	local_identifier_rows	accepted_rate	non_target_rate	example_ncppb_number	example_accession	example_title
metadata_text	31975	515	27835	0	31975	31827	148	31673	302	0	0	180	69	30707	0	0	0	0.0000	0.9954	NCPPB 45	SAMEA4072397	Draft genome sequence of Xanthomonas translucens pv. graminis NCPPB 3709
attributes	28738	509	25621	0	28738	28595	143	28449	289	0	0	177	64	27849	0	0	0	0.0000	0.9950	NCPPB 45	SAMEA4072397	Draft genome sequence of Xanthomonas translucens pv. graminis NCPPB 3709
identifiers	6760	362	6165	0	6760	6699	61	6680	80	0	0	15	51	6080	0	0	0	0.0000	0.9910	NCPPB 1939	SAMN57360824	Microbe sample from Xanthomonas campestris pv. barbareae
title	6665	394	6345	0	6665	6576	89	6557	108	0	0	58	41	6327	0	0	0	0.0000	0.9866	NCPPB 45	SAMEA4072397	Draft genome sequence of Xanthomonas translucens pv. graminis NCPPB 3709
infraspecies	3000	351	2828	0	3000	2932	68	2873	127	0	0	85	13	2804	0	0	0	0.0000	0.9773	NCPPB 45	SAMEA4072397	Draft genome sequence of Xanthomonas translucens pv. graminis NCPPB 3709
no_hit	1242	739	0	0	1242	0	0	0	0	0	1242	0	0	0	0	0	0	0.0000	0.0000			
organism	310	72	299	0	310	298	12	288	22	0	0	18	1	307	0	0	0	0.0000	0.9613	NCPPB 211	SAMN42161509	Genome sequencing of Xanthomonas sp. NCPPB 2864
